" Daily soil water balance output for Citrus & Subtropical in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Citrus & Subtropical in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","2.0","0.56","0.7","0.0","6.18","0.7","4.33","0.0","0.0","0.0","0.0","14.78","71.83","310.9","155.45","296.11","239.07","0.0","","2014.0","10.0","2.0","103.42","72.41","0.475131233596"
"2014.0","10.0","2.0","275.0","2.0","0.52","0.7","0.0","4.2","0.7","2.94","0.0","0.0","0.0","0.0","17.72","71.83","310.9","155.45","293.17","239.07","0.0","","2014.0","11.0","2.0","43.39","43.47","0.285236220472"
"2014.0","10.0","3.0","276.0","2.0","0.48","0.7","0.0","4.14","0.7","2.9","0.0","0.0","0.0","0.0","20.62","71.83","310.9","155.45","290.28","239.07","0.0","","2014.0","12.0","2.0","32.08","34.9","0.229002624672"
"2014.0","10.0","4.0","277.0","2.0","0.45","0.7","0.0","4.18","0.7","2.93","0.0","0.0","0.0","0.0","23.55","71.83","310.9","155.45","287.35","239.07","0.0","","2015.0","1.0","2.0","33.25","23.28","0.152755905512"
"2014.0","10.0","5.0","278.0","2.0","0.43","0.7","0.0","4.06","0.7","2.84","0.0","0.0","0.0","0.0","26.39","71.83","310.9","155.45","284.51","239.07","0.0","","2015.0","2.0","2.0","56.91","44.95","0.294947506562"
"2014.0","10.0","6.0","279.0","2.0","0.41","0.7","0.0","4.12","0.7","2.88","0.0","0.0","0.0","0.0","29.27","71.83","310.9","155.45","281.62","239.07","0.0","","2015.0","3.0","2.0","104.95","76.55","0.502296587927"
"2014.0","10.0","7.0","280.0","2.0","0.39","0.7","0.0","4.25","0.7","2.98","0.0","0.0","0.0","0.0","32.25","71.83","310.9","155.45","278.65","239.07","0.0","","2015.0","4.0","2.0","140.99","105.08","0.689501312336"
"2014.0","10.0","8.0","281.0","2.0","0.37","0.7","0.0","4.81","0.7","3.37","0.0","0.0","0.0","0.0","35.61","71.83","310.9","155.45","275.28","239.07","0.0","","2015.0","5.0","2.0","160.57","112.44","0.737795275591"
"2014.0","10.0","9.0","282.0","2.0","0.35","0.7","0.0","4.33","0.7","3.03","0.0","0.0","0.0","0.0","38.65","71.83","310.9","155.45","272.25","239.07","0.0","","2015.0","6.0","2.0","209.56","146.7","0.962598425197"
"2014.0","10.0","10.0","283.0","2.0","0.34","0.7","0.0","3.77","0.7","2.64","0.0","0.0","0.0","0.0","41.28","71.83","310.9","155.45","269.61","239.07","0.0","","2015.0","7.0","2.0","216.77","151.74","0.995669291339"
"2014.0","10.0","11.0","284.0","2.0","0.33","0.7","0.0","3.53","0.7","2.47","0.0","0.0","0.0","0.0","43.76","71.83","310.9","155.45","267.14","239.07","0.0","","2015.0","8.0","2.0","196.26","137.4","0.90157480315"
"2014.0","10.0","12.0","285.0","2.0","0.32","0.7","0.0","6.72","0.7","4.7","0.0","0.0","0.0","0.0","48.46","71.83","310.9","155.45","262.44","239.07","0.0","","2015.0","9.0","2.0","150.85","105.59","0.692847769029"
"2014.0","10.0","13.0","286.0","2.0","0.31","0.7","0.0","4.16","0.7","2.91","0.0","0.0","0.0","0.0","51.37","71.83","310.9","155.45","259.52","239.07","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","2.0","0.3","0.7","0.0","3.14","0.7","2.2","0.0","0.0","0.0","0.0","53.57","71.83","310.9","155.45","257.33","239.07","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","2.0","0.3","0.7","0.0","2.28","0.7","1.6","1.75","1.75","0.0","0.0","53.42","71.83","310.9","155.45","257.48","239.07","0.0","","","","","","",""
