" Daily soil water balance output for Corn in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Corn in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","13425.0","0.08","0.0","0.0","5.56","0.08","0.47","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","2014.0","10.0","13425.0","100.46","8.3","365.575787402","0.0","0.0"
"2014.0","10.0","2.0","275.0","13425.0","0.08","0.0","0.0","4.08","0.08","0.34","0.0","0.0","0.0","0.0","30.94","30.6","435.25","217.63","404.31","404.65","0.0","","2014.0","11.0","13425.0","43.94","26.21","1154.42667323","0.0","0.0"
"2014.0","10.0","3.0","276.0","13425.0","0.08","0.0","0.0","4.13","0.08","0.35","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","2014.0","12.0","13425.0","32.25","35.14","1547.75098425","0.0","0.0"
"2014.0","10.0","4.0","277.0","13425.0","0.08","0.0","0.0","4.12","0.08","0.35","0.0","0.0","0.0","0.0","30.95","30.6","435.25","217.63","404.31","404.65","0.0","","2015.0","1.0","13425.0","31.89","16.61","731.592027559","0.0","0.0"
"2014.0","10.0","5.0","278.0","13425.0","0.08","0.0","0.0","3.97","0.08","0.33","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","2015.0","2.0","13425.0","56.06","37.9","1669.31594488","0.0","0.0"
"2014.0","10.0","6.0","279.0","13425.0","0.08","0.0","0.0","3.97","0.08","0.33","0.0","0.0","0.0","0.0","30.93","30.6","435.25","217.63","404.32","404.65","0.0","","2015.0","3.0","13425.0","102.94","49.15","2164.82529528","0.0","0.0"
"2014.0","10.0","7.0","280.0","13425.0","0.08","0.0","0.0","4.08","0.08","0.34","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","2015.0","4.0","13425.0","136.61","72.68","3201.21062992","0.0","0.0"
"2014.0","10.0","8.0","281.0","13425.0","0.08","0.0","0.0","4.81","0.08","0.4","0.0","0.0","0.0","0.0","31.0","30.6","435.25","217.63","404.25","404.65","0.0","","2015.0","5.0","13425.0","150.49","40.61","1788.67864173","40.63","1789.55954724"
"2014.0","10.0","9.0","282.0","13425.0","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","2015.0","6.0","13425.0","196.51","110.58","4870.5265748","108.9","4796.53051181"
"2014.0","10.0","10.0","283.0","13425.0","0.08","0.0","0.0","3.54","0.08","0.29","0.0","0.0","0.0","0.0","30.89","30.6","435.25","217.63","404.36","404.65","0.0","","2015.0","7.0","13425.0","204.06","209.85","9242.90108268","205.85","9066.71998031"
"2014.0","10.0","11.0","284.0","13425.0","0.08","0.0","0.0","3.45","0.08","0.29","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","2015.0","8.0","13425.0","187.5","194.36","8560.63976378","193.13","8506.4640748"
"2014.0","10.0","12.0","285.0","13425.0","0.08","0.0","0.0","6.01","0.08","0.5","0.0","0.0","0.0","0.0","31.1","30.6","435.25","217.63","404.16","404.65","0.0","","2015.0","9.0","13425.0","144.17","112.78","4967.4261811","136.61","6017.02509843"
"2014.0","10.0","13.0","286.0","13425.0","0.08","0.0","0.0","3.98","0.08","0.33","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","13425.0","0.08","0.0","0.0","3.08","0.08","0.25","0.0","0.0","0.0","0.0","30.85","30.6","435.25","217.63","404.4","404.65","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","13425.0","0.08","0.0","0.0","2.4","0.08","0.2","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","13425.0","0.08","0.0","0.0","2.69","0.08","0.22","0.0","0.0","0.0","0.0","30.82","30.6","435.25","217.63","404.43","404.65","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","13425.0","0.08","0.0","0.0","2.49","0.08","0.2","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","13425.0","0.08","0.0","0.0","2.85","0.08","0.23","0.0","0.0","0.0","0.0","30.83","30.6","435.25","217.63","404.42","404.65","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","13425.0","0.08","0.0","0.0","2.85","0.08","0.23","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","13425.0","0.08","0.0","0.0","2.16","0.08","0.18","0.0","0.0","0.0","0.0","30.78","30.6","435.25","217.63","404.48","404.65","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","13425.0","0.08","0.0","0.0","2.66","0.08","0.22","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","13425.0","0.08","0.0","0.0","2.54","0.08","0.21","0.0","0.0","0.0","0.0","30.81","30.6","435.25","217.63","404.45","404.65","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","13425.0","0.08","0.0","0.0","2.49","0.08","0.2","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","13425.0","0.08","0.0","0.0","2.54","0.08","0.21","0.0","0.0","0.0","0.0","30.81","30.6","435.25","217.63","404.45","404.65","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","13425.0","0.08","0.0","0.0","2.22","0.08","0.18","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","13425.0","0.08","0.0","0.0","2.66","0.08","0.22","0.87","0.87","0.0","0.0","29.95","30.6","435.25","217.63","405.31","404.65","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","13425.0","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","30.15","30.6","435.25","217.63","405.11","404.65","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","13425.0","0.08","0.0","0.0","2.36","0.08","0.19","0.0","0.0","0.0","0.0","30.34","30.6","435.25","217.63","404.91","404.65","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","13425.0","0.08","0.0","0.0","2.44","0.08","0.2","0.0","0.0","0.0","0.0","30.54","30.6","435.25","217.63","404.72","404.65","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","13425.0","0.08","0.0","0.0","2.44","0.08","0.2","0.0","0.0","0.0","0.0","30.74","30.6","435.25","217.63","404.52","404.65","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","13425.0","0.08","0.0","0.0","1.29","0.08","0.1","0.07","0.07","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","13425.0","0.08","0.0","0.0","1.83","0.08","0.15","5.22","5.22","0.0","0.0","25.53","30.6","435.25","217.63","409.73","404.65","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","13425.0","0.08","0.0","0.0","2.18","0.08","0.18","0.0","0.0","0.0","0.0","25.7","30.6","435.25","217.63","409.55","404.65","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","13425.0","0.08","0.0","0.0","1.8","0.08","0.15","0.0","0.0","0.0","0.0","25.85","30.6","435.25","217.63","409.4","404.65","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","13425.0","0.08","0.0","0.0","1.75","0.08","0.14","0.0","0.0","0.0","0.0","25.99","30.6","435.25","217.63","409.26","404.65","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","13425.0","0.08","0.0","0.0","1.9","0.08","0.15","0.0","0.0","0.0","0.0","26.15","30.6","435.25","217.63","409.11","404.65","0.0","","","","","","","","",""
