" Daily soil water balance output for Corn in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Corn in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","4923.0","0.57","0.0","0.0","6.01","0.57","3.42","0.0","0.0","0.0","0.0","23.37","28.8","409.65","204.83","386.28","380.85","0.0","","2014.0","10.0","4923.0","101.46","35.72","576.934251969","0.0","0.0"
"2014.0","10.0","2.0","275.0","4923.0","0.52","0.0","0.0","4.13","0.52","2.16","0.0","0.0","0.0","0.0","25.53","28.8","409.65","204.83","384.13","380.85","0.0","","2014.0","11.0","4923.0","43.45","43.15","696.940452756","0.0","0.0"
"2014.0","10.0","3.0","276.0","4923.0","0.49","0.0","0.0","4.1","0.49","1.99","0.0","0.0","0.0","0.0","27.52","28.8","409.65","204.83","382.13","380.85","0.0","","2014.0","12.0","4923.0","31.93","34.69","560.298129921","0.0","0.0"
"2014.0","10.0","4.0","277.0","4923.0","0.46","0.0","0.0","4.11","0.46","1.87","0.0","0.0","0.0","0.0","29.39","28.8","409.65","204.83","380.26","380.85","0.0","","2015.0","1.0","4923.0","32.71","16.86","272.315551181","0.0","0.0"
"2014.0","10.0","5.0","278.0","4923.0","0.43","0.0","0.0","3.99","0.43","1.72","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","2015.0","2.0","4923.0","56.48","36.24","585.333070866","0.0","0.0"
"2014.0","10.0","6.0","279.0","4923.0","0.41","0.0","0.0","4.02","0.41","1.65","0.0","0.0","0.0","0.0","30.45","28.8","409.65","204.83","379.2","380.85","0.0","","2015.0","3.0","4923.0","103.75","60.08","970.386614173","0.0","0.0"
"2014.0","10.0","7.0","280.0","4923.0","0.39","0.0","0.0","4.14","0.39","1.62","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","2015.0","4.0","4923.0","139.25","70.84","1144.17755906","0.0","0.0"
"2014.0","10.0","8.0","281.0","4923.0","0.37","0.0","0.0","4.75","0.37","1.77","0.0","0.0","0.0","0.0","30.57","28.8","409.65","204.83","379.08","380.85","0.0","","2015.0","5.0","4923.0","156.1","43.88","708.731102362","41.45","669.482775591"
"2014.0","10.0","9.0","282.0","4923.0","0.36","0.0","0.0","4.2","0.36","1.51","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","2015.0","6.0","4923.0","203.55","159.95","2583.44438976","114.58","1850.64744094"
"2014.0","10.0","10.0","283.0","4923.0","0.35","0.0","0.0","3.66","0.35","1.27","0.0","0.0","0.0","0.0","30.07","28.8","409.65","204.83","379.58","380.85","0.0","","2015.0","7.0","4923.0","210.84","221.38","3575.63562992","216.8","3501.66141732"
"2014.0","10.0","11.0","284.0","4923.0","0.34","0.0","0.0","3.47","0.34","1.17","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","2015.0","8.0","4923.0","191.5","159.54","2576.82224409","198.52","3206.41062992"
"2014.0","10.0","12.0","285.0","4923.0","0.32","0.0","0.0","6.52","0.32","2.09","0.0","0.0","0.0","0.0","30.89","28.8","409.65","204.83","378.76","380.85","0.0","","2015.0","9.0","4923.0","147.5","15.75","254.38730315","115.38","1863.56870079"
"2014.0","10.0","13.0","286.0","4923.0","0.31","0.0","0.0","4.07","0.31","1.27","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","4923.0","0.31","0.0","0.0","3.0","0.31","0.92","0.0","0.0","0.0","0.0","29.72","28.8","409.65","204.83","379.93","380.85","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","4923.0","0.3","0.0","0.0","2.3","0.3","0.69","0.46","0.46","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","4923.0","0.3","0.0","0.0","2.65","0.3","0.79","0.27","0.27","0.0","0.0","29.32","28.8","409.65","204.83","380.33","380.85","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","4923.0","0.29","0.0","0.0","2.47","0.29","0.72","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","4923.0","0.29","0.0","0.0","2.85","0.29","0.82","0.0","0.0","0.0","0.0","29.62","28.8","409.65","204.83","380.03","380.85","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","4923.0","0.28","0.0","0.0","2.92","0.28","0.83","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","4923.0","0.28","0.0","0.0","2.24","0.28","0.63","0.0","0.0","0.0","0.0","29.43","28.8","409.65","204.83","380.22","380.85","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","4923.0","0.28","0.0","0.0","2.61","0.28","0.72","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","4923.0","0.27","0.0","0.0","2.54","0.27","0.7","0.0","0.0","0.0","0.0","29.5","28.8","409.65","204.83","380.16","380.85","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","4923.0","0.27","0.0","0.0","2.44","0.27","0.66","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","4923.0","0.27","0.0","0.0","2.57","0.27","0.69","0.0","0.0","0.0","0.0","29.49","28.8","409.65","204.83","380.16","380.85","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","4923.0","0.26","0.0","0.0","2.26","0.26","0.6","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","4923.0","0.26","0.0","0.0","2.62","0.26","0.68","1.47","1.47","0.0","0.0","28.01","28.8","409.65","204.83","381.64","380.85","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","4923.0","0.26","0.0","0.0","2.46","0.26","0.64","0.0","0.0","0.0","0.0","28.65","28.8","409.65","204.83","381.0","380.85","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","4923.0","0.26","0.0","0.0","2.33","0.26","0.6","0.0","0.0","0.0","0.0","29.25","28.8","409.65","204.83","380.4","380.85","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","4923.0","0.25","0.0","0.0","2.38","0.25","0.6","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","4923.0","0.25","0.0","0.0","2.46","0.25","0.62","0.0","0.0","0.0","0.0","29.42","28.8","409.65","204.83","380.23","380.85","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","4923.0","0.25","0.0","0.0","1.19","0.25","0.3","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","4923.0","1.15","0.0","0.0","1.87","1.15","2.14","5.89","5.89","0.0","0.0","25.05","28.8","409.65","204.83","384.6","380.85","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","4923.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","27.57","28.8","409.65","204.83","382.08","380.85","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","4923.0","1.14","0.0","0.0","1.8","1.14","2.05","0.0","0.0","0.0","0.0","29.62","28.8","409.65","204.83","380.03","380.85","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","4923.0","1.01","0.0","0.0","1.74","1.01","1.75","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","4923.0","0.91","0.0","0.0","1.79","0.91","1.62","0.0","0.0","0.0","0.0","30.42","28.8","409.65","204.83","379.23","380.85","0.0","","","","","","","","",""
