" Daily soil water balance output for Cucurbits in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Cucurbits in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","172.0","0.08","0.0","0.0","5.56","0.08","0.47","0.0","0.0","0.0","0.0","12.9","25.5","336.8","168.4","323.91","311.3","0.0","","2014.0","10.0","172.0","100.46","8.3","4.68372703412","0.0","0.0"
"2014.0","10.0","2.0","275.0","172.0","0.08","0.0","0.0","4.08","0.08","0.34","0.0","0.0","0.0","0.0","13.24","25.5","336.8","168.4","323.56","311.3","0.0","","2014.0","11.0","172.0","43.94","26.21","14.7904199475","0.0","0.0"
"2014.0","10.0","3.0","276.0","172.0","0.08","0.0","0.0","4.13","0.08","0.35","0.0","0.0","0.0","0.0","13.59","25.5","336.8","168.4","323.22","311.3","0.0","","2014.0","12.0","172.0","32.25","35.14","19.8296587927","0.0","0.0"
"2014.0","10.0","4.0","277.0","172.0","0.08","0.0","0.0","4.12","0.08","0.35","0.0","0.0","0.0","0.0","13.93","25.5","336.8","168.4","322.87","311.3","0.0","","2015.0","1.0","172.0","31.89","16.61","9.37309711286","0.0","0.0"
"2014.0","10.0","5.0","278.0","172.0","0.08","0.0","0.0","3.97","0.08","0.33","0.0","0.0","0.0","0.0","14.26","25.5","336.8","168.4","322.54","311.3","0.0","","2015.0","2.0","172.0","56.06","37.9","21.3871391076","0.0","0.0"
"2014.0","10.0","6.0","279.0","172.0","0.08","0.0","0.0","3.97","0.08","0.33","0.0","0.0","0.0","0.0","14.6","25.5","336.8","168.4","322.21","311.3","0.0","","2015.0","3.0","172.0","102.94","49.15","27.7355643045","0.0","0.0"
"2014.0","10.0","7.0","280.0","172.0","0.08","0.0","0.0","4.08","0.08","0.34","0.0","0.0","0.0","0.0","14.94","25.5","336.8","168.4","321.87","311.3","0.0","","2015.0","4.0","172.0","136.61","72.68","41.013648294","0.0","0.0"
"2014.0","10.0","8.0","281.0","172.0","0.08","0.0","0.0","4.81","0.08","0.4","0.0","0.0","0.0","0.0","15.34","25.5","336.8","168.4","321.47","311.3","0.0","","2015.0","5.0","172.0","150.49","40.56","22.8881889764","0.0","0.0"
"2014.0","10.0","9.0","282.0","172.0","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","15.68","25.5","336.8","168.4","321.13","311.3","0.0","","2015.0","6.0","172.0","196.51","108.82","61.4076115486","103.32","58.3039370079"
"2014.0","10.0","10.0","283.0","172.0","0.08","0.0","0.0","3.54","0.08","0.29","0.0","0.0","0.0","0.0","15.97","25.5","336.8","168.4","320.83","311.3","0.0","","2015.0","7.0","172.0","204.06","172.46","97.3199475066","151.5","85.4921259843"
"2014.0","10.0","11.0","284.0","172.0","0.08","0.0","0.0","3.45","0.08","0.29","0.0","0.0","0.0","0.0","16.26","25.5","336.8","168.4","320.55","311.3","0.0","","2015.0","8.0","172.0","187.5","152.77","86.2087926509","168.75","95.2263779528"
"2014.0","10.0","12.0","285.0","172.0","0.08","0.0","0.0","6.01","0.08","0.5","0.0","0.0","0.0","0.0","16.75","25.5","336.8","168.4","320.05","311.3","0.0","","2015.0","9.0","172.0","144.17","12.83","7.24002624672","118.75","67.0111548556"
"2014.0","10.0","13.0","286.0","172.0","0.08","0.0","0.0","3.98","0.08","0.33","0.0","0.0","0.0","0.0","17.08","25.5","336.8","168.4","319.72","311.3","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","172.0","0.08","0.0","0.0","3.08","0.08","0.25","0.0","0.0","0.0","0.0","17.33","25.5","336.8","168.4","319.47","311.3","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","172.0","0.08","0.0","0.0","2.4","0.08","0.2","0.0","0.0","0.0","0.0","17.53","25.5","336.8","168.4","319.27","311.3","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","172.0","0.08","0.0","0.0","2.69","0.08","0.22","0.0","0.0","0.0","0.0","17.75","25.5","336.8","168.4","319.05","311.3","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","172.0","0.08","0.0","0.0","2.49","0.08","0.2","0.0","0.0","0.0","0.0","17.95","25.5","336.8","168.4","318.85","311.3","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","172.0","0.08","0.0","0.0","2.85","0.08","0.23","0.0","0.0","0.0","0.0","18.19","25.5","336.8","168.4","318.62","311.3","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","172.0","0.08","0.0","0.0","2.85","0.08","0.23","0.0","0.0","0.0","0.0","18.42","25.5","336.8","168.4","318.38","311.3","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","172.0","0.08","0.0","0.0","2.16","0.08","0.18","0.0","0.0","0.0","0.0","18.6","25.5","336.8","168.4","318.21","311.3","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","172.0","0.08","0.0","0.0","2.66","0.08","0.22","0.0","0.0","0.0","0.0","18.82","25.5","336.8","168.4","317.99","311.3","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","172.0","0.08","0.0","0.0","2.54","0.08","0.21","0.0","0.0","0.0","0.0","19.02","25.5","336.8","168.4","317.78","311.3","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","172.0","0.08","0.0","0.0","2.49","0.08","0.2","0.0","0.0","0.0","0.0","19.23","25.5","336.8","168.4","317.58","311.3","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","172.0","0.08","0.0","0.0","2.54","0.08","0.21","0.0","0.0","0.0","0.0","19.43","25.5","336.8","168.4","317.37","311.3","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","172.0","0.08","0.0","0.0","2.22","0.08","0.18","0.0","0.0","0.0","0.0","19.61","25.5","336.8","168.4","317.19","311.3","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","172.0","0.08","0.0","0.0","2.66","0.08","0.22","0.87","0.87","0.0","0.0","18.96","25.5","336.8","168.4","317.84","311.3","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","172.0","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","19.16","25.5","336.8","168.4","317.64","311.3","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","172.0","0.08","0.0","0.0","2.36","0.08","0.19","0.0","0.0","0.0","0.0","19.35","25.5","336.8","168.4","317.45","311.3","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","172.0","0.08","0.0","0.0","2.44","0.08","0.2","0.0","0.0","0.0","0.0","19.55","25.5","336.8","168.4","317.25","311.3","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","172.0","0.08","0.0","0.0","2.44","0.08","0.2","0.0","0.0","0.0","0.0","19.75","25.5","336.8","168.4","317.06","311.3","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","172.0","0.08","0.0","0.0","1.29","0.08","0.1","0.07","0.07","0.0","0.0","19.78","25.5","336.8","168.4","317.02","311.3","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","172.0","0.08","0.0","0.0","1.83","0.08","0.15","5.22","5.22","0.0","0.0","14.71","25.5","336.8","168.4","322.09","311.3","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","172.0","0.08","0.0","0.0","2.18","0.08","0.18","0.0","0.0","0.0","0.0","14.89","25.5","336.8","168.4","321.92","311.3","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","172.0","0.08","0.0","0.0","1.8","0.08","0.15","0.0","0.0","0.0","0.0","15.03","25.5","336.8","168.4","321.77","311.3","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","172.0","0.08","0.0","0.0","1.75","0.08","0.14","0.0","0.0","0.0","0.0","15.18","25.5","336.8","168.4","321.63","311.3","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","172.0","0.08","0.0","0.0","1.9","0.08","0.15","0.0","0.0","0.0","0.0","15.33","25.5","336.8","168.4","321.48","311.3","0.0","","","","","","","","",""
