" Daily soil water balance output for Cucurbits in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Cucurbits in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","2009.0","0.08","0.0","0.0","5.64","0.08","0.46","0.0","0.0","0.0","0.0","21.2","27.0","356.62","178.31","335.42","329.62","0.0","","2014.0","10.0","2009.0","104.06","8.38","55.2343175853","0.0","0.0"
"2014.0","10.0","2.0","275.0","2009.0","0.08","0.0","0.0","4.13","0.08","0.34","0.0","0.0","0.0","0.0","21.54","27.0","356.62","178.31","335.08","329.62","0.0","","2014.0","11.0","2009.0","44.11","43.59","287.310728346","0.0","0.0"
"2014.0","10.0","3.0","276.0","2009.0","0.08","0.0","0.0","4.17","0.08","0.34","0.0","0.0","0.0","0.0","21.88","27.0","356.62","178.31","334.73","329.62","0.0","","2014.0","12.0","2009.0","32.86","35.82","236.097047244","0.0","0.0"
"2014.0","10.0","4.0","277.0","2009.0","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","22.23","27.0","356.62","178.31","334.39","329.62","0.0","","2015.0","1.0","2009.0","31.82","16.64","109.677690289","0.0","0.0"
"2014.0","10.0","5.0","278.0","2009.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","22.56","27.0","356.62","178.31","334.06","329.62","0.0","","2015.0","2.0","2009.0","55.9","36.29","239.194914698","0.0","0.0"
"2014.0","10.0","6.0","279.0","2009.0","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","22.89","27.0","356.62","178.31","333.72","329.62","0.0","","2015.0","3.0","2009.0","105.04","49.57","326.726148294","66.5","438.315288714"
"2014.0","10.0","7.0","280.0","2009.0","0.08","0.0","0.0","4.3","0.08","0.35","0.0","0.0","0.0","0.0","23.24","27.0","356.62","178.31","333.37","329.62","0.0","","2015.0","4.0","2009.0","139.8","71.08","468.503018373","120.87","796.679232283"
"2014.0","10.0","8.0","281.0","2009.0","0.08","0.0","0.0","5.11","0.08","0.41","0.0","0.0","0.0","0.0","23.66","27.0","356.62","178.31","332.96","329.62","0.0","","2015.0","5.0","2009.0","156.12","113.5","748.102034121","145.01","955.79097769"
"2014.0","10.0","9.0","282.0","2009.0","0.08","0.0","0.0","4.37","0.08","0.35","0.0","0.0","0.0","0.0","24.01","27.0","356.62","178.31","332.6","329.62","0.0","","2015.0","6.0","2009.0","205.59","190.01","1252.3953084","192.13","1266.36866798"
"2014.0","10.0","10.0","283.0","2009.0","0.08","0.0","0.0","3.76","0.08","0.3","0.0","0.0","0.0","0.0","24.32","27.0","356.62","178.31","332.3","329.62","0.0","","2015.0","7.0","2009.0","212.75","192.54","1269.07106299","120.97","797.338353018"
"2014.0","10.0","11.0","284.0","2009.0","0.08","0.0","0.0","3.57","0.08","0.29","0.0","0.0","0.0","0.0","24.61","27.0","356.62","178.31","332.01","329.62","0.0","","2015.0","8.0","2009.0","195.07","23.58","155.420669291","0.0","0.0"
"2014.0","10.0","12.0","285.0","2009.0","0.08","0.0","0.0","6.1","0.08","0.49","0.0","0.0","0.0","0.0","25.1","27.0","356.62","178.31","331.52","329.62","0.0","","2015.0","9.0","2009.0","149.12","12.91","85.0924868766","0.0","0.0"
"2014.0","10.0","13.0","286.0","2009.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","25.42","27.0","356.62","178.31","331.19","329.62","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","2009.0","0.08","0.0","0.0","3.32","0.08","0.27","0.0","0.0","0.0","0.0","25.69","27.0","356.62","178.31","330.93","329.62","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","2009.0","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","25.89","27.0","356.62","178.31","330.73","329.62","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","2009.0","0.08","0.0","0.0","2.77","0.08","0.22","0.0","0.0","0.0","0.0","26.11","27.0","356.62","178.31","330.5","329.62","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","2009.0","0.08","0.0","0.0","2.57","0.08","0.21","0.0","0.0","0.0","0.0","26.32","27.0","356.62","178.31","330.3","329.62","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","2009.0","0.08","0.0","0.0","2.93","0.08","0.23","0.0","0.0","0.0","0.0","26.55","27.0","356.62","178.31","330.06","329.62","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","2009.0","0.08","0.0","0.0","2.95","0.08","0.24","0.0","0.0","0.0","0.0","26.79","27.0","356.62","178.31","329.83","329.62","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","2009.0","0.08","0.0","0.0","2.41","0.08","0.19","0.0","0.0","0.0","0.0","26.98","27.0","356.62","178.31","329.64","329.62","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","2009.0","0.08","0.0","0.0","2.78","0.08","0.22","0.0","0.0","0.0","0.0","27.2","27.0","356.62","178.31","329.41","329.62","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","2009.0","0.08","0.0","0.0","2.61","0.08","0.21","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","2009.0","0.08","0.0","0.0","2.6","0.08","0.21","0.0","0.0","0.0","0.0","27.21","27.0","356.62","178.31","329.41","329.62","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","2009.0","0.08","0.0","0.0","2.62","0.08","0.21","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","2009.0","0.08","0.0","0.0","2.22","0.08","0.18","0.03","0.03","0.0","0.0","27.15","27.0","356.62","178.31","329.47","329.62","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","2009.0","0.08","0.0","0.0","2.76","0.08","0.22","0.77","0.77","0.0","0.0","26.38","27.0","356.62","178.31","330.24","329.62","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","2009.0","0.08","0.0","0.0","2.56","0.08","0.2","0.0","0.0","0.0","0.0","26.58","27.0","356.62","178.31","330.04","329.62","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","2009.0","0.08","0.0","0.0","2.42","0.08","0.19","0.0","0.0","0.0","0.0","26.77","27.0","356.62","178.31","329.84","329.62","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","2009.0","0.08","0.0","0.0","2.46","0.08","0.19","0.0","0.0","0.0","0.0","26.97","27.0","356.62","178.31","329.65","329.62","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","2009.0","0.08","0.0","0.0","2.53","0.08","0.2","0.0","0.0","0.0","0.0","27.17","27.0","356.62","178.31","329.45","329.62","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","2009.0","0.08","0.0","0.0","1.44","0.08","0.11","0.38","0.38","0.0","0.0","26.79","27.0","356.62","178.31","329.83","329.62","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","2009.0","1.15","0.0","0.0","1.78","1.15","2.04","8.7","8.7","0.0","0.0","20.13","27.0","356.62","178.31","336.48","329.62","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","2009.0","1.14","0.0","0.0","2.19","1.14","2.5","0.0","0.0","0.0","0.0","22.63","27.0","356.62","178.31","333.99","329.62","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","2009.0","1.14","0.0","0.0","1.79","1.14","2.05","0.0","0.0","0.0","0.0","24.68","27.0","356.62","178.31","331.94","329.62","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","2009.0","1.02","0.0","0.0","1.75","1.02","1.78","0.0","0.0","0.0","0.0","26.45","27.0","356.62","178.31","330.16","329.62","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","2009.0","0.91","0.0","0.0","1.91","0.91","1.73","0.0","0.0","0.0","0.0","28.18","27.0","356.62","178.31","328.43","329.62","0.0","","","","","","","","",""
