" Daily soil water balance output for Cucurbits in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Cucurbits in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","487.0","0.57","0.0","0.0","6.01","0.57","3.42","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","2014.0","10.0","487.0","101.46","35.72","57.0723097113","0.0","0.0"
"2014.0","10.0","2.0","275.0","487.0","0.52","0.0","0.0","4.13","0.52","2.16","0.0","0.0","0.0","0.0","26.16","24.0","316.99","158.5","290.84","292.99","0.0","","2014.0","11.0","487.0","43.45","43.15","68.9437335958","0.0","0.0"
"2014.0","10.0","3.0","276.0","487.0","0.49","0.0","0.0","4.1","0.49","1.99","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","2014.0","12.0","487.0","31.93","34.69","55.4266076115","0.0","0.0"
"2014.0","10.0","4.0","277.0","487.0","0.46","0.0","0.0","4.11","0.46","1.87","0.0","0.0","0.0","0.0","25.87","24.0","316.99","158.5","291.12","292.99","0.0","","2015.0","1.0","487.0","32.71","16.86","26.9383858268","0.0","0.0"
"2014.0","10.0","5.0","278.0","487.0","0.43","0.0","0.0","3.99","0.43","1.72","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","2015.0","2.0","487.0","56.48","36.24","57.9031496063","0.0","0.0"
"2014.0","10.0","6.0","279.0","487.0","0.41","0.0","0.0","4.02","0.41","1.65","0.0","0.0","0.0","0.0","25.65","24.0","316.99","158.5","291.34","292.99","0.0","","2015.0","3.0","487.0","103.75","60.08","95.9939632546","0.0","0.0"
"2014.0","10.0","7.0","280.0","487.0","0.39","0.0","0.0","4.14","0.39","1.62","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","2015.0","4.0","487.0","139.25","70.84","113.185958005","0.0","0.0"
"2014.0","10.0","8.0","281.0","487.0","0.37","0.0","0.0","4.75","0.37","1.77","0.0","0.0","0.0","0.0","25.77","24.0","316.99","158.5","291.22","292.99","0.0","","2015.0","5.0","487.0","156.1","41.38","66.1156824147","0.0","0.0"
"2014.0","10.0","9.0","282.0","487.0","0.36","0.0","0.0","4.2","0.36","1.51","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","2015.0","6.0","487.0","203.55","140.73","224.854035433","102.83","164.298589239"
"2014.0","10.0","10.0","283.0","487.0","0.35","0.0","0.0","3.66","0.35","1.27","0.0","0.0","0.0","0.0","25.27","24.0","316.99","158.5","291.72","292.99","0.0","","2015.0","7.0","487.0","210.84","179.08","286.12847769","165.98","265.197703412"
"2014.0","10.0","11.0","284.0","487.0","0.34","0.0","0.0","3.47","0.34","1.17","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","2015.0","8.0","487.0","191.5","181.92","290.666141732","191.5","305.972769029"
"2014.0","10.0","12.0","285.0","487.0","0.32","0.0","0.0","6.52","0.32","2.09","0.0","0.0","0.0","0.0","26.09","24.0","316.99","158.5","290.9","292.99","0.0","","2015.0","9.0","487.0","147.5","131.43","209.994783465","139.17","222.361515748"
"2014.0","10.0","13.0","286.0","487.0","0.31","0.0","0.0","4.07","0.31","1.27","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","487.0","0.31","0.0","0.0","3.0","0.31","0.92","0.0","0.0","0.0","0.0","24.92","24.0","316.99","158.5","292.07","292.99","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","487.0","0.3","0.0","0.0","2.3","0.3","0.69","0.46","0.46","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","487.0","0.3","0.0","0.0","2.65","0.3","0.79","0.27","0.27","0.0","0.0","24.52","24.0","316.99","158.5","292.47","292.99","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","487.0","0.29","0.0","0.0","2.47","0.29","0.72","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","487.0","0.29","0.0","0.0","2.85","0.29","0.82","0.0","0.0","0.0","0.0","24.82","24.0","316.99","158.5","292.17","292.99","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","487.0","0.28","0.0","0.0","2.92","0.28","0.83","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","487.0","0.28","0.0","0.0","2.24","0.28","0.63","0.0","0.0","0.0","0.0","24.63","24.0","316.99","158.5","292.36","292.99","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","487.0","0.28","0.0","0.0","2.61","0.28","0.72","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","487.0","0.27","0.0","0.0","2.54","0.27","0.7","0.0","0.0","0.0","0.0","24.7","24.0","316.99","158.5","292.3","292.99","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","487.0","0.27","0.0","0.0","2.44","0.27","0.66","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","487.0","0.27","0.0","0.0","2.57","0.27","0.69","0.0","0.0","0.0","0.0","24.69","24.0","316.99","158.5","292.31","292.99","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","487.0","0.26","0.0","0.0","2.26","0.26","0.6","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","487.0","0.26","0.0","0.0","2.62","0.26","0.68","1.47","1.47","0.0","0.0","23.21","24.0","316.99","158.5","293.78","292.99","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","487.0","0.26","0.0","0.0","2.46","0.26","0.64","0.0","0.0","0.0","0.0","23.85","24.0","316.99","158.5","293.14","292.99","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","487.0","0.26","0.0","0.0","2.33","0.26","0.6","0.0","0.0","0.0","0.0","24.45","24.0","316.99","158.5","292.54","292.99","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","487.0","0.25","0.0","0.0","2.38","0.25","0.6","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","487.0","0.25","0.0","0.0","2.46","0.25","0.62","0.0","0.0","0.0","0.0","24.62","24.0","316.99","158.5","292.37","292.99","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","487.0","0.25","0.0","0.0","1.19","0.25","0.3","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","487.0","1.15","0.0","0.0","1.87","1.15","2.14","5.89","5.89","0.0","0.0","20.25","24.0","316.99","158.5","296.74","292.99","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","487.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","22.77","24.0","316.99","158.5","294.22","292.99","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","487.0","1.14","0.0","0.0","1.8","1.14","2.05","0.0","0.0","0.0","0.0","24.82","24.0","316.99","158.5","292.17","292.99","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","487.0","1.01","0.0","0.0","1.74","1.01","1.75","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","487.0","0.91","0.0","0.0","1.79","0.91","1.62","0.0","0.0","0.0","0.0","25.62","24.0","316.99","158.5","291.37","292.99","0.0","","","","","","","","",""
