" Daily soil water balance output for Olives in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly Water balance output for Olives at 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","15.0","0.08","0.7","0.0","5.56","0.7","3.89","0.0","0.0","0.0","0.0","109.55","126.35","621.79","310.9","512.24","495.44","0.0","","2014.0","10.0","15.0","100.46","70.32","3.46062992126"
"2014.0","10.0","2.0","275.0","15.0","0.08","0.7","0.0","4.08","0.7","2.86","0.0","0.0","0.0","0.0","112.41","126.35","621.79","310.9","509.39","495.44","0.0","","2014.0","11.0","15.0","43.94","39.76","1.95669291339"
"2014.0","10.0","3.0","276.0","15.0","0.08","0.7","0.0","4.13","0.7","2.89","0.0","0.0","0.0","0.0","115.3","155.45","621.79","310.9","506.5","466.34","0.0","","2014.0","12.0","15.0","32.25","35.16","1.73031496063"
"2014.0","10.0","4.0","277.0","15.0","0.08","0.7","0.0","4.12","0.7","2.88","0.0","0.0","0.0","0.0","118.18","155.45","621.79","310.9","503.61","466.34","0.0","","2015.0","1.0","15.0","31.89","22.33","1.09891732283"
"2014.0","10.0","5.0","278.0","15.0","0.08","0.7","0.0","3.97","0.7","2.78","0.0","0.0","0.0","0.0","120.96","155.45","621.79","310.9","500.83","466.34","0.0","","2015.0","2.0","15.0","56.06","45.34","2.2312992126"
"2014.0","10.0","6.0","279.0","15.0","0.08","0.7","0.0","3.97","0.7","2.78","0.0","0.0","0.0","0.0","123.74","155.45","621.79","310.9","498.05","466.34","0.0","","2015.0","3.0","15.0","102.94","75.38","3.70964566929"
"2014.0","10.0","7.0","280.0","15.0","0.08","0.7","0.0","4.08","0.7","2.86","0.0","0.0","0.0","0.0","126.6","155.45","621.79","310.9","495.2","466.34","0.0","","2015.0","4.0","15.0","136.61","103.31","5.08415354331"
"2014.0","10.0","8.0","281.0","15.0","0.08","0.7","0.0","4.81","0.7","3.37","0.0","0.0","0.0","0.0","129.96","155.45","621.79","310.9","491.83","466.34","0.0","","2015.0","5.0","15.0","150.49","105.34","5.18405511811"
"2014.0","10.0","9.0","282.0","15.0","0.08","0.7","0.0","4.12","0.7","2.88","0.0","0.0","0.0","0.0","132.85","155.45","621.79","310.9","488.95","466.34","0.0","","2015.0","6.0","15.0","196.51","137.56","6.76968503937"
"2014.0","10.0","10.0","283.0","15.0","0.08","0.7","0.0","3.54","0.7","2.48","0.0","0.0","0.0","0.0","135.32","155.45","621.79","310.9","486.47","466.34","0.0","","2015.0","7.0","15.0","204.06","142.84","7.02952755906"
"2014.0","10.0","11.0","284.0","15.0","0.08","0.7","0.0","3.45","0.7","2.42","0.0","0.0","0.0","0.0","137.74","155.45","621.79","310.9","484.05","466.34","0.0","","2015.0","8.0","15.0","187.5","131.25","6.45915354331"
"2014.0","10.0","12.0","285.0","15.0","0.08","0.7","0.0","6.01","0.7","4.21","0.0","0.0","0.0","0.0","141.95","155.45","621.79","310.9","479.85","466.34","0.0","","2015.0","9.0","15.0","144.17","100.92","4.96653543307"
"2014.0","10.0","13.0","286.0","15.0","0.08","0.7","0.0","3.98","0.7","2.79","0.0","0.0","0.0","0.0","144.73","155.45","621.79","310.9","477.06","466.34","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","15.0","0.08","0.7","0.0","3.08","0.7","2.16","0.0","0.0","0.0","0.0","146.89","155.45","621.79","310.9","474.9","466.34","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","15.0","0.08","0.7","0.0","2.4","0.7","1.68","0.0","0.0","0.0","0.0","148.57","155.45","621.79","310.9","473.22","466.34","0.0","","","","","","",""
