" Daily soil water balance output for Olives in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Olives in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","63.0","0.56","0.7","0.0","6.18","0.7","4.33","0.0","0.0","0.0","0.0","28.13","118.45","548.64","274.32","520.51","430.19","0.0","","2014.0","10.0","63.0","103.42","72.41","14.9666338583"
"2014.0","10.0","2.0","275.0","63.0","0.52","0.7","0.0","4.2","0.7","2.94","0.0","0.0","0.0","0.0","31.07","118.45","548.64","274.32","517.57","430.19","0.0","","2014.0","11.0","63.0","43.39","43.47","8.98494094488"
"2014.0","10.0","3.0","276.0","63.0","0.48","0.7","0.0","4.14","0.7","2.9","0.0","0.0","0.0","0.0","33.97","118.45","548.64","274.32","514.67","430.19","0.0","","2014.0","12.0","63.0","32.08","34.9","7.21358267717"
"2014.0","10.0","4.0","277.0","63.0","0.45","0.7","0.0","4.18","0.7","2.93","0.0","0.0","0.0","0.0","36.89","118.45","548.64","274.32","511.75","430.19","0.0","","2015.0","1.0","63.0","33.25","23.28","4.81181102362"
"2014.0","10.0","5.0","278.0","63.0","0.43","0.7","0.0","4.06","0.7","2.84","0.0","0.0","0.0","0.0","39.73","118.45","548.64","274.32","508.91","430.19","0.0","","2015.0","2.0","63.0","56.91","44.95","9.29084645669"
"2014.0","10.0","6.0","279.0","63.0","0.41","0.7","0.0","4.12","0.7","2.88","0.0","0.0","0.0","0.0","42.62","118.45","548.64","274.32","506.02","430.19","0.0","","2015.0","3.0","63.0","104.95","76.55","15.8223425197"
"2014.0","10.0","7.0","280.0","63.0","0.39","0.7","0.0","4.25","0.7","2.98","0.0","0.0","0.0","0.0","45.59","118.45","548.64","274.32","503.05","430.19","0.0","","2015.0","4.0","63.0","140.99","105.08","21.7192913386"
"2014.0","10.0","8.0","281.0","63.0","0.37","0.7","0.0","4.81","0.7","3.37","0.0","0.0","0.0","0.0","48.96","118.45","548.64","274.32","499.68","430.19","0.0","","2015.0","5.0","63.0","160.57","112.44","23.2405511811"
"2014.0","10.0","9.0","282.0","63.0","0.35","0.7","0.0","4.33","0.7","3.03","0.0","0.0","0.0","0.0","51.99","137.16","548.64","274.32","496.65","411.48","0.0","","2015.0","6.0","63.0","209.56","146.7","30.3218503937"
"2014.0","10.0","10.0","283.0","63.0","0.34","0.7","0.0","3.77","0.7","2.64","0.0","0.0","0.0","0.0","54.63","137.16","548.64","274.32","494.01","411.48","0.0","","2015.0","7.0","63.0","216.77","151.74","31.3635826772"
"2014.0","10.0","11.0","284.0","63.0","0.33","0.7","0.0","3.53","0.7","2.47","0.0","0.0","0.0","0.0","57.1","137.16","548.64","274.32","491.54","411.48","0.0","","2015.0","8.0","63.0","196.26","137.4","28.3996062992"
"2014.0","10.0","12.0","285.0","63.0","0.32","0.7","0.0","6.72","0.7","4.7","0.0","0.0","0.0","0.0","61.8","137.16","548.64","274.32","486.84","411.48","0.0","","2015.0","9.0","63.0","150.85","105.59","21.8247047244"
"2014.0","10.0","13.0","286.0","63.0","0.31","0.7","0.0","4.16","0.7","2.91","0.0","0.0","0.0","0.0","64.72","137.16","548.64","274.32","483.92","411.48","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","63.0","0.3","0.7","0.0","3.14","0.7","2.2","0.0","0.0","0.0","0.0","66.91","137.16","548.64","274.32","481.73","411.48","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","63.0","0.3","0.7","0.0","2.28","0.7","1.6","1.75","1.75","0.0","0.0","66.76","137.16","548.64","274.32","481.88","411.48","0.0","","","","","","",""
