" Daily soil water balance output for Other Deciduous in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Other Deciduous in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","728.0","0.08","0.99","0.0","5.56","0.99","5.52","0.0","0.0","0.0","0.0","114.18","116.59","466.34","233.17","352.16","349.76","0.0","","2014.0","10.0","728.0","100.46","91.55","218.662729659","91.45","218.423884514"
"2014.0","10.0","2.0","275.0","728.0","0.08","0.99","0.0","4.08","0.99","4.02","0.0","0.0","0.0","0.0","0.0","116.59","466.34","233.17","466.34","349.76","118.21","","2014.0","11.0","728.0","43.94","26.21","62.601312336","0.0","0.0"
"2014.0","10.0","3.0","276.0","728.0","0.08","0.98","0.0","4.13","0.98","4.05","0.0","0.0","0.0","0.0","4.05","116.59","466.34","233.17","462.3","349.76","0.0","","2014.0","12.0","728.0","32.25","35.14","83.930183727","0.0","0.0"
"2014.0","10.0","4.0","277.0","728.0","0.08","0.97","0.0","4.12","0.97","4.01","0.0","0.0","0.0","0.0","8.06","116.59","466.34","233.17","458.29","349.76","0.0","","2015.0","1.0","728.0","31.89","16.61","39.6721784777","0.0","0.0"
"2014.0","10.0","5.0","278.0","728.0","0.08","0.97","0.0","3.97","0.97","3.84","0.0","0.0","0.0","0.0","11.9","116.59","466.34","233.17","454.45","349.76","0.0","","2015.0","2.0","728.0","56.06","37.9","90.5223097113","0.0","0.0"
"2014.0","10.0","6.0","279.0","728.0","0.08","0.96","0.0","3.97","0.96","3.81","0.0","0.0","0.0","0.0","15.71","116.59","466.34","233.17","450.63","349.76","0.0","","2015.0","3.0","728.0","102.94","49.15","117.392388451","70.34","168.003674541"
"2014.0","10.0","7.0","280.0","728.0","0.08","0.95","0.0","4.08","0.95","3.89","0.0","0.0","0.0","0.0","19.61","116.59","466.34","233.17","446.74","349.76","0.0","","2015.0","4.0","728.0","136.61","85.22","203.543832021","114.27","272.928346457"
"2014.0","10.0","8.0","281.0","728.0","0.08","0.95","0.0","4.81","0.95","4.56","0.0","0.0","0.0","0.0","24.16","116.59","466.34","233.17","442.18","349.76","0.0","","2015.0","5.0","728.0","150.49","112.61","268.96351706","143.58","342.933858268"
"2014.0","10.0","9.0","282.0","728.0","0.08","0.94","0.0","4.12","0.94","3.88","0.0","0.0","0.0","0.0","28.04","116.59","466.34","233.17","438.3","349.76","0.0","","2015.0","6.0","728.0","196.51","185.6","443.296587927","211.14","504.297637795"
"2014.0","10.0","10.0","283.0","728.0","0.08","0.94","0.0","3.54","0.94","3.31","0.0","0.0","0.0","0.0","31.35","116.59","466.34","233.17","434.99","349.76","0.0","","2015.0","7.0","728.0","204.06","217.68","519.918110236","220.38","526.366929134"
"2014.0","10.0","11.0","284.0","728.0","0.08","0.93","0.0","3.45","0.93","3.2","0.0","0.0","0.0","0.0","34.56","116.59","466.34","233.17","431.79","349.76","0.0","","2015.0","8.0","728.0","187.5","200.61","479.147244094","202.5","483.661417323"
"2014.0","10.0","12.0","285.0","728.0","0.08","0.92","0.0","6.01","0.92","5.54","0.0","0.0","0.0","0.0","40.1","116.59","466.34","233.17","426.24","349.76","0.0","","2015.0","9.0","728.0","144.17","152.53","364.310498688","153.29","366.125721785"
"2014.0","10.0","13.0","286.0","728.0","0.08","0.92","0.0","3.98","0.92","3.64","0.0","0.0","0.0","0.0","43.74","116.59","466.34","233.17","422.6","349.76","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","728.0","0.08","0.91","0.0","3.08","0.91","2.8","0.0","0.0","0.0","0.0","46.54","116.59","466.34","233.17","419.8","349.76","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","728.0","0.08","0.9","0.0","2.4","0.9","2.17","0.0","0.0","0.0","0.0","48.71","116.59","466.34","233.17","417.63","349.76","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","728.0","0.08","0.9","0.0","2.69","0.9","2.41","0.0","0.0","0.0","0.0","51.12","116.59","466.34","233.17","415.22","349.76","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","728.0","0.08","0.89","0.0","2.49","0.89","2.22","0.0","0.0","0.0","0.0","53.34","116.59","466.34","233.17","413.01","349.76","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","728.0","0.08","0.88","0.0","2.85","0.88","2.52","0.0","0.0","0.0","0.0","55.86","116.59","466.34","233.17","410.49","349.76","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","728.0","0.08","0.88","0.0","2.85","0.88","2.5","0.0","0.0","0.0","0.0","58.36","116.59","466.34","233.17","407.99","349.76","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","728.0","0.08","0.87","0.0","2.16","0.87","1.88","0.0","0.0","0.0","0.0","60.24","116.59","466.34","233.17","406.11","349.76","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","728.0","0.08","0.86","0.0","2.66","0.86","2.3","0.0","0.0","0.0","0.0","62.54","116.59","466.34","233.17","403.81","349.76","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","728.0","0.08","0.86","0.0","2.54","0.86","2.18","0.0","0.0","0.0","0.0","64.72","116.59","466.34","233.17","401.63","349.76","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","728.0","0.08","0.85","0.0","2.49","0.85","2.12","0.0","0.0","0.0","0.0","66.84","116.59","466.34","233.17","399.51","349.76","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","728.0","0.08","0.85","0.0","2.54","0.85","2.15","0.0","0.0","0.0","0.0","68.98","116.59","466.34","233.17","397.36","349.76","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","728.0","0.08","0.84","0.0","2.22","0.84","1.86","0.0","0.0","0.0","0.0","70.84","116.59","466.34","233.17","395.5","349.76","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","728.0","0.08","0.83","0.0","2.66","0.83","2.21","0.87","0.87","0.0","0.0","72.19","116.59","466.34","233.17","394.16","349.76","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","728.0","0.08","0.83","0.0","2.48","0.83","2.05","0.0","0.0","0.0","0.0","74.23","116.59","466.34","233.17","392.11","349.76","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","728.0","0.08","0.82","0.0","2.36","0.82","1.93","0.0","0.0","0.0","0.0","76.17","116.59","466.34","233.17","390.18","349.76","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","728.0","0.08","0.81","0.0","2.44","0.81","1.98","0.0","0.0","0.0","0.0","78.15","116.59","466.34","233.17","388.19","349.76","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","728.0","0.08","0.81","0.0","2.44","0.81","1.97","0.0","0.0","0.0","0.0","80.12","116.59","466.34","233.17","386.22","349.76","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","728.0","0.08","0.8","0.0","1.29","0.8","1.03","0.07","0.07","0.0","0.0","81.08","116.59","466.34","233.17","385.26","349.76","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","728.0","0.08","0.0","0.0","1.83","0.08","0.15","5.22","5.22","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","728.0","0.08","0.0","0.0","2.18","0.08","0.18","0.0","0.0","0.0","0.0","23.13","22.95","466.34","233.17","443.22","443.39","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","728.0","0.08","0.0","0.0","1.8","0.08","0.15","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","728.0","0.08","0.0","0.0","1.75","0.08","0.14","0.0","0.0","0.0","0.0","23.09","22.95","466.34","233.17","443.25","443.39","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","728.0","0.08","0.0","0.0","1.9","0.08","0.15","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
