" Daily soil water balance output for Other Deciduous in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Other Deciduous in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","505.0","0.57","0.94","0.0","5.96","0.94","5.61","0.0","0.0","0.0","0.0","18.33","123.07","492.27","246.14","473.94","369.21","0.0","","2014.0","10.0","505.0","103.02","90.87","150.555610236","89.22","147.821850394"
"2014.0","10.0","2.0","275.0","505.0","0.52","0.94","0.0","4.15","0.94","3.89","0.0","0.0","0.0","0.0","22.22","123.07","492.27","246.14","470.06","369.21","0.0","","2014.0","11.0","505.0","43.68","43.33","71.7901902887","0.0","0.0"
"2014.0","10.0","3.0","276.0","505.0","0.48","0.93","0.0","4.14","0.93","3.86","0.0","0.0","0.0","0.0","26.08","123.07","492.27","246.14","466.2","369.21","0.0","","2014.0","12.0","505.0","32.29","36.63","60.6894685039","0.0","0.0"
"2014.0","10.0","4.0","277.0","505.0","0.45","0.93","0.0","4.17","0.93","3.87","0.0","0.0","0.0","0.0","29.94","123.07","492.27","246.14","462.33","369.21","0.0","","2015.0","1.0","505.0","32.29","18.19","30.1376312336","0.0","0.0"
"2014.0","10.0","5.0","278.0","505.0","0.43","0.92","0.0","4.03","0.92","3.72","0.0","0.0","0.0","0.0","33.66","123.07","492.27","246.14","458.61","369.21","0.0","","2015.0","2.0","505.0","56.46","36.47","60.4243766404","0.0","0.0"
"2014.0","10.0","6.0","279.0","505.0","0.41","0.92","0.0","4.09","0.92","3.75","0.0","0.0","0.0","0.0","37.42","123.07","492.27","246.14","454.86","369.21","0.0","","2015.0","3.0","505.0","104.49","49.32","81.7145669291","72.42","119.987204724"
"2014.0","10.0","7.0","280.0","505.0","0.39","0.91","0.0","4.24","0.91","3.87","0.0","0.0","0.0","0.0","41.29","123.07","492.27","246.14","450.99","369.21","0.0","","2015.0","4.0","505.0","140.05","81.69","135.345964567","119.94","198.719488189"
"2014.0","10.0","8.0","281.0","505.0","0.37","0.91","0.0","4.92","0.91","4.47","0.0","0.0","0.0","0.0","45.76","123.07","492.27","246.14","446.52","369.21","0.0","","2015.0","5.0","505.0","157.44","123.18","204.087598425","158.75","263.020833333"
"2014.0","10.0","9.0","282.0","505.0","0.36","0.9","0.0","4.33","0.9","3.91","0.0","0.0","0.0","0.0","49.67","123.07","492.27","246.14","442.6","369.21","0.0","","2015.0","6.0","505.0","206.92","208.09","344.768536745","217.27","359.978182415"
"2014.0","10.0","10.0","283.0","505.0","0.34","0.9","0.0","3.75","0.9","3.37","0.0","0.0","0.0","0.0","53.04","123.07","492.27","246.14","439.23","369.21","0.0","","2015.0","7.0","505.0","214.06","224.74","372.354658793","224.76","372.387795276"
"2014.0","10.0","11.0","284.0","505.0","0.33","0.89","0.0","3.53","0.89","3.16","0.0","0.0","0.0","0.0","56.2","123.07","492.27","246.14","436.07","369.21","0.0","","2015.0","8.0","505.0","194.99","204.75","339.234744094","204.41","338.671423885"
"2014.0","10.0","12.0","285.0","505.0","0.32","0.89","0.0","6.45","0.89","5.74","0.0","0.0","0.0","0.0","61.94","123.07","492.27","246.14","430.34","369.21","0.0","","2015.0","9.0","505.0","149.52","151.59","251.157972441","145.88","241.697506562"
"2014.0","10.0","13.0","286.0","505.0","0.31","0.88","0.0","4.08","0.88","3.61","0.0","0.0","0.0","0.0","65.55","123.07","492.27","246.14","426.73","369.21","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","505.0","0.3","0.88","0.0","3.18","0.88","2.8","0.0","0.0","0.0","0.0","68.35","123.07","492.27","246.14","423.93","369.21","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","505.0","0.3","0.88","0.0","2.39","0.88","2.09","0.15","0.15","0.0","0.0","70.29","123.07","492.27","246.14","421.98","369.21","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","505.0","0.29","0.87","0.0","2.7","0.87","2.35","0.0","0.0","0.0","0.0","72.64","123.07","492.27","246.14","419.63","369.21","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","505.0","0.29","0.87","0.0","2.51","0.87","2.17","0.0","0.0","0.0","0.0","74.82","123.07","492.27","246.14","417.46","369.21","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","505.0","0.29","0.86","0.0","2.88","0.86","2.48","0.0","0.0","0.0","0.0","77.3","123.07","492.27","246.14","414.98","369.21","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","505.0","0.28","0.86","0.0","2.97","0.86","2.54","0.0","0.0","0.0","0.0","79.84","123.07","492.27","246.14","412.43","369.21","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","505.0","0.28","0.85","0.0","2.25","0.85","1.92","0.0","0.0","0.0","0.0","81.76","123.07","492.27","246.14","410.52","369.21","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","505.0","0.27","0.85","0.0","2.67","0.85","2.26","0.0","0.0","0.0","0.0","84.02","123.07","492.27","246.14","408.26","369.21","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","505.0","0.27","0.84","0.0","2.57","0.84","2.17","0.0","0.0","0.0","0.0","86.18","123.07","492.27","246.14","406.09","369.21","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","505.0","0.27","0.84","0.0","2.51","0.84","2.1","0.0","0.0","0.0","0.0","88.29","123.07","492.27","246.14","403.99","369.21","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","505.0","0.27","0.83","0.0","2.57","0.83","2.14","0.0","0.0","0.0","0.0","90.43","123.07","492.27","246.14","401.85","369.21","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","505.0","0.26","0.83","0.0","2.27","0.83","1.88","0.0","0.0","0.0","0.0","92.31","123.07","492.27","246.14","399.97","369.21","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","505.0","0.26","0.82","0.0","2.66","0.82","2.19","1.25","1.25","0.0","0.0","93.25","123.07","492.27","246.14","399.03","369.21","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","505.0","0.26","0.82","0.0","2.48","0.82","2.03","0.0","0.0","0.0","0.0","95.28","123.07","492.27","246.14","397.0","369.21","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","505.0","0.25","0.81","0.0","2.37","0.81","1.93","0.0","0.0","0.0","0.0","97.21","123.07","492.27","246.14","395.07","369.21","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","505.0","0.25","0.81","0.0","2.4","0.81","1.94","0.0","0.0","0.0","0.0","99.15","123.07","492.27","246.14","393.12","369.21","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","505.0","0.25","0.8","0.0","2.51","0.8","2.02","0.0","0.0","0.0","0.0","101.17","123.07","492.27","246.14","391.1","369.21","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","505.0","0.25","0.8","0.0","1.29","0.8","1.03","0.01","0.01","0.0","0.0","102.19","123.07","492.27","246.14","390.08","369.21","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","505.0","1.15","0.0","0.0","1.84","1.15","2.11","7.1","7.1","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","505.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","28.17","25.65","492.27","246.14","464.11","466.62","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","505.0","1.14","0.0","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","505.0","1.01","0.0","0.0","1.75","1.01","1.77","0.0","0.0","0.0","0.0","27.42","25.65","492.27","246.14","464.86","466.62","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","505.0","0.91","0.0","0.0","1.82","0.91","1.65","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
