" Daily soil water balance output for Other Deciduous in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Other Deciduous in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","74.0","0.57","0.94","0.0","6.01","0.94","5.64","0.0","0.0","0.0","0.0","107.75","109.73","438.91","219.46","331.16","329.18","0.0","","2014.0","10.0","74.0","101.46","89.38","21.6998687664","90.75","22.032480315"
"2014.0","10.0","2.0","275.0","74.0","0.52","0.93","0.0","4.13","0.93","3.86","0.0","0.0","0.0","0.0","0.0","109.73","438.91","219.46","438.91","329.18","111.61","","2014.0","11.0","74.0","43.45","43.15","10.4760498688","0.0","0.0"
"2014.0","10.0","3.0","276.0","74.0","0.49","0.93","0.0","4.1","0.93","3.81","0.0","0.0","0.0","0.0","3.81","109.73","438.91","219.46","435.1","329.18","0.0","","2014.0","12.0","74.0","31.93","34.69","8.42211286089","0.0","0.0"
"2014.0","10.0","4.0","277.0","74.0","0.46","0.92","0.0","4.11","0.92","3.8","0.0","0.0","0.0","0.0","7.61","109.73","438.91","219.46","431.3","329.18","0.0","","2015.0","1.0","74.0","32.71","16.86","4.09330708661","0.0","0.0"
"2014.0","10.0","5.0","278.0","74.0","0.43","0.92","0.0","3.99","0.92","3.67","0.0","0.0","0.0","0.0","11.29","109.73","438.91","219.46","427.63","329.18","0.0","","2015.0","2.0","74.0","56.48","36.24","8.79842519685","0.0","0.0"
"2014.0","10.0","6.0","279.0","74.0","0.41","0.92","0.0","4.02","0.92","3.68","0.0","0.0","0.0","0.0","14.97","109.73","438.91","219.46","423.95","329.18","0.0","","2015.0","3.0","74.0","103.75","60.08","14.586351706","75.35","18.2936351706"
"2014.0","10.0","7.0","280.0","74.0","0.39","0.91","0.0","4.14","0.91","3.77","0.0","0.0","0.0","0.0","18.74","109.73","438.91","219.46","420.17","329.18","0.0","","2015.0","4.0","74.0","139.25","84.19","20.4398293963","112.31","27.2668635171"
"2014.0","10.0","8.0","281.0","74.0","0.37","0.91","0.0","4.75","0.91","4.31","0.0","0.0","0.0","0.0","23.04","109.73","438.91","219.46","415.87","329.18","0.0","","2015.0","5.0","74.0","156.1","117.89","28.6215879265","142.42","34.5770341207"
"2014.0","10.0","9.0","282.0","74.0","0.36","0.9","0.0","4.2","0.9","3.79","0.0","0.0","0.0","0.0","26.83","109.73","438.91","219.46","412.08","329.18","0.0","","2015.0","6.0","74.0","203.55","195.25","47.4032152231","215.71","52.3705380577"
"2014.0","10.0","10.0","283.0","74.0","0.35","0.9","0.0","3.66","0.9","3.28","0.0","0.0","0.0","0.0","30.12","109.73","438.91","219.46","408.8","329.18","0.0","","2015.0","7.0","74.0","210.84","221.37","53.7446850394","238.25","57.842847769"
"2014.0","10.0","11.0","284.0","74.0","0.34","0.89","0.0","3.47","0.89","3.1","0.0","0.0","0.0","0.0","33.21","109.73","438.91","219.46","405.7","329.18","0.0","","2015.0","8.0","74.0","191.5","201.08","48.8186351706","216.4","52.5380577428"
"2014.0","10.0","12.0","285.0","74.0","0.32","0.89","0.0","6.52","0.89","5.79","0.0","0.0","0.0","0.0","39.0","109.73","438.91","219.46","399.91","329.18","0.0","","2015.0","9.0","74.0","147.5","149.15","36.2109580052","155.02","37.6360892388"
"2014.0","10.0","13.0","286.0","74.0","0.31","0.88","0.0","4.07","0.88","3.6","0.0","0.0","0.0","0.0","42.6","109.73","438.91","219.46","396.31","329.18","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","74.0","0.31","0.88","0.0","3.0","0.88","2.64","0.0","0.0","0.0","0.0","45.23","109.73","438.91","219.46","393.68","329.18","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","74.0","0.3","0.87","0.0","2.3","0.87","2.01","0.46","0.46","0.0","0.0","46.78","109.73","438.91","219.46","392.13","329.18","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","74.0","0.3","0.87","0.0","2.65","0.87","2.3","0.27","0.27","0.0","0.0","48.82","109.73","438.91","219.46","390.09","329.18","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","74.0","0.29","0.86","0.0","2.47","0.86","2.14","0.0","0.0","0.0","0.0","50.95","109.73","438.91","219.46","387.96","329.18","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","74.0","0.29","0.86","0.0","2.85","0.86","2.45","0.0","0.0","0.0","0.0","53.41","109.73","438.91","219.46","385.51","329.18","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","74.0","0.28","0.86","0.0","2.92","0.86","2.5","0.0","0.0","0.0","0.0","55.9","109.73","438.91","219.46","383.01","329.18","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","74.0","0.28","0.85","0.0","2.24","0.85","1.91","0.0","0.0","0.0","0.0","57.81","109.73","438.91","219.46","381.1","329.18","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","74.0","0.28","0.85","0.0","2.61","0.85","2.21","0.0","0.0","0.0","0.0","60.02","109.73","438.91","219.46","378.89","329.18","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","74.0","0.27","0.84","0.0","2.54","0.84","2.14","0.0","0.0","0.0","0.0","62.16","109.73","438.91","219.46","376.75","329.18","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","74.0","0.27","0.84","0.0","2.44","0.84","2.04","0.0","0.0","0.0","0.0","64.2","109.73","438.91","219.46","374.71","329.18","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","74.0","0.27","0.83","0.0","2.57","0.83","2.14","0.0","0.0","0.0","0.0","66.34","109.73","438.91","219.46","372.57","329.18","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","74.0","0.26","0.83","0.0","2.26","0.83","1.87","0.0","0.0","0.0","0.0","68.21","109.73","438.91","219.46","370.7","329.18","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","74.0","0.26","0.82","0.0","2.62","0.82","2.16","1.47","1.47","0.0","0.0","68.9","109.73","438.91","219.46","370.02","329.18","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","74.0","0.26","0.82","0.0","2.46","0.82","2.01","0.0","0.0","0.0","0.0","70.91","109.73","438.91","219.46","368.0","329.18","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","74.0","0.26","0.81","0.0","2.33","0.81","1.9","0.0","0.0","0.0","0.0","72.81","109.73","438.91","219.46","366.11","329.18","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","74.0","0.25","0.81","0.0","2.38","0.81","1.93","0.0","0.0","0.0","0.0","74.73","109.73","438.91","219.46","364.18","329.18","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","74.0","0.25","0.8","0.0","2.46","0.8","1.98","0.0","0.0","0.0","0.0","76.71","109.73","438.91","219.46","362.2","329.18","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","74.0","0.25","0.8","0.0","1.19","0.8","0.95","0.0","0.0","0.0","0.0","77.66","109.73","438.91","219.46","361.25","329.18","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","74.0","1.15","0.0","0.0","1.87","1.15","2.14","5.89","5.89","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","74.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","24.12","21.6","438.91","219.46","414.8","417.31","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","74.0","1.14","0.0","0.0","1.8","1.14","2.05","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","74.0","1.01","0.0","0.0","1.74","1.01","1.75","0.0","0.0","0.0","0.0","23.35","21.6","438.91","219.46","415.56","417.31","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","74.0","0.91","0.0","0.0","1.79","0.91","1.62","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
