" Daily soil water balance output for Pasture in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Pasture at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","298.0","0.08","0.95","0.0","5.32","0.95","5.05","0.0","0.0","0.0","0.0","28.7","51.35","214.58","107.29","185.88","163.23","0.0","","2014.0","10.0","298.0","100.62","95.6","93.467191601"
"2014.0","10.0","2.0","275.0","298.0","0.08","0.95","0.0","4.09","0.95","3.89","0.0","0.0","0.0","0.0","32.59","51.35","214.58","107.29","181.99","163.23","0.0","","2014.0","11.0","298.0","44.55","47.14","46.08832021"
"2014.0","10.0","3.0","276.0","298.0","0.08","0.95","0.0","4.19","0.95","3.98","0.0","0.0","0.0","0.0","36.57","51.35","214.58","107.29","178.01","163.23","0.0","","2014.0","12.0","298.0","32.61","36.53","35.7150262467"
"2014.0","10.0","4.0","277.0","298.0","0.08","0.95","0.0","4.16","0.95","3.95","0.0","0.0","0.0","0.0","40.52","51.35","214.58","107.29","174.06","163.23","0.0","","2015.0","1.0","298.0","32.17","30.59","29.9075459318"
"2014.0","10.0","5.0","278.0","298.0","0.08","0.95","0.0","4.02","0.95","3.82","0.0","0.0","0.0","0.0","44.34","51.35","214.58","107.29","170.24","163.23","0.0","","2015.0","2.0","298.0","56.25","55.28","54.0467191601"
"2014.0","10.0","6.0","279.0","298.0","0.08","0.95","0.0","3.98","0.95","3.78","0.0","0.0","0.0","0.0","48.12","51.35","214.58","107.29","166.46","163.23","0.0","","2015.0","3.0","298.0","102.43","98.56","96.3611548556"
"2014.0","10.0","7.0","280.0","298.0","0.08","0.95","0.0","4.04","0.95","3.84","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.23","51.96","","2015.0","4.0","298.0","135.2","129.71","126.816207349"
"2014.0","10.0","8.0","281.0","298.0","0.08","0.95","0.0","4.82","0.95","4.58","0.0","0.0","0.0","0.0","4.58","51.35","214.58","107.29","210.0","163.23","0.0","","2015.0","5.0","298.0","148.97","141.94","138.77335958"
"2014.0","10.0","9.0","282.0","298.0","0.08","0.95","0.0","4.07","0.95","3.87","0.0","0.0","0.0","0.0","8.45","51.35","214.58","107.29","206.13","163.23","0.0","","2015.0","6.0","298.0","193.42","183.75","179.650590551"
"2014.0","10.0","10.0","283.0","298.0","0.08","0.95","0.0","3.48","0.95","3.31","0.0","0.0","0.0","0.0","11.75","51.35","214.58","107.29","202.83","163.23","0.0","","2015.0","7.0","298.0","200.86","190.84","186.582414698"
"2014.0","10.0","11.0","284.0","298.0","0.08","0.95","0.0","3.42","0.95","3.25","0.0","0.0","0.0","0.0","15.0","51.35","214.58","107.29","199.58","163.23","0.0","","2015.0","8.0","298.0","184.58","175.34","171.428215223"
"2014.0","10.0","12.0","285.0","298.0","0.08","0.95","0.0","5.74","0.95","5.45","0.0","0.0","0.0","0.0","20.45","51.35","214.58","107.29","194.13","163.23","0.0","","2015.0","9.0","298.0","143.41","136.24","133.200524934"
"2014.0","10.0","13.0","286.0","298.0","0.08","0.95","0.0","3.97","0.95","3.77","0.0","0.0","0.0","0.0","24.23","51.35","214.58","107.29","190.35","163.23","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","298.0","0.08","0.95","0.0","3.13","0.95","2.97","0.0","0.0","0.0","0.0","27.2","51.35","214.58","107.29","187.38","163.23","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","298.0","0.08","0.95","0.0","2.43","0.95","2.31","0.0","0.0","0.0","0.0","29.51","51.35","214.58","107.29","185.07","163.23","0.0","","","","","","",""
