" Daily soil water balance output for Pasture in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Pasture in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","9321.0","0.08","0.95","0.0","5.56","0.95","5.28","0.0","0.0","0.0","0.0","22.39","53.71","227.99","114.0","205.6","174.28","0.0","","2014.0","10.0","9321.0","100.46","95.46","2919.23444882"
"2014.0","10.0","2.0","275.0","9321.0","0.08","0.95","0.0","4.08","0.95","3.88","0.0","0.0","0.0","0.0","26.27","53.71","227.99","114.0","201.72","174.28","0.0","","2014.0","11.0","9321.0","43.94","45.36","1387.14094488"
"2014.0","10.0","3.0","276.0","9321.0","0.08","0.95","0.0","4.13","0.95","3.92","0.0","0.0","0.0","0.0","30.19","53.71","227.99","114.0","197.8","174.28","0.0","","2014.0","12.0","9321.0","32.25","36.13","1104.88100394"
"2014.0","10.0","4.0","277.0","9321.0","0.08","0.95","0.0","4.12","0.95","3.91","0.0","0.0","0.0","0.0","34.1","53.71","227.99","114.0","193.89","174.28","0.0","","2015.0","1.0","9321.0","31.89","30.31","926.901279528"
"2014.0","10.0","5.0","278.0","9321.0","0.08","0.95","0.0","3.97","0.95","3.77","0.0","0.0","0.0","0.0","37.88","53.71","227.99","114.0","190.12","174.28","0.0","","2015.0","2.0","9321.0","56.06","55.44","1695.39448819"
"2014.0","10.0","6.0","279.0","9321.0","0.08","0.95","0.0","3.97","0.95","3.77","0.0","0.0","0.0","0.0","41.65","53.71","227.99","114.0","186.34","174.28","0.0","","2015.0","3.0","9321.0","102.94","98.74","3019.53917323"
"2014.0","10.0","7.0","280.0","9321.0","0.08","0.95","0.0","4.08","0.95","3.88","0.0","0.0","0.0","0.0","45.52","53.71","227.99","114.0","182.47","174.28","0.0","","2015.0","4.0","9321.0","136.61","131.95","4035.12450787"
"2014.0","10.0","8.0","281.0","9321.0","0.08","0.95","0.0","4.81","0.95","4.57","0.0","0.0","0.0","0.0","50.09","53.71","227.99","114.0","177.9","174.28","0.0","","2015.0","5.0","9321.0","150.49","142.96","4371.81811024"
"2014.0","10.0","9.0","282.0","9321.0","0.08","0.95","0.0","4.12","0.95","3.91","0.0","0.0","0.0","0.0","0.0","53.71","227.99","114.0","227.99","174.28","54.01","","2015.0","6.0","9321.0","196.51","186.69","5709.1125"
"2014.0","10.0","10.0","283.0","9321.0","0.08","0.95","0.0","3.54","0.95","3.36","0.0","0.0","0.0","0.0","3.36","53.71","227.99","114.0","224.63","174.28","0.0","","2015.0","7.0","9321.0","204.06","193.86","5928.3761811"
"2014.0","10.0","11.0","284.0","9321.0","0.08","0.95","0.0","3.45","0.95","3.28","0.0","0.0","0.0","0.0","6.64","53.71","227.99","114.0","221.35","174.28","0.0","","2015.0","8.0","9321.0","187.5","178.12","5447.03582677"
"2014.0","10.0","12.0","285.0","9321.0","0.08","0.95","0.0","6.01","0.95","5.71","0.0","0.0","0.0","0.0","12.35","53.71","227.99","114.0","215.64","174.28","0.0","","2015.0","9.0","9321.0","144.17","136.95","4188.02805118"
"2014.0","10.0","13.0","286.0","9321.0","0.08","0.95","0.0","3.98","0.95","3.78","0.0","0.0","0.0","0.0","16.13","53.71","227.99","114.0","211.86","174.28","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","9321.0","0.08","0.95","0.0","3.08","0.95","2.93","0.0","0.0","0.0","0.0","19.06","53.71","227.99","114.0","208.93","174.28","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","9321.0","0.08","0.95","0.0","2.4","0.95","2.28","0.0","0.0","0.0","0.0","21.34","53.71","227.99","114.0","206.65","174.28","0.0","","","","","","",""
