" Daily soil water balance output for Pasture in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Pasture in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","3987.0","0.08","0.95","0.0","5.64","0.95","5.36","0.0","0.0","0.0","0.0","29.31","58.37","241.4","120.7","212.09","183.03","0.0","","2014.0","10.0","3987.0","104.06","98.85","1293.02805118"
"2014.0","10.0","2.0","275.0","3987.0","0.08","0.95","0.0","4.13","0.95","3.92","0.0","0.0","0.0","0.0","33.24","58.37","241.4","120.7","208.17","183.03","0.0","","2014.0","11.0","3987.0","44.11","46.91","613.616043307"
"2014.0","10.0","3.0","276.0","3987.0","0.08","0.95","0.0","4.17","0.95","3.96","0.0","0.0","0.0","0.0","37.2","58.37","241.4","120.7","204.2","183.03","0.0","","2014.0","12.0","3987.0","32.86","36.79","481.239271654"
"2014.0","10.0","4.0","277.0","3987.0","0.08","0.95","0.0","4.22","0.95","4.01","0.0","0.0","0.0","0.0","41.21","58.37","241.4","120.7","200.19","183.03","0.0","","2015.0","1.0","3987.0","31.82","30.23","395.429822835"
"2014.0","10.0","5.0","278.0","3987.0","0.08","0.95","0.0","4.07","0.95","3.87","0.0","0.0","0.0","0.0","45.07","58.37","241.4","120.7","196.33","183.03","0.0","","2015.0","2.0","3987.0","55.9","54.93","718.523326772"
"2014.0","10.0","6.0","279.0","3987.0","0.08","0.95","0.0","4.12","0.95","3.91","0.0","0.0","0.0","0.0","48.99","58.37","241.4","120.7","192.41","183.03","0.0","","2015.0","3.0","3987.0","105.04","100.62","1316.18090551"
"2014.0","10.0","7.0","280.0","3987.0","0.08","0.95","0.0","4.3","0.95","4.09","0.0","0.0","0.0","0.0","53.07","58.37","241.4","120.7","188.33","183.03","0.0","","2015.0","4.0","3987.0","139.8","134.55","1760.00935039"
"2014.0","10.0","8.0","281.0","3987.0","0.08","0.95","0.0","5.11","0.95","4.85","0.0","0.0","0.0","0.0","57.93","58.37","241.4","120.7","183.47","183.03","0.0","","2015.0","5.0","3987.0","156.12","148.35","1940.52312992"
"2014.0","10.0","9.0","282.0","3987.0","0.08","0.95","0.0","4.37","0.95","4.15","0.0","0.0","0.0","0.0","0.0","58.37","241.4","120.7","241.4","183.03","62.08","","2015.0","6.0","3987.0","205.59","195.31","2554.79320866"
"2014.0","10.0","10.0","283.0","3987.0","0.08","0.95","0.0","3.76","0.95","3.57","0.0","0.0","0.0","0.0","3.57","58.37","241.4","120.7","237.83","183.03","0.0","","2015.0","7.0","3987.0","212.75","202.13","2644.00364173"
"2014.0","10.0","11.0","284.0","3987.0","0.08","0.95","0.0","3.57","0.95","3.39","0.0","0.0","0.0","0.0","6.96","58.37","241.4","120.7","234.44","183.03","0.0","","2015.0","8.0","3987.0","195.07","185.31","2423.98612205"
"2014.0","10.0","12.0","285.0","3987.0","0.08","0.95","0.0","6.1","0.95","5.8","0.0","0.0","0.0","0.0","12.76","58.37","241.4","120.7","228.64","183.03","0.0","","2015.0","9.0","3987.0","149.12","141.67","1853.14399606"
"2014.0","10.0","13.0","286.0","3987.0","0.08","0.95","0.0","4.07","0.95","3.87","0.0","0.0","0.0","0.0","16.63","58.37","241.4","120.7","224.78","183.03","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","3987.0","0.08","0.95","0.0","3.32","0.95","3.15","0.0","0.0","0.0","0.0","19.78","58.37","241.4","120.7","221.62","183.03","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","3987.0","0.08","0.95","0.0","2.48","0.95","2.36","0.0","0.0","0.0","0.0","22.14","58.37","241.4","120.7","219.27","183.03","0.0","","","","","","",""
