" Daily soil water balance output for Pasture in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Pasture in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","10805.0","0.57","0.95","0.0","5.96","0.95","5.66","0.0","0.0","0.0","0.0","25.66","61.19","254.81","127.41","229.15","193.62","0.0","","2014.0","10.0","10805.0","103.02","97.87","3469.44012467"
"2014.0","10.0","2.0","275.0","10805.0","0.52","0.95","0.0","4.15","0.95","3.94","0.0","0.0","0.0","0.0","29.6","61.19","254.81","127.41","225.21","193.62","0.0","","2014.0","11.0","10805.0","43.68","46.65","1653.71801181"
"2014.0","10.0","3.0","276.0","10805.0","0.48","0.95","0.0","4.14","0.95","3.93","0.0","0.0","0.0","0.0","33.54","61.19","254.81","127.41","221.28","193.62","0.0","","2014.0","12.0","10805.0","32.29","36.9","1308.08562992"
"2014.0","10.0","4.0","277.0","10805.0","0.45","0.95","0.0","4.17","0.95","3.96","0.0","0.0","0.0","0.0","37.5","61.19","254.81","127.41","217.31","193.62","0.0","","2015.0","1.0","10805.0","32.29","30.71","1088.65337927"
"2014.0","10.0","5.0","278.0","10805.0","0.43","0.95","0.0","4.03","0.95","3.83","0.0","0.0","0.0","0.0","41.33","61.19","254.81","127.41","213.49","193.62","0.0","","2015.0","2.0","10805.0","56.46","55.46","1966.02788714"
"2014.0","10.0","6.0","279.0","10805.0","0.41","0.95","0.0","4.09","0.95","3.89","0.0","0.0","0.0","0.0","45.21","61.19","254.81","127.41","209.6","193.62","0.0","","2015.0","3.0","10805.0","104.49","100.08","3547.78346457"
"2014.0","10.0","7.0","280.0","10805.0","0.39","0.95","0.0","4.24","0.95","4.03","0.0","0.0","0.0","0.0","49.24","61.19","254.81","127.41","205.57","193.62","0.0","","2015.0","4.0","10805.0","140.05","134.33","4761.92798556"
"2014.0","10.0","8.0","281.0","10805.0","0.37","0.95","0.0","4.92","0.95","4.67","0.0","0.0","0.0","0.0","53.92","61.19","254.81","127.41","200.9","193.62","0.0","","2015.0","5.0","10805.0","157.44","149.59","5302.88697507"
"2014.0","10.0","9.0","282.0","10805.0","0.36","0.95","0.0","4.33","0.95","4.11","0.0","0.0","0.0","0.0","58.03","61.19","254.81","127.41","196.78","193.62","0.0","","2015.0","6.0","10805.0","206.92","196.6","6969.3667979"
"2014.0","10.0","10.0","283.0","10805.0","0.34","0.95","0.0","3.75","0.95","3.56","0.0","0.0","0.0","0.0","0.0","61.19","254.81","127.41","254.81","193.62","61.59","","2015.0","7.0","10805.0","214.06","203.38","7209.71423885"
"2014.0","10.0","11.0","284.0","10805.0","0.33","0.95","0.0","3.53","0.95","3.35","0.0","0.0","0.0","0.0","3.35","61.19","254.81","127.41","251.46","193.62","0.0","","2015.0","8.0","10805.0","194.99","185.23","6566.3062664"
"2014.0","10.0","12.0","285.0","10805.0","0.32","0.95","0.0","6.45","0.95","6.13","0.0","0.0","0.0","0.0","9.48","61.19","254.81","127.41","245.33","193.62","0.0","","2015.0","9.0","10805.0","149.52","142.06","5035.95242782"
"2014.0","10.0","13.0","286.0","10805.0","0.31","0.95","0.0","4.08","0.95","3.88","0.0","0.0","0.0","0.0","13.36","61.19","254.81","127.41","241.46","193.62","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","10805.0","0.3","0.95","0.0","3.18","0.95","3.02","0.0","0.0","0.0","0.0","16.38","61.19","254.81","127.41","238.43","193.62","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","10805.0","0.3","0.95","0.0","2.39","0.95","2.27","0.15","0.15","0.0","0.0","18.5","61.19","254.81","127.41","236.31","193.62","0.0","","","","","","",""
