" Daily soil water balance output for Pasture in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Pasture in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","9222.0","0.56","0.95","0.0","6.18","0.95","5.87","0.0","0.0","0.0","0.0","42.3","47.73","201.17","100.58","158.87","153.44","0.0","","2014.0","10.0","9222.0","103.42","98.24","2972.34015748"
"2014.0","10.0","2.0","275.0","9222.0","0.52","0.95","0.0","4.2","0.95","3.99","0.0","0.0","0.0","0.0","46.29","47.73","201.17","100.58","154.88","153.44","0.0","","2014.0","11.0","9222.0","43.39","46.33","1401.75610236"
"2014.0","10.0","3.0","276.0","9222.0","0.48","0.95","0.0","4.14","0.95","3.93","0.0","0.0","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","50.22","","2014.0","12.0","9222.0","32.08","35.92","1086.79212598"
"2014.0","10.0","4.0","277.0","9222.0","0.45","0.95","0.0","4.18","0.95","3.97","0.0","0.0","0.0","0.0","3.97","47.73","201.17","100.58","197.2","153.44","0.0","","2015.0","1.0","9222.0","33.25","31.6","956.086614173"
"2014.0","10.0","5.0","278.0","9222.0","0.43","0.95","0.0","4.06","0.95","3.86","0.0","0.0","0.0","0.0","7.83","47.73","201.17","100.58","193.34","153.44","0.0","","2015.0","2.0","9222.0","56.91","55.86","1690.09488189"
"2014.0","10.0","6.0","279.0","9222.0","0.41","0.95","0.0","4.12","0.95","3.91","0.0","0.0","0.0","0.0","11.74","47.73","201.17","100.58","189.43","153.44","0.0","","2015.0","3.0","9222.0","104.95","100.5","3040.71850394"
"2014.0","10.0","7.0","280.0","9222.0","0.39","0.95","0.0","4.25","0.95","4.04","0.0","0.0","0.0","0.0","15.78","47.73","201.17","100.58","185.39","153.44","0.0","","2015.0","4.0","9222.0","140.99","135.66","4104.51614173"
"2014.0","10.0","8.0","281.0","9222.0","0.37","0.95","0.0","4.81","0.95","4.57","0.0","0.0","0.0","0.0","20.35","47.73","201.17","100.58","180.82","153.44","0.0","","2015.0","5.0","9222.0","160.57","152.55","4615.53838583"
"2014.0","10.0","9.0","282.0","9222.0","0.35","0.95","0.0","4.33","0.95","4.11","0.0","0.0","0.0","0.0","24.46","47.73","201.17","100.58","176.71","153.44","0.0","","2015.0","6.0","9222.0","209.56","199.07","6023.04311024"
"2014.0","10.0","10.0","283.0","9222.0","0.34","0.95","0.0","3.77","0.95","3.58","0.0","0.0","0.0","0.0","28.04","47.73","201.17","100.58","173.12","153.44","0.0","","2015.0","7.0","9222.0","216.77","205.95","6231.20374016"
"2014.0","10.0","11.0","284.0","9222.0","0.33","0.95","0.0","3.53","0.95","3.35","0.0","0.0","0.0","0.0","31.4","47.73","201.17","100.58","169.77","153.44","0.0","","2015.0","8.0","9222.0","196.26","186.46","5641.51614173"
"2014.0","10.0","12.0","285.0","9222.0","0.32","0.95","0.0","6.72","0.95","6.38","0.0","0.0","0.0","0.0","37.78","47.73","201.17","100.58","163.39","153.44","0.0","","2015.0","9.0","9222.0","150.85","143.31","4335.9738189"
"2014.0","10.0","13.0","286.0","9222.0","0.31","0.95","0.0","4.16","0.95","3.95","0.0","0.0","0.0","0.0","41.73","47.73","201.17","100.58","159.43","153.44","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","9222.0","0.3","0.95","0.0","3.14","0.95","2.98","0.0","0.0","0.0","0.0","44.72","47.73","201.17","100.58","156.45","153.44","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","9222.0","0.3","0.95","0.0","2.28","0.95","2.17","1.75","1.75","0.0","0.0","45.13","47.73","201.17","100.58","156.04","153.44","0.0","","","","","","",""
