" Daily soil water balance output for Pears in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Pears in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","107.0","0.08","0.0","0.0","5.64","0.08","0.46","0.0","0.0","0.0","0.0","18.5","24.3","491.66","245.83","473.16","467.36","0.0","","2014.0","10.0","107.0","104.06","8.38","2.94179790026","89.25","31.3312007874"
"2014.0","10.0","2.0","275.0","107.0","0.08","0.0","0.0","4.13","0.08","0.34","0.0","0.0","0.0","0.0","18.84","24.3","491.66","245.83","472.82","467.36","0.0","","2014.0","11.0","107.0","44.11","43.59","15.3022637795","0.0","0.0"
"2014.0","10.0","3.0","276.0","107.0","0.08","0.0","0.0","4.17","0.08","0.34","0.0","0.0","0.0","0.0","19.18","24.3","491.66","245.83","472.48","467.36","0.0","","2014.0","12.0","107.0","32.86","35.82","12.5746062992","0.0","0.0"
"2014.0","10.0","4.0","277.0","107.0","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","19.53","24.3","491.66","245.83","472.13","467.36","0.0","","2015.0","1.0","107.0","31.82","16.64","5.84146981627","0.0","0.0"
"2014.0","10.0","5.0","278.0","107.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","19.86","24.3","491.66","245.83","471.8","467.36","0.0","","2015.0","2.0","107.0","55.9","36.29","12.7395997375","0.0","0.0"
"2014.0","10.0","6.0","279.0","107.0","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","20.19","24.3","491.66","245.83","471.47","467.36","0.0","","2015.0","3.0","107.0","105.04","49.57","17.4015419948","69.81","24.5067913386"
"2014.0","10.0","7.0","280.0","107.0","0.08","0.0","0.0","4.3","0.08","0.35","0.0","0.0","0.0","0.0","20.54","24.3","491.66","245.83","471.12","467.36","0.0","","2015.0","4.0","107.0","139.8","86.26","30.2815616798","121.79","42.7543635171"
"2014.0","10.0","8.0","281.0","107.0","0.08","0.0","0.0","5.11","0.08","0.41","0.0","0.0","0.0","0.0","20.96","24.3","491.66","245.83","470.7","467.36","0.0","","2015.0","5.0","107.0","156.12","137.83","48.3852034121","159.31","55.9257545932"
"2014.0","10.0","9.0","282.0","107.0","0.08","0.0","0.0","4.37","0.08","0.35","0.0","0.0","0.0","0.0","21.31","24.3","491.66","245.83","470.35","467.36","0.0","","2015.0","6.0","107.0","205.59","215.87","75.7811351706","215.87","75.7811351706"
"2014.0","10.0","10.0","283.0","107.0","0.08","0.0","0.0","3.76","0.08","0.3","0.0","0.0","0.0","0.0","21.62","24.3","491.66","245.83","470.04","467.36","0.0","","2015.0","7.0","107.0","212.75","223.33","78.3999671916","223.39","78.4210301837"
"2014.0","10.0","11.0","284.0","107.0","0.08","0.0","0.0","3.57","0.08","0.29","0.0","0.0","0.0","0.0","21.91","24.3","491.66","245.83","469.75","467.36","0.0","","2015.0","8.0","107.0","195.07","187.19","65.7130249344","202.65","71.1402559055"
"2014.0","10.0","12.0","285.0","107.0","0.08","0.0","0.0","6.1","0.08","0.49","0.0","0.0","0.0","0.0","22.4","24.3","491.66","245.83","469.26","467.36","0.0","","2015.0","9.0","107.0","149.12","73.57","25.8267388451","142.34","49.9684383202"
"2014.0","10.0","13.0","286.0","107.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","22.72","24.3","491.66","245.83","468.94","467.36","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","107.0","0.08","0.0","0.0","3.32","0.08","0.27","0.0","0.0","0.0","0.0","22.99","24.3","491.66","245.83","468.67","467.36","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","107.0","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","23.19","24.3","491.66","245.83","468.47","467.36","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","107.0","0.08","0.0","0.0","2.77","0.08","0.22","0.0","0.0","0.0","0.0","23.41","24.3","491.66","245.83","468.25","467.36","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","107.0","0.08","0.0","0.0","2.57","0.08","0.21","0.0","0.0","0.0","0.0","23.62","24.3","491.66","245.83","468.04","467.36","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","107.0","0.08","0.0","0.0","2.93","0.08","0.23","0.0","0.0","0.0","0.0","23.85","24.3","491.66","245.83","467.81","467.36","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","107.0","0.08","0.0","0.0","2.95","0.08","0.24","0.0","0.0","0.0","0.0","24.09","24.3","491.66","245.83","467.57","467.36","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","107.0","0.08","0.0","0.0","2.41","0.08","0.19","0.0","0.0","0.0","0.0","24.28","24.3","491.66","245.83","467.38","467.36","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","107.0","0.08","0.0","0.0","2.78","0.08","0.22","0.0","0.0","0.0","0.0","24.5","24.3","491.66","245.83","467.16","467.36","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","107.0","0.08","0.0","0.0","2.61","0.08","0.21","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","107.0","0.08","0.0","0.0","2.6","0.08","0.21","0.0","0.0","0.0","0.0","24.51","24.3","491.66","245.83","467.15","467.36","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","107.0","0.08","0.0","0.0","2.62","0.08","0.21","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","107.0","0.08","0.0","0.0","2.22","0.08","0.18","0.03","0.03","0.0","0.0","24.45","24.3","491.66","245.83","467.21","467.36","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","107.0","0.08","0.0","0.0","2.76","0.08","0.22","0.77","0.77","0.0","0.0","23.68","24.3","491.66","245.83","467.98","467.36","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","107.0","0.08","0.0","0.0","2.56","0.08","0.2","0.0","0.0","0.0","0.0","23.88","24.3","491.66","245.83","467.78","467.36","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","107.0","0.08","0.0","0.0","2.42","0.08","0.19","0.0","0.0","0.0","0.0","24.07","24.3","491.66","245.83","467.59","467.36","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","107.0","0.08","0.0","0.0","2.46","0.08","0.19","0.0","0.0","0.0","0.0","24.27","24.3","491.66","245.83","467.39","467.36","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","107.0","0.08","0.0","0.0","2.53","0.08","0.2","0.0","0.0","0.0","0.0","24.47","24.3","491.66","245.83","467.19","467.36","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","107.0","0.08","0.0","0.0","1.44","0.08","0.11","0.38","0.38","0.0","0.0","24.09","24.3","491.66","245.83","467.57","467.36","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","107.0","1.15","0.0","0.0","1.78","1.15","2.04","8.7","8.7","0.0","0.0","17.43","24.3","491.66","245.83","474.23","467.36","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","107.0","1.14","0.0","0.0","2.19","1.14","2.5","0.0","0.0","0.0","0.0","19.93","24.3","491.66","245.83","471.73","467.36","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","107.0","1.14","0.0","0.0","1.79","1.14","2.05","0.0","0.0","0.0","0.0","21.98","24.3","491.66","245.83","469.68","467.36","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","107.0","1.02","0.0","0.0","1.75","1.02","1.78","0.0","0.0","0.0","0.0","23.75","24.3","491.66","245.83","467.91","467.36","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","107.0","0.91","0.0","0.0","1.91","0.91","1.73","0.0","0.0","0.0","0.0","25.48","24.3","491.66","245.83","466.18","467.36","0.0","","","","","","","","",""
