" Daily soil water balance output for Pears in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Pears in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","5105.0","0.57","0.92","0.0","5.96","0.92","5.5","0.0","0.0","0.0","0.0","118.59","123.07","492.27","246.14","373.69","369.21","0.0","","2014.0","10.0","5105.0","103.02","89.76","1503.36220472","88.32","1479.24409449"
"2014.0","10.0","2.0","275.0","5105.0","0.52","0.92","0.0","4.15","0.92","3.81","0.0","0.0","0.0","0.0","122.4","123.07","492.27","246.14","369.87","369.21","0.0","","2014.0","11.0","5105.0","43.68","43.33","725.720636483","0.0","0.0"
"2014.0","10.0","3.0","276.0","5105.0","0.48","0.91","0.0","4.14","0.91","3.79","0.0","0.0","0.0","0.0","0.0","123.07","492.27","246.14","492.27","369.21","126.19","","2014.0","12.0","5105.0","32.29","36.63","613.504429134","0.0","0.0"
"2014.0","10.0","4.0","277.0","5105.0","0.45","0.91","0.0","4.17","0.91","3.8","0.0","0.0","0.0","0.0","3.8","123.07","492.27","246.14","488.48","369.21","0.0","","2015.0","1.0","5105.0","32.29","18.19","304.658628609","0.0","0.0"
"2014.0","10.0","5.0","278.0","5105.0","0.43","0.91","0.0","4.03","0.91","3.65","0.0","0.0","0.0","0.0","7.45","123.07","492.27","246.14","484.82","369.21","0.0","","2015.0","2.0","5105.0","56.46","36.47","610.824639108","0.0","0.0"
"2014.0","10.0","6.0","279.0","5105.0","0.41","0.9","0.0","4.09","0.9","3.69","0.0","0.0","0.0","0.0","11.14","123.07","492.27","246.14","481.13","369.21","0.0","","2015.0","3.0","5105.0","104.49","49.32","826.045275591","73.04","1223.32414698"
"2014.0","10.0","7.0","280.0","5105.0","0.39","0.9","0.0","4.24","0.9","3.81","0.0","0.0","0.0","0.0","14.95","123.07","492.27","246.14","477.32","369.21","0.0","","2015.0","4.0","5105.0","140.05","81.89","1371.55003281","122.32","2048.69947507"
"2014.0","10.0","8.0","281.0","5105.0","0.37","0.89","0.0","4.92","0.89","4.4","0.0","0.0","0.0","0.0","19.35","123.07","492.27","246.14","472.92","369.21","0.0","","2015.0","5.0","5105.0","157.44","125.62","2103.97014436","161.22","2700.2234252"
"2014.0","10.0","9.0","282.0","5105.0","0.36","0.89","0.0","4.33","0.89","3.85","0.0","0.0","0.0","0.0","23.21","123.07","492.27","246.14","469.07","369.21","0.0","","2015.0","6.0","5105.0","206.92","211.23","3537.82529528","217.27","3638.98736877"
"2014.0","10.0","10.0","283.0","5105.0","0.34","0.89","0.0","3.75","0.89","3.32","0.0","0.0","0.0","0.0","26.53","123.07","492.27","246.14","465.75","369.21","0.0","","2015.0","7.0","5105.0","214.06","224.78","3764.77001312","224.76","3764.43503937"
"2014.0","10.0","11.0","284.0","5105.0","0.33","0.88","0.0","3.53","0.88","3.11","0.0","0.0","0.0","0.0","29.64","123.07","492.27","246.14","462.63","369.21","0.0","","2015.0","8.0","5105.0","194.99","204.75","3429.29379921","202.31","3388.42700131"
"2014.0","10.0","12.0","285.0","5105.0","0.32","0.88","0.0","6.45","0.88","5.66","0.0","0.0","0.0","0.0","35.3","123.07","492.27","246.14","456.97","369.21","0.0","","2015.0","9.0","5105.0","149.52","148.02","2479.14074803","142.42","2385.34809711"
"2014.0","10.0","13.0","286.0","5105.0","0.31","0.87","0.0","4.08","0.87","3.56","0.0","0.0","0.0","0.0","38.87","123.07","492.27","246.14","453.41","369.21","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","5105.0","0.3","0.87","0.0","3.18","0.87","2.77","0.0","0.0","0.0","0.0","41.63","123.07","492.27","246.14","450.64","369.21","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","5105.0","0.3","0.87","0.0","2.39","0.87","2.07","0.15","0.15","0.0","0.0","43.55","123.07","492.27","246.14","448.72","369.21","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","5105.0","0.29","0.86","0.0","2.7","0.86","2.33","0.0","0.0","0.0","0.0","45.88","123.07","492.27","246.14","446.4","369.21","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","5105.0","0.29","0.86","0.0","2.51","0.86","2.15","0.0","0.0","0.0","0.0","48.03","123.07","492.27","246.14","444.24","369.21","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","5105.0","0.29","0.85","0.0","2.88","0.85","2.46","0.0","0.0","0.0","0.0","50.49","123.07","492.27","246.14","441.79","369.21","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","5105.0","0.28","0.85","0.0","2.97","0.85","2.52","0.0","0.0","0.0","0.0","53.01","123.07","492.27","246.14","439.26","369.21","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","5105.0","0.28","0.85","0.0","2.25","0.85","1.9","0.0","0.0","0.0","0.0","54.91","123.07","492.27","246.14","437.36","369.21","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","5105.0","0.27","0.84","0.0","2.67","0.84","2.25","0.0","0.0","0.0","0.0","57.16","123.07","492.27","246.14","435.12","369.21","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","5105.0","0.27","0.84","0.0","2.57","0.84","2.15","0.0","0.0","0.0","0.0","59.31","123.07","492.27","246.14","432.97","369.21","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","5105.0","0.27","0.83","0.0","2.51","0.83","2.09","0.0","0.0","0.0","0.0","61.4","123.07","492.27","246.14","430.88","369.21","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","5105.0","0.27","0.83","0.0","2.57","0.83","2.13","0.0","0.0","0.0","0.0","63.53","123.07","492.27","246.14","428.75","369.21","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","5105.0","0.26","0.82","0.0","2.27","0.82","1.87","0.0","0.0","0.0","0.0","65.4","123.07","492.27","246.14","426.88","369.21","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","5105.0","0.26","0.82","0.0","2.66","0.82","2.18","1.25","1.25","0.0","0.0","66.33","123.07","492.27","246.14","425.94","369.21","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","5105.0","0.26","0.82","0.0","2.48","0.82","2.02","0.0","0.0","0.0","0.0","68.36","123.07","492.27","246.14","423.92","369.21","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","5105.0","0.25","0.81","0.0","2.37","0.81","1.93","0.0","0.0","0.0","0.0","70.28","123.07","492.27","246.14","421.99","369.21","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","5105.0","0.25","0.81","0.0","2.4","0.81","1.94","0.0","0.0","0.0","0.0","72.22","123.07","492.27","246.14","420.05","369.21","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","5105.0","0.25","0.8","0.0","2.51","0.8","2.02","0.0","0.0","0.0","0.0","74.24","123.07","492.27","246.14","418.03","369.21","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","5105.0","0.25","0.8","0.0","1.29","0.8","1.03","0.01","0.01","0.0","0.0","75.26","123.07","492.27","246.14","417.01","369.21","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","5105.0","1.15","0.0","0.0","1.84","1.15","2.11","7.1","7.1","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","5105.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","28.17","25.65","492.27","246.14","464.11","466.62","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","5105.0","1.14","0.0","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","5105.0","1.01","0.0","0.0","1.75","1.01","1.77","0.0","0.0","0.0","0.0","27.42","25.65","492.27","246.14","464.86","466.62","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","5105.0","0.91","0.0","0.0","1.82","0.91","1.65","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
