" Daily soil water balance output for Pistachios in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Citrus & Subtropical in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","111.0","0.08","0.69","0.0","5.64","0.69","3.89","0.0","0.0","0.0","0.0","27.48","150.23","600.92","300.46","573.43","450.69","0.0","","2014.0","10.0","111.0","104.06","44.26","16.1183070866","74.86","27.262007874"
"2014.0","10.0","2.0","275.0","111.0","0.08","0.68","0.0","4.13","0.68","2.82","0.0","0.0","0.0","0.0","30.3","150.23","600.92","300.46","570.61","450.69","0.0","","2014.0","11.0","111.0","44.11","43.59","15.8743110236","0.0","0.0"
"2014.0","10.0","3.0","276.0","111.0","0.08","0.68","0.0","4.17","0.68","2.82","0.0","0.0","0.0","0.0","33.13","150.23","600.92","300.46","567.79","450.69","0.0","","2014.0","12.0","111.0","32.86","35.82","13.0446850394","0.0","0.0"
"2014.0","10.0","4.0","277.0","111.0","0.08","0.67","0.0","4.22","0.67","2.83","0.0","0.0","0.0","0.0","35.95","150.23","600.92","300.46","564.96","450.69","0.0","","2015.0","1.0","111.0","31.82","16.64","6.05984251969","0.0","0.0"
"2014.0","10.0","5.0","278.0","111.0","0.08","0.66","0.0","4.07","0.66","2.7","0.0","0.0","0.0","0.0","38.66","150.23","600.92","300.46","562.26","450.69","0.0","","2015.0","2.0","111.0","55.9","36.29","13.2158464567","33.4","12.1633858268"
"2014.0","10.0","6.0","279.0","111.0","0.08","0.66","0.0","4.12","0.66","2.71","0.0","0.0","0.0","0.0","41.37","150.23","600.92","300.46","559.55","450.69","0.0","","2015.0","3.0","111.0","105.04","74.14","26.9998031496","93.86","34.1812992126"
"2014.0","10.0","7.0","280.0","111.0","0.08","0.65","0.0","4.3","0.65","2.8","0.0","0.0","0.0","0.0","44.16","150.23","600.92","300.46","556.75","450.69","0.0","","2015.0","4.0","111.0","139.8","121.46","44.232480315","134.61","49.0213582677"
"2014.0","10.0","8.0","281.0","111.0","0.08","0.64","0.0","5.11","0.64","3.29","0.0","0.0","0.0","0.0","47.46","150.23","600.92","300.46","553.46","450.69","0.0","","2015.0","5.0","111.0","156.12","138.41","50.4052165354","155.76","56.7236220472"
"2014.0","10.0","9.0","282.0","111.0","0.08","0.64","0.0","4.37","0.64","2.79","0.0","0.0","0.0","0.0","50.25","150.23","600.92","300.46","550.67","450.69","0.0","","2015.0","6.0","111.0","205.59","185.05","67.3902559055","205.59","74.8703740157"
"2014.0","10.0","10.0","283.0","111.0","0.08","0.63","0.0","3.76","0.63","2.38","0.0","0.0","0.0","0.0","52.62","150.23","600.92","300.46","548.29","450.69","0.0","","2015.0","7.0","111.0","212.75","191.5","69.7391732283","212.75","77.4778543307"
"2014.0","10.0","11.0","284.0","111.0","0.08","0.63","0.0","3.57","0.63","2.23","0.0","0.0","0.0","0.0","54.86","150.23","600.92","300.46","546.06","450.69","0.0","","2015.0","8.0","111.0","195.07","175.48","63.9051181102","195.07","71.0392716535"
"2014.0","10.0","12.0","285.0","111.0","0.08","0.62","0.0","6.1","0.62","3.78","0.0","0.0","0.0","0.0","58.63","150.23","600.92","300.46","542.28","450.69","0.0","","2015.0","9.0","111.0","149.12","118.37","43.1071850394","137.04","49.9062992126"
"2014.0","10.0","13.0","286.0","111.0","0.08","0.61","0.0","4.07","0.61","2.49","0.0","0.0","0.0","0.0","61.13","150.23","600.92","300.46","539.79","450.69","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","111.0","0.08","0.61","0.0","3.32","0.61","2.01","0.0","0.0","0.0","0.0","63.14","150.23","600.92","300.46","537.78","450.69","0.0","","","","","","1181.01","430.092224409","",""
"2014.0","10.0","15.0","288.0","111.0","0.08","0.6","0.0","2.48","0.6","1.49","0.0","0.0","0.0","0.0","64.63","150.23","600.92","300.46","536.29","450.69","0.0","","","","","","1350.82","491.932480315","",""
"2014.0","10.0","16.0","289.0","111.0","0.08","0.0","0.0","2.77","0.08","0.22","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","111.0","0.08","0.0","0.0","2.57","0.08","0.21","0.0","0.0","0.0","0.0","29.91","29.7","600.92","300.46","571.01","571.22","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","111.0","0.08","0.0","0.0","2.93","0.08","0.23","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","111.0","0.08","0.0","0.0","2.95","0.08","0.24","0.0","0.0","0.0","0.0","29.94","29.7","600.92","300.46","570.98","571.22","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","111.0","0.08","0.0","0.0","2.41","0.08","0.19","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","111.0","0.08","0.0","0.0","2.78","0.08","0.22","0.0","0.0","0.0","0.0","29.92","29.7","600.92","300.46","571.0","571.22","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","111.0","0.08","0.0","0.0","2.61","0.08","0.21","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","111.0","0.08","0.0","0.0","2.6","0.08","0.21","0.0","0.0","0.0","0.0","29.91","29.7","600.92","300.46","571.01","571.22","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","111.0","0.08","0.0","0.0","2.62","0.08","0.21","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","111.0","0.08","0.0","0.0","2.22","0.08","0.18","0.03","0.03","0.0","0.0","29.85","29.7","600.92","300.46","571.07","571.22","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","111.0","0.08","0.0","0.0","2.76","0.08","0.22","0.77","0.77","0.0","0.0","29.08","29.7","600.92","300.46","571.84","571.22","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","111.0","0.08","0.0","0.0","2.56","0.08","0.2","0.0","0.0","0.0","0.0","29.28","29.7","600.92","300.46","571.64","571.22","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","111.0","0.08","0.0","0.0","2.42","0.08","0.19","0.0","0.0","0.0","0.0","29.47","29.7","600.92","300.46","571.45","571.22","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","111.0","0.08","0.0","0.0","2.46","0.08","0.19","0.0","0.0","0.0","0.0","29.67","29.7","600.92","300.46","571.25","571.22","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","111.0","0.08","0.0","0.0","2.53","0.08","0.2","0.0","0.0","0.0","0.0","29.87","29.7","600.92","300.46","571.05","571.22","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","111.0","0.08","0.0","0.0","1.44","0.08","0.11","0.38","0.38","0.0","0.0","29.49","29.7","600.92","300.46","571.43","571.22","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","111.0","1.15","0.0","0.0","1.78","1.15","2.04","8.7","8.7","0.0","0.0","22.83","29.7","600.92","300.46","578.09","571.22","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","111.0","1.14","0.0","0.0","2.19","1.14","2.5","0.0","0.0","0.0","0.0","25.33","29.7","600.92","300.46","575.59","571.22","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","111.0","1.14","0.0","0.0","1.79","1.14","2.05","0.0","0.0","0.0","0.0","27.38","29.7","600.92","300.46","573.54","571.22","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","111.0","1.02","0.0","0.0","1.75","1.02","1.78","0.0","0.0","0.0","0.0","29.15","29.7","600.92","300.46","571.77","571.22","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","111.0","0.91","0.0","0.0","1.91","0.91","1.73","0.0","0.0","0.0","0.0","30.88","29.7","600.92","300.46","570.03","571.22","0.0","","","","","","","","",""
