" Daily soil water balance output for Potatoes in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Potatoes in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","2938.0","0.08","0.0","0.0","5.64","0.08","0.46","0.0","0.0","0.0","0.0","18.56","24.3","197.51","98.76","178.95","173.21","0.0","","2014.0","10.0","2938.0","104.06","8.38","80.7757217848","0.0","0.0"
"2014.0","10.0","2.0","275.0","2938.0","0.08","0.0","0.0","4.13","0.08","0.34","0.0","0.0","0.0","0.0","18.9","24.3","197.51","98.76","178.61","173.21","0.0","","2014.0","11.0","2938.0","44.11","43.59","420.168700787","0.0","0.0"
"2014.0","10.0","3.0","276.0","2938.0","0.08","0.0","0.0","4.17","0.08","0.34","0.0","0.0","0.0","0.0","19.24","24.3","197.51","98.76","178.27","173.21","0.0","","2014.0","12.0","2938.0","32.86","35.82","345.272834646","0.0","0.0"
"2014.0","10.0","4.0","277.0","2938.0","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","19.59","24.3","197.51","98.76","177.92","173.21","0.0","","2015.0","1.0","2938.0","31.82","16.64","160.394750656","0.0","0.0"
"2014.0","10.0","5.0","278.0","2938.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","19.92","24.3","197.51","98.76","177.59","173.21","0.0","","2015.0","2.0","2938.0","55.9","36.29","349.803215223","0.0","0.0"
"2014.0","10.0","6.0","279.0","2938.0","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","20.26","24.3","197.51","98.76","177.26","173.21","0.0","","2015.0","3.0","2938.0","105.04","49.57","477.810564304","0.0","0.0"
"2014.0","10.0","7.0","280.0","2938.0","0.08","0.0","0.0","4.3","0.08","0.35","0.0","0.0","0.0","0.0","20.61","24.3","197.51","98.76","176.91","173.21","0.0","","2015.0","4.0","2938.0","139.8","119.9","1155.72900262","67.43","649.965026247"
"2014.0","10.0","8.0","281.0","2938.0","0.08","0.0","0.0","5.11","0.08","0.41","0.0","0.0","0.0","0.0","21.02","24.3","197.51","98.76","176.49","173.21","0.0","","2015.0","5.0","2938.0","156.12","167.24","1612.04435696","135.36","1304.7496063"
"2014.0","10.0","9.0","282.0","2938.0","0.08","0.0","0.0","4.37","0.08","0.35","0.0","0.0","0.0","0.0","21.37","24.3","197.51","98.76","176.14","173.21","0.0","","2015.0","6.0","2938.0","205.59","198.0","1908.54330709","222.44","2144.12309711"
"2014.0","10.0","10.0","283.0","2938.0","0.08","0.0","0.0","3.76","0.08","0.3","0.0","0.0","0.0","0.0","21.68","24.3","197.51","98.76","175.83","173.21","0.0","","2015.0","7.0","2938.0","212.75","28.72","276.835170604","231.85","2234.82709974"
"2014.0","10.0","11.0","284.0","2938.0","0.08","0.0","0.0","3.57","0.08","0.29","0.0","0.0","0.0","0.0","21.97","24.3","197.51","98.76","175.54","173.21","0.0","","2015.0","8.0","2938.0","195.07","18.84","181.600787402","117.53","1132.88431759"
"2014.0","10.0","12.0","285.0","2938.0","0.08","0.0","0.0","6.1","0.08","0.49","0.0","0.0","0.0","0.0","22.46","24.3","197.51","98.76","175.05","173.21","0.0","","2015.0","9.0","2938.0","149.12","12.91","124.440879265","0.0","0.0"
"2014.0","10.0","13.0","286.0","2938.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","22.78","24.3","197.51","98.76","174.73","173.21","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","2938.0","0.08","0.0","0.0","3.32","0.08","0.27","0.0","0.0","0.0","0.0","23.05","24.3","197.51","98.76","174.46","173.21","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","2938.0","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","23.25","24.3","197.51","98.76","174.26","173.21","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","2938.0","0.08","0.0","0.0","2.77","0.08","0.22","0.0","0.0","0.0","0.0","23.47","24.3","197.51","98.76","174.04","173.21","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","2938.0","0.08","0.0","0.0","2.57","0.08","0.21","0.0","0.0","0.0","0.0","23.68","24.3","197.51","98.76","173.83","173.21","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","2938.0","0.08","0.0","0.0","2.93","0.08","0.23","0.0","0.0","0.0","0.0","23.91","24.3","197.51","98.76","173.6","173.21","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","2938.0","0.08","0.0","0.0","2.95","0.08","0.24","0.0","0.0","0.0","0.0","24.15","24.3","197.51","98.76","173.36","173.21","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","2938.0","0.08","0.0","0.0","2.41","0.08","0.19","0.0","0.0","0.0","0.0","24.34","24.3","197.51","98.76","173.17","173.21","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","2938.0","0.08","0.0","0.0","2.78","0.08","0.22","0.0","0.0","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","2938.0","0.08","0.0","0.0","2.61","0.08","0.21","0.0","0.0","0.0","0.0","24.51","24.3","197.51","98.76","173.0","173.21","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","2938.0","0.08","0.0","0.0","2.6","0.08","0.21","0.0","0.0","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","2938.0","0.08","0.0","0.0","2.62","0.08","0.21","0.0","0.0","0.0","0.0","24.51","24.3","197.51","98.76","173.0","173.21","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","2938.0","0.08","0.0","0.0","2.22","0.08","0.18","0.03","0.03","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","2938.0","0.08","0.0","0.0","2.76","0.08","0.22","0.77","0.77","0.0","0.0","23.75","24.3","197.51","98.76","173.76","173.21","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","2938.0","0.08","0.0","0.0","2.56","0.08","0.2","0.0","0.0","0.0","0.0","23.95","24.3","197.51","98.76","173.56","173.21","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","2938.0","0.08","0.0","0.0","2.42","0.08","0.19","0.0","0.0","0.0","0.0","24.14","24.3","197.51","98.76","173.37","173.21","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","2938.0","0.08","0.0","0.0","2.46","0.08","0.19","0.0","0.0","0.0","0.0","24.34","24.3","197.51","98.76","173.17","173.21","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","2938.0","0.08","0.0","0.0","2.53","0.08","0.2","0.0","0.0","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","2938.0","0.08","0.0","0.0","1.44","0.08","0.11","0.38","0.38","0.0","0.0","24.03","24.3","197.51","98.76","173.48","173.21","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","2938.0","1.15","0.0","0.0","1.78","1.15","2.04","8.7","8.7","0.0","0.0","17.38","24.3","197.51","98.76","180.13","173.21","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","2938.0","1.14","0.0","0.0","2.19","1.14","2.5","0.0","0.0","0.0","0.0","19.88","24.3","197.51","98.76","177.63","173.21","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","2938.0","1.14","0.0","0.0","1.79","1.14","2.05","0.0","0.0","0.0","0.0","21.92","24.3","197.51","98.76","175.59","173.21","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","2938.0","1.02","0.0","0.0","1.75","1.02","1.78","0.0","0.0","0.0","0.0","23.7","24.3","197.51","98.76","173.81","173.21","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","2938.0","0.91","0.0","0.0","1.91","0.91","1.73","0.0","0.0","0.0","0.0","25.43","24.3","197.51","98.76","172.08","173.21","0.0","","","","","","","","",""
