" Daily soil water balance output for Rice in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Rice in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","2335.0","0.08","0.0","0.0","5.64","0.08","0.46","0.0","0.0","0.0","0.0","21.26","27.0","219.46","109.73","198.2","192.46","0.0","","2014.0","10.0","2335.0","104.06","8.38","64.1971784777","0.0","0.0"
"2014.0","10.0","2.0","275.0","2335.0","0.08","0.0","0.0","4.13","0.08","0.34","0.0","0.0","0.0","0.0","21.6","27.0","219.46","109.73","197.86","192.46","0.0","","2014.0","11.0","2335.0","44.11","43.59","333.93257874","0.0","0.0"
"2014.0","10.0","3.0","276.0","2335.0","0.08","0.0","0.0","4.17","0.08","0.34","0.0","0.0","0.0","0.0","21.94","27.0","219.46","109.73","197.51","192.46","0.0","","2014.0","12.0","2335.0","32.86","35.82","274.408464567","0.0","0.0"
"2014.0","10.0","4.0","277.0","2335.0","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","22.29","27.0","219.46","109.73","197.17","192.46","0.0","","2015.0","1.0","2335.0","31.82","16.64","127.475065617","0.0","0.0"
"2014.0","10.0","5.0","278.0","2335.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","22.62","27.0","219.46","109.73","196.84","192.46","0.0","","2015.0","2.0","2335.0","55.9","36.29","278.00902231","0.0","0.0"
"2014.0","10.0","6.0","279.0","2335.0","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","22.96","27.0","219.46","109.73","196.5","192.46","0.0","","2015.0","3.0","2335.0","105.04","49.57","379.743930446","0.0","0.0"
"2014.0","10.0","7.0","280.0","2335.0","0.08","0.0","0.0","4.3","0.08","0.35","0.0","0.0","0.0","0.0","23.31","27.0","219.46","109.73","196.15","192.46","0.0","","2015.0","4.0","2335.0","139.8","71.08","544.526902887","0.0","0.0"
"2014.0","10.0","8.0","281.0","2335.0","0.08","0.0","0.0","5.11","0.08","0.41","0.0","0.0","0.0","0.0","23.72","27.0","219.46","109.73","195.74","192.46","0.0","","2015.0","5.0","2335.0","156.12","171.09","1310.67962598","171.08","1310.60301837"
"2014.0","10.0","9.0","282.0","2335.0","0.08","0.0","0.0","4.37","0.08","0.35","0.0","0.0","0.0","0.0","24.07","27.0","219.46","109.73","195.38","192.46","0.0","","2015.0","6.0","2335.0","205.59","206.21","1579.72555774","206.22","1579.80216535"
"2014.0","10.0","10.0","283.0","2335.0","0.08","0.0","0.0","3.76","0.08","0.3","0.0","0.0","0.0","0.0","24.38","27.0","219.46","109.73","195.08","192.46","0.0","","2015.0","7.0","2335.0","212.75","212.75","1629.8269357","212.75","1629.8269357"
"2014.0","10.0","11.0","284.0","2335.0","0.08","0.0","0.0","3.57","0.08","0.29","0.0","0.0","0.0","0.0","24.67","27.0","219.46","109.73","194.79","192.46","0.0","","2015.0","8.0","2335.0","195.07","190.79","1461.59662073","190.8","1461.67322835"
"2014.0","10.0","12.0","285.0","2335.0","0.08","0.0","0.0","6.1","0.08","0.49","0.0","0.0","0.0","0.0","25.16","27.0","219.46","109.73","194.3","192.46","0.0","","2015.0","9.0","2335.0","149.12","87.02","666.639435696","84.12","644.423228346"
"2014.0","10.0","13.0","286.0","2335.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","25.48","27.0","219.46","109.73","193.97","192.46","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","2335.0","0.08","0.0","0.0","3.32","0.08","0.27","0.0","0.0","0.0","0.0","25.75","27.0","219.46","109.73","193.71","192.46","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","2335.0","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","25.95","27.0","219.46","109.73","193.51","192.46","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","2335.0","0.08","0.0","0.0","2.77","0.08","0.22","0.0","0.0","0.0","0.0","26.17","27.0","219.46","109.73","193.28","192.46","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","2335.0","0.08","0.0","0.0","2.57","0.08","0.21","0.0","0.0","0.0","0.0","26.38","27.0","219.46","109.73","193.08","192.46","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","2335.0","0.08","0.0","0.0","2.93","0.08","0.23","0.0","0.0","0.0","0.0","26.61","27.0","219.46","109.73","192.84","192.46","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","2335.0","0.08","0.0","0.0","2.95","0.08","0.24","0.0","0.0","0.0","0.0","26.85","27.0","219.46","109.73","192.61","192.46","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","2335.0","0.08","0.0","0.0","2.41","0.08","0.19","0.0","0.0","0.0","0.0","27.04","27.0","219.46","109.73","192.42","192.46","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","2335.0","0.08","0.0","0.0","2.78","0.08","0.22","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","2335.0","0.08","0.0","0.0","2.61","0.08","0.21","0.0","0.0","0.0","0.0","27.21","27.0","219.46","109.73","192.25","192.46","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","2335.0","0.08","0.0","0.0","2.6","0.08","0.21","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","2335.0","0.08","0.0","0.0","2.62","0.08","0.21","0.0","0.0","0.0","0.0","27.21","27.0","219.46","109.73","192.25","192.46","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","2335.0","0.08","0.0","0.0","2.22","0.08","0.18","0.03","0.03","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","2335.0","0.08","0.0","0.0","2.76","0.08","0.22","0.77","0.77","0.0","0.0","26.45","27.0","219.46","109.73","193.01","192.46","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","2335.0","0.08","0.0","0.0","2.56","0.08","0.2","0.0","0.0","0.0","0.0","26.65","27.0","219.46","109.73","192.8","192.46","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","2335.0","0.08","0.0","0.0","2.42","0.08","0.19","0.0","0.0","0.0","0.0","26.84","27.0","219.46","109.73","192.61","192.46","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","2335.0","0.08","0.0","0.0","2.46","0.08","0.19","0.0","0.0","0.0","0.0","27.04","27.0","219.46","109.73","192.42","192.46","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","2335.0","0.08","0.0","0.0","2.53","0.08","0.2","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","2335.0","0.08","0.0","0.0","1.44","0.08","0.11","0.38","0.38","0.0","0.0","26.73","27.0","219.46","109.73","192.72","192.46","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","2335.0","1.15","0.0","0.0","1.78","1.15","2.04","8.7","8.7","0.0","0.0","20.08","27.0","219.46","109.73","199.38","192.46","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","2335.0","1.14","0.0","0.0","2.19","1.14","2.5","0.0","0.0","0.0","0.0","22.58","27.0","219.46","109.73","196.88","192.46","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","2335.0","1.14","0.0","0.0","1.79","1.14","2.05","0.0","0.0","0.0","0.0","24.62","27.0","219.46","109.73","194.83","192.46","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","2335.0","1.02","0.0","0.0","1.75","1.02","1.78","0.0","0.0","0.0","0.0","26.4","27.0","219.46","109.73","193.06","192.46","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","2335.0","0.91","0.0","0.0","1.91","0.91","1.73","0.0","0.0","0.0","0.0","28.13","27.0","219.46","109.73","191.33","192.46","0.0","","","","","","","","",""
