" Daily soil water balance output for Rice in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Rice in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","1249.0","0.57","0.0","0.0","5.96","0.57","3.38","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","2014.0","10.0","1249.0","103.02","35.97","147.396751969","0.0","0.0"
"2014.0","10.0","2.0","275.0","1249.0","0.52","0.0","0.0","4.15","0.52","2.16","0.0","0.0","0.0","0.0","30.66","28.5","231.65","115.82","200.99","203.15","0.0","","2014.0","11.0","1249.0","43.68","43.33","177.556332021","0.0","0.0"
"2014.0","10.0","3.0","276.0","1249.0","0.48","0.0","0.0","4.14","0.48","2.0","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","2014.0","12.0","1249.0","32.29","36.63","150.101279528","0.0","0.0"
"2014.0","10.0","4.0","277.0","1249.0","0.45","0.0","0.0","4.17","0.45","1.89","0.0","0.0","0.0","0.0","30.39","28.5","231.65","115.82","201.26","203.15","0.0","","2015.0","1.0","1249.0","32.29","18.19","74.5384186352","0.0","0.0"
"2014.0","10.0","5.0","278.0","1249.0","0.43","0.0","0.0","4.03","0.43","1.73","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","2015.0","2.0","1249.0","56.46","36.47","149.445636483","0.0","0.0"
"2014.0","10.0","6.0","279.0","1249.0","0.41","0.0","0.0","4.09","0.41","1.67","0.0","0.0","0.0","0.0","30.17","28.5","231.65","115.82","201.48","203.15","0.0","","2015.0","3.0","1249.0","104.49","49.32","202.101968504","0.0","0.0"
"2014.0","10.0","7.0","280.0","1249.0","0.39","0.0","0.0","4.24","0.39","1.65","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","2015.0","4.0","1249.0","140.05","68.86","282.172375328","0.0","0.0"
"2014.0","10.0","8.0","281.0","1249.0","0.37","0.0","0.0","4.92","0.37","1.82","0.0","0.0","0.0","0.0","30.32","28.5","231.65","115.82","201.33","203.15","0.0","","2015.0","5.0","1249.0","157.44","172.52","706.947112861","172.53","706.988090551"
"2014.0","10.0","9.0","282.0","1249.0","0.36","0.0","0.0","4.33","0.36","1.54","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","2015.0","6.0","1249.0","206.92","207.54","850.450984252","207.54","850.450984252"
"2014.0","10.0","10.0","283.0","1249.0","0.34","0.0","0.0","3.75","0.34","1.29","0.0","0.0","0.0","0.0","29.79","28.5","231.65","115.82","201.86","203.15","0.0","","2015.0","7.0","1249.0","214.06","214.06","877.16843832","214.06","877.16843832"
"2014.0","10.0","11.0","284.0","1249.0","0.33","0.0","0.0","3.53","0.33","1.18","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","2015.0","8.0","1249.0","194.99","190.78","781.772375328","190.77","781.731397638"
"2014.0","10.0","12.0","285.0","1249.0","0.32","0.0","0.0","6.45","0.32","2.05","0.0","0.0","0.0","0.0","30.55","28.5","231.65","115.82","201.09","203.15","0.0","","2015.0","9.0","1249.0","149.52","87.26","357.571325459","84.32","345.523884514"
"2014.0","10.0","13.0","286.0","1249.0","0.31","0.0","0.0","4.08","0.31","1.26","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","1249.0","0.3","0.0","0.0","3.18","0.3","0.96","0.0","0.0","0.0","0.0","29.46","28.5","231.65","115.82","202.18","203.15","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","1249.0","0.3","0.0","0.0","2.39","0.3","0.72","0.15","0.15","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","1249.0","0.29","0.0","0.0","2.7","0.29","0.8","0.0","0.0","0.0","0.0","29.3","28.5","231.65","115.82","202.35","203.15","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","1249.0","0.29","0.0","0.0","2.51","0.29","0.73","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","1249.0","0.29","0.0","0.0","2.88","0.29","0.82","0.0","0.0","0.0","0.0","29.32","28.5","231.65","115.82","202.32","203.15","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","1249.0","0.28","0.0","0.0","2.97","0.28","0.84","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","1249.0","0.28","0.0","0.0","2.25","0.28","0.63","0.0","0.0","0.0","0.0","29.13","28.5","231.65","115.82","202.52","203.15","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","1249.0","0.27","0.0","0.0","2.67","0.27","0.73","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","1249.0","0.27","0.0","0.0","2.57","0.27","0.7","0.0","0.0","0.0","0.0","29.2","28.5","231.65","115.82","202.45","203.15","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","1249.0","0.27","0.0","0.0","2.51","0.27","0.67","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","1249.0","0.27","0.0","0.0","2.57","0.27","0.68","0.0","0.0","0.0","0.0","29.18","28.5","231.65","115.82","202.47","203.15","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","1249.0","0.26","0.0","0.0","2.27","0.26","0.6","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","1249.0","0.26","0.0","0.0","2.66","0.26","0.69","1.25","1.25","0.0","0.0","27.94","28.5","231.65","115.82","203.71","203.15","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","1249.0","0.26","0.0","0.0","2.48","0.26","0.64","0.0","0.0","0.0","0.0","28.58","28.5","231.65","115.82","203.07","203.15","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","1249.0","0.25","0.0","0.0","2.37","0.25","0.6","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","1249.0","0.25","0.0","0.0","2.4","0.25","0.6","0.0","0.0","0.0","0.0","29.1","28.5","231.65","115.82","202.54","203.15","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","1249.0","0.25","0.0","0.0","2.51","0.25","0.62","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","1249.0","0.25","0.0","0.0","1.29","0.25","0.32","0.01","0.01","0.0","0.0","28.81","28.5","231.65","115.82","202.84","203.15","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","1249.0","1.15","0.0","0.0","1.84","1.15","2.11","7.1","7.1","0.0","0.0","21.71","28.5","231.65","115.82","209.94","203.15","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","1249.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","24.23","28.5","231.65","115.82","207.42","203.15","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","1249.0","1.14","0.0","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","26.28","28.5","231.65","115.82","205.37","203.15","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","1249.0","1.01","0.0","0.0","1.75","1.01","1.77","0.0","0.0","0.0","0.0","28.05","28.5","231.65","115.82","203.6","203.15","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","1249.0","0.91","0.0","0.0","1.82","0.91","1.65","0.0","0.0","0.0","0.0","29.7","28.5","231.65","115.82","201.95","203.15","0.0","","","","","","","","",""
