" Daily soil water balance output for Riparian in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Riparian in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","3.0","0.08","1.1","0.0","5.64","1.1","6.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","10.0","3.0","104.06","110.09","1.08356299213"
"2014.0","10.0","2.0","275.0","3.0","0.08","1.1","0.0","4.13","1.1","4.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","11.0","3.0","44.11","47.24","0.464960629921"
"2014.0","10.0","3.0","276.0","3.0","0.08","1.09","0.0","4.17","1.09","4.56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","12.0","3.0","32.86","36.0","0.354330708661"
"2014.0","10.0","4.0","277.0","3.0","0.08","1.09","0.0","4.22","1.09","4.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","1.0","3.0","31.82","25.45","0.250492125984"
"2014.0","10.0","5.0","278.0","3.0","0.08","1.09","0.0","4.07","1.09","4.42","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","2.0","3.0","55.9","48.35","0.475885826772"
"2014.0","10.0","6.0","279.0","3.0","0.08","1.08","0.0","4.12","1.08","4.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","3.0","3.0","105.04","86.05","0.846948818898"
"2014.0","10.0","7.0","280.0","3.0","0.08","1.08","0.0","4.3","1.08","4.64","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","4.0","3.0","139.8","121.75","1.19832677165"
"2014.0","10.0","8.0","281.0","3.0","0.08","1.08","0.0","5.11","1.08","5.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","5.0","3.0","156.12","147.72","1.45393700787"
"2014.0","10.0","9.0","282.0","3.0","0.08","1.07","0.0","4.37","1.07","4.69","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","6.0","3.0","205.59","215.44","2.12047244094"
"2014.0","10.0","10.0","283.0","3.0","0.08","1.07","0.0","3.76","1.07","4.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","7.0","3.0","212.75","233.98","2.30295275591"
"2014.0","10.0","11.0","284.0","3.0","0.08","1.07","0.0","3.57","1.07","3.81","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","8.0","3.0","195.07","214.55","2.11171259843"
"2014.0","10.0","12.0","285.0","3.0","0.08","1.06","0.0","6.1","1.06","6.49","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","9.0","3.0","149.12","164.03","1.61446850394"
"2014.0","10.0","13.0","286.0","3.0","0.08","1.06","0.0","4.07","1.06","4.32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","3.0","0.08","1.06","0.0","3.32","1.06","3.51","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","3.0","0.08","1.05","0.0","2.48","1.05","2.61","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
