" Daily soil water balance output for Riparian in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Riparian in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","79.0","0.56","1.1","0.0","6.18","1.1","6.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","10.0","79.0","103.42","109.52","28.3860892388"
"2014.0","10.0","2.0","275.0","79.0","0.52","1.1","0.0","4.2","1.1","4.61","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","11.0","79.0","43.39","46.68","12.0988188976"
"2014.0","10.0","3.0","276.0","79.0","0.48","1.09","0.0","4.14","1.09","4.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","12.0","79.0","32.08","35.1","9.09744094488"
"2014.0","10.0","4.0","277.0","79.0","0.45","1.09","0.0","4.18","1.09","4.56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","1.0","79.0","33.25","26.62","6.89954068241"
"2014.0","10.0","5.0","278.0","79.0","0.43","1.09","0.0","4.06","1.09","4.41","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","2.0","79.0","56.91","49.09","12.7234580052"
"2014.0","10.0","6.0","279.0","79.0","0.41","1.08","0.0","4.12","1.08","4.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","3.0","79.0","104.95","85.93","22.2718832021"
"2014.0","10.0","7.0","280.0","79.0","0.39","1.08","0.0","4.25","1.08","4.59","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","4.0","79.0","140.99","122.77","31.820308399"
"2014.0","10.0","8.0","281.0","79.0","0.37","1.08","0.0","4.81","1.08","5.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","5.0","79.0","160.57","151.85","39.3574475066"
"2014.0","10.0","9.0","282.0","79.0","0.35","1.07","0.0","4.33","1.07","4.65","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","6.0","79.0","209.56","219.61","56.9199146982"
"2014.0","10.0","10.0","283.0","79.0","0.34","1.07","0.0","3.77","1.07","4.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","7.0","79.0","216.77","238.39","61.7874343832"
"2014.0","10.0","11.0","284.0","79.0","0.33","1.07","0.0","3.53","1.07","3.77","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","8.0","79.0","196.26","215.87","55.9505577428"
"2014.0","10.0","12.0","285.0","79.0","0.32","1.06","0.0","6.72","1.06","7.15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","9.0","79.0","150.85","165.92","43.0041994751"
"2014.0","10.0","13.0","286.0","79.0","0.31","1.06","0.0","4.16","1.06","4.41","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","79.0","0.3","1.06","0.0","3.14","1.06","3.32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","79.0","0.3","1.05","0.0","2.28","1.05","2.4","1.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
