" Daily soil water balance output for Safflower in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Safflower in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","858.0","0.57","0.0","0.0","5.96","0.57","3.38","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2014.0","10.0","858.0","103.02","35.97","101.254133858","0.0","0.0"
"2014.0","10.0","2.0","275.0","858.0","0.52","0.0","0.0","4.15","0.52","2.16","0.0","0.0","0.0","0.0","33.51","31.35","601.67","300.83","568.16","570.32","0.0","","2014.0","11.0","858.0","43.68","43.33","121.972244094","0.0","0.0"
"2014.0","10.0","3.0","276.0","858.0","0.48","0.0","0.0","4.14","0.48","2.0","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2014.0","12.0","858.0","32.29","36.63","103.112007874","0.0","0.0"
"2014.0","10.0","4.0","277.0","858.0","0.45","0.0","0.0","4.17","0.45","1.89","0.0","0.0","0.0","0.0","33.24","31.35","601.67","300.83","568.43","570.32","0.0","","2015.0","1.0","858.0","32.29","18.19","51.2041338583","0.0","0.0"
"2014.0","10.0","5.0","278.0","858.0","0.43","0.0","0.0","4.03","0.43","1.73","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2015.0","2.0","858.0","56.46","36.47","102.661614173","0.0","0.0"
"2014.0","10.0","6.0","279.0","858.0","0.41","0.0","0.0","4.09","0.41","1.67","0.0","0.0","0.0","0.0","33.02","31.35","601.67","300.83","568.65","570.32","0.0","","2015.0","3.0","858.0","104.49","49.32","138.833858268","0.0","0.0"
"2014.0","10.0","7.0","280.0","858.0","0.39","0.0","0.0","4.24","0.39","1.65","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2015.0","4.0","858.0","140.05","68.86","193.838188976","0.0","0.0"
"2014.0","10.0","8.0","281.0","858.0","0.37","0.0","0.0","4.92","0.37","1.82","0.0","0.0","0.0","0.0","33.17","31.35","601.67","300.83","568.5","570.32","0.0","","2015.0","5.0","858.0","157.44","73.6","207.181102362","47.79","134.526968504"
"2014.0","10.0","9.0","282.0","858.0","0.36","0.0","0.0","4.33","0.36","1.54","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2015.0","6.0","858.0","206.92","215.92","607.806299213","169.17","476.206889764"
"2014.0","10.0","10.0","283.0","858.0","0.34","0.0","0.0","3.75","0.34","1.29","0.0","0.0","0.0","0.0","32.64","31.35","601.67","300.83","569.03","570.32","0.0","","2015.0","7.0","858.0","214.06","76.7","215.907480315","224.76","632.690551181"
"2014.0","10.0","11.0","284.0","858.0","0.33","0.0","0.0","3.53","0.33","1.18","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2015.0","8.0","858.0","194.99","18.78","52.8649606299","142.16","400.17480315"
"2014.0","10.0","12.0","285.0","858.0","0.32","0.0","0.0","6.45","0.32","2.05","0.0","0.0","0.0","0.0","33.4","31.35","601.67","300.83","568.27","570.32","0.0","","2015.0","9.0","858.0","149.52","12.92","36.3692913386","0.0","0.0"
"2014.0","10.0","13.0","286.0","858.0","0.31","0.0","0.0","4.08","0.31","1.26","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","858.0","0.3","0.0","0.0","3.18","0.3","0.96","0.0","0.0","0.0","0.0","32.31","31.35","601.67","300.83","569.35","570.32","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","858.0","0.3","0.0","0.0","2.39","0.3","0.72","0.15","0.15","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","858.0","0.29","0.0","0.0","2.7","0.29","0.8","0.0","0.0","0.0","0.0","32.15","31.35","601.67","300.83","569.52","570.32","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","858.0","0.29","0.0","0.0","2.51","0.29","0.73","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","858.0","0.29","0.0","0.0","2.88","0.29","0.82","0.0","0.0","0.0","0.0","32.17","31.35","601.67","300.83","569.5","570.32","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","858.0","0.28","0.0","0.0","2.97","0.28","0.84","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","858.0","0.28","0.0","0.0","2.25","0.28","0.63","0.0","0.0","0.0","0.0","31.98","31.35","601.67","300.83","569.69","570.32","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","858.0","0.27","0.0","0.0","2.67","0.27","0.73","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","858.0","0.27","0.0","0.0","2.57","0.27","0.7","0.0","0.0","0.0","0.0","32.05","31.35","601.67","300.83","569.62","570.32","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","858.0","0.27","0.0","0.0","2.51","0.27","0.67","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","858.0","0.27","0.0","0.0","2.57","0.27","0.68","0.0","0.0","0.0","0.0","32.03","31.35","601.67","300.83","569.64","570.32","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","858.0","0.26","0.0","0.0","2.27","0.26","0.6","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","858.0","0.26","0.0","0.0","2.66","0.26","0.69","1.25","1.25","0.0","0.0","30.79","31.35","601.67","300.83","570.88","570.32","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","858.0","0.26","0.0","0.0","2.48","0.26","0.64","0.0","0.0","0.0","0.0","31.43","31.35","601.67","300.83","570.24","570.32","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","858.0","0.25","0.0","0.0","2.37","0.25","0.6","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","858.0","0.25","0.0","0.0","2.4","0.25","0.6","0.0","0.0","0.0","0.0","31.95","31.35","601.67","300.83","569.72","570.32","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","858.0","0.25","0.0","0.0","2.51","0.25","0.62","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","858.0","0.25","0.0","0.0","1.29","0.25","0.32","0.01","0.01","0.0","0.0","31.66","31.35","601.67","300.83","570.01","570.32","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","858.0","1.15","0.0","0.0","1.84","1.15","2.11","7.1","7.1","0.0","0.0","24.56","31.35","601.67","300.83","577.11","570.32","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","858.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","27.08","31.35","601.67","300.83","574.59","570.32","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","858.0","1.14","0.0","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","29.13","31.35","601.67","300.83","572.54","570.32","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","858.0","1.01","0.0","0.0","1.75","1.01","1.77","0.0","0.0","0.0","0.0","30.9","31.35","601.67","300.83","570.77","570.32","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","858.0","0.91","0.0","0.0","1.82","0.91","1.65","0.0","0.0","0.0","0.0","32.55","31.35","601.67","300.83","569.12","570.32","0.0","","","","","","","","",""
