" Daily soil water balance output for Safflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Safflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","2072.0","0.56","0.0","0.0","6.18","0.56","3.48","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","2014.0","10.0","2072.0","103.42","36.03","244.928346457","0.0","0.0"
"2014.0","10.0","2.0","275.0","2072.0","0.52","0.0","0.0","4.2","0.52","2.17","0.0","0.0","0.0","0.0","26.92","24.75","514.57","257.29","487.65","489.82","0.0","","2014.0","11.0","2072.0","43.39","42.98","292.173753281","0.0","0.0"
"2014.0","10.0","3.0","276.0","2072.0","0.48","0.0","0.0","4.14","0.48","1.99","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","2014.0","12.0","2072.0","32.08","34.9","237.24671916","0.0","0.0"
"2014.0","10.0","4.0","277.0","2072.0","0.45","0.0","0.0","4.18","0.45","1.89","0.0","0.0","0.0","0.0","26.64","24.75","514.57","257.29","487.94","489.82","0.0","","2015.0","1.0","2072.0","33.25","17.16","116.651968504","0.0","0.0"
"2014.0","10.0","5.0","278.0","2072.0","0.43","0.0","0.0","4.06","0.43","1.73","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","2015.0","2.0","2072.0","56.91","36.39","247.375590551","0.0","0.0"
"2014.0","10.0","6.0","279.0","2072.0","0.41","0.0","0.0","4.12","0.41","1.67","0.0","0.0","0.0","0.0","26.42","24.75","514.57","257.29","488.15","489.82","0.0","","2015.0","3.0","2072.0","104.95","49.39","335.748293963","0.0","0.0"
"2014.0","10.0","7.0","280.0","2072.0","0.39","0.0","0.0","4.25","0.39","1.65","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","2015.0","4.0","2072.0","140.99","71.2","484.010498688","0.0","0.0"
"2014.0","10.0","8.0","281.0","2072.0","0.37","0.0","0.0","4.81","0.37","1.77","0.0","0.0","0.0","0.0","26.52","24.75","514.57","257.29","488.05","489.82","0.0","","2015.0","5.0","2072.0","160.57","74.78","508.346981627","48.44","329.290288714"
"2014.0","10.0","9.0","282.0","2072.0","0.35","0.0","0.0","4.33","0.35","1.54","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","2015.0","6.0","2072.0","209.56","218.67","1486.49685039","171.2","1163.80052493"
"2014.0","10.0","10.0","283.0","2072.0","0.34","0.0","0.0","3.77","0.34","1.29","0.0","0.0","0.0","0.0","26.04","24.75","514.57","257.29","488.53","489.82","0.0","","2015.0","7.0","2072.0","216.77","77.48","526.701312336","227.61","1547.27007874"
"2014.0","10.0","11.0","284.0","2072.0","0.33","0.0","0.0","3.53","0.33","1.18","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","2015.0","8.0","2072.0","196.26","18.72","127.256692913","143.24","973.731233596"
"2014.0","10.0","12.0","285.0","2072.0","0.32","0.0","0.0","6.72","0.32","2.13","0.0","0.0","0.0","0.0","26.88","24.75","514.57","257.29","487.69","489.82","0.0","","2015.0","9.0","2072.0","150.85","12.92","87.8288713911","0.0","0.0"
"2014.0","10.0","13.0","286.0","2072.0","0.31","0.0","0.0","4.16","0.31","1.28","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","2072.0","0.3","0.0","0.0","3.14","0.3","0.95","0.0","0.0","0.0","0.0","25.7","24.75","514.57","257.29","488.87","489.82","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","2072.0","0.3","0.0","0.0","2.28","0.3","0.68","1.75","1.75","0.0","0.0","23.95","24.75","514.57","257.29","490.62","489.82","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","2072.0","0.29","0.0","0.0","2.67","0.29","0.78","0.08","0.08","0.0","0.0","24.65","24.75","514.57","257.29","489.92","489.82","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","2072.0","0.29","0.0","0.0","2.51","0.29","0.73","0.0","0.0","0.0","0.0","25.38","24.75","514.57","257.29","489.19","489.82","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","2072.0","0.29","0.0","0.0","2.9","0.29","0.83","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","2072.0","0.28","0.0","0.0","3.02","0.28","0.85","0.0","0.0","0.0","0.0","25.6","24.75","514.57","257.29","488.97","489.82","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","2072.0","0.28","0.0","0.0","2.28","0.28","0.63","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","2072.0","0.27","0.0","0.0","2.62","0.27","0.72","0.0","0.0","0.0","0.0","25.47","24.75","514.57","257.29","489.1","489.82","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","2072.0","0.27","0.0","0.0","2.57","0.27","0.7","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","2072.0","0.27","0.0","0.0","2.45","0.27","0.66","0.0","0.0","0.0","0.0","25.41","24.75","514.57","257.29","489.17","489.82","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","2072.0","0.26","0.0","0.0","2.62","0.26","0.69","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","2072.0","0.26","0.0","0.0","2.31","0.26","0.6","0.0","0.0","0.0","0.0","25.35","24.75","514.57","257.29","489.22","489.82","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","2072.0","0.26","0.0","0.0","2.62","0.26","0.68","2.42","2.42","0.0","0.0","22.93","24.75","514.57","257.29","491.64","489.82","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","2072.0","0.26","0.0","0.0","2.46","0.26","0.63","0.0","0.0","0.0","0.0","23.56","24.75","514.57","257.29","491.01","489.82","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","2072.0","0.25","0.0","0.0","2.35","0.25","0.6","0.0","0.0","0.0","0.0","24.16","24.75","514.57","257.29","490.41","489.82","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","2072.0","0.25","0.0","0.0","2.4","0.25","0.6","0.0","0.0","0.0","0.0","24.76","24.75","514.57","257.29","489.81","489.82","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","2072.0","0.25","0.0","0.0","2.55","0.25","0.63","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","2072.0","0.25","0.0","0.0","1.22","0.25","0.3","0.0","0.0","0.0","0.0","25.05","24.75","514.57","257.29","489.52","489.82","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","2072.0","1.15","0.0","0.0","1.85","1.15","2.12","9.51","9.51","0.0","0.0","15.54","24.75","514.57","257.29","499.03","489.82","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","2072.0","1.14","0.0","0.0","2.22","1.14","2.53","0.0","0.0","0.0","0.0","18.07","24.75","514.57","257.29","496.5","489.82","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","2072.0","1.14","0.0","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","20.15","24.75","514.57","257.29","494.43","489.82","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","2072.0","1.01","0.0","0.0","1.76","1.01","1.77","0.0","0.0","0.0","0.0","21.92","24.75","514.57","257.29","492.66","489.82","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","2072.0","0.91","0.0","0.0","1.77","0.91","1.6","0.0","0.0","0.0","0.0","23.52","24.75","514.57","257.29","491.05","489.82","0.0","","","","","","","","",""
