" Daily soil water balance output for Safflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Safflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","1384.0","0.57","0.0","0.0","6.01","0.57","3.42","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","2014.0","10.0","1384.0","101.46","35.72","162.193175853","0.0","0.0"
"2014.0","10.0","2.0","275.0","1384.0","0.52","0.0","0.0","4.13","0.52","2.16","0.0","0.0","0.0","0.0","28.56","26.4","536.45","268.22","507.89","510.05","0.0","","2014.0","11.0","1384.0","43.45","43.15","195.930446194","0.0","0.0"
"2014.0","10.0","3.0","276.0","1384.0","0.49","0.0","0.0","4.1","0.49","1.99","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","2014.0","12.0","1384.0","31.93","34.69","157.516272966","0.0","0.0"
"2014.0","10.0","4.0","277.0","1384.0","0.46","0.0","0.0","4.11","0.46","1.87","0.0","0.0","0.0","0.0","28.27","26.4","536.45","268.22","508.18","510.05","0.0","","2015.0","1.0","1384.0","32.71","16.86","76.5559055118","0.0","0.0"
"2014.0","10.0","5.0","278.0","1384.0","0.43","0.0","0.0","3.99","0.43","1.72","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","2015.0","2.0","1384.0","56.48","36.24","164.554330709","0.0","0.0"
"2014.0","10.0","6.0","279.0","1384.0","0.41","0.0","0.0","4.02","0.41","1.65","0.0","0.0","0.0","0.0","28.05","26.4","536.45","268.22","508.4","510.05","0.0","","2015.0","3.0","1384.0","103.75","60.08","272.804199475","0.0","0.0"
"2014.0","10.0","7.0","280.0","1384.0","0.39","0.0","0.0","4.14","0.39","1.62","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","2015.0","4.0","1384.0","139.25","70.84","321.661942257","0.0","0.0"
"2014.0","10.0","8.0","281.0","1384.0","0.37","0.0","0.0","4.75","0.37","1.77","0.0","0.0","0.0","0.0","28.17","26.4","536.45","268.22","508.28","510.05","0.0","","2015.0","5.0","1384.0","156.1","72.98","331.379002625","47.47","215.546194226"
"2014.0","10.0","9.0","282.0","1384.0","0.36","0.0","0.0","4.2","0.36","1.51","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","2015.0","6.0","1384.0","203.55","212.42","964.53175853","166.29","755.07007874"
"2014.0","10.0","10.0","283.0","1384.0","0.35","0.0","0.0","3.66","0.35","1.27","0.0","0.0","0.0","0.0","27.67","26.4","536.45","268.22","508.78","510.05","0.0","","2015.0","7.0","1384.0","210.84","75.43","342.503674541","221.38","1005.21627297"
"2014.0","10.0","11.0","284.0","1384.0","0.34","0.0","0.0","3.47","0.34","1.17","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","2015.0","8.0","1384.0","191.5","18.58","84.3658792651","139.62","633.97007874"
"2014.0","10.0","12.0","285.0","1384.0","0.32","0.0","0.0","6.52","0.32","2.09","0.0","0.0","0.0","0.0","28.49","26.4","536.45","268.22","507.96","510.05","0.0","","2015.0","9.0","1384.0","147.5","12.86","58.393175853","0.0","0.0"
"2014.0","10.0","13.0","286.0","1384.0","0.31","0.0","0.0","4.07","0.31","1.27","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","1384.0","0.31","0.0","0.0","3.0","0.31","0.92","0.0","0.0","0.0","0.0","27.32","26.4","536.45","268.22","509.13","510.05","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","1384.0","0.3","0.0","0.0","2.3","0.3","0.69","0.46","0.46","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","1384.0","0.3","0.0","0.0","2.65","0.3","0.79","0.27","0.27","0.0","0.0","26.92","26.4","536.45","268.22","509.53","510.05","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","1384.0","0.29","0.0","0.0","2.47","0.29","0.72","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","1384.0","0.29","0.0","0.0","2.85","0.29","0.82","0.0","0.0","0.0","0.0","27.22","26.4","536.45","268.22","509.23","510.05","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","1384.0","0.28","0.0","0.0","2.92","0.28","0.83","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","1384.0","0.28","0.0","0.0","2.24","0.28","0.63","0.0","0.0","0.0","0.0","27.03","26.4","536.45","268.22","509.42","510.05","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","1384.0","0.28","0.0","0.0","2.61","0.28","0.72","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","1384.0","0.27","0.0","0.0","2.54","0.27","0.7","0.0","0.0","0.0","0.0","27.1","26.4","536.45","268.22","509.35","510.05","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","1384.0","0.27","0.0","0.0","2.44","0.27","0.66","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","1384.0","0.27","0.0","0.0","2.57","0.27","0.69","0.0","0.0","0.0","0.0","27.09","26.4","536.45","268.22","509.36","510.05","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","1384.0","0.26","0.0","0.0","2.26","0.26","0.6","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","1384.0","0.26","0.0","0.0","2.62","0.26","0.68","1.47","1.47","0.0","0.0","25.61","26.4","536.45","268.22","510.83","510.05","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","1384.0","0.26","0.0","0.0","2.46","0.26","0.64","0.0","0.0","0.0","0.0","26.25","26.4","536.45","268.22","510.2","510.05","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","1384.0","0.26","0.0","0.0","2.33","0.26","0.6","0.0","0.0","0.0","0.0","26.85","26.4","536.45","268.22","509.6","510.05","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","1384.0","0.25","0.0","0.0","2.38","0.25","0.6","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","1384.0","0.25","0.0","0.0","2.46","0.25","0.62","0.0","0.0","0.0","0.0","27.02","26.4","536.45","268.22","509.43","510.05","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","1384.0","0.25","0.0","0.0","1.19","0.25","0.3","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","1384.0","1.15","0.0","0.0","1.87","1.15","2.14","5.89","5.89","0.0","0.0","22.65","26.4","536.45","268.22","513.8","510.05","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","1384.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","25.17","26.4","536.45","268.22","511.28","510.05","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","1384.0","1.14","0.0","0.0","1.8","1.14","2.05","0.0","0.0","0.0","0.0","27.22","26.4","536.45","268.22","509.23","510.05","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","1384.0","1.01","0.0","0.0","1.74","1.01","1.75","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","1384.0","0.91","0.0","0.0","1.79","0.91","1.62","0.0","0.0","0.0","0.0","28.02","26.4","536.45","268.22","508.42","510.05","0.0","","","","","","","","",""
