" Daily soil water balance output for Tomato Fresh in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Tomato Fresh in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","24528.0","0.08","0.0","0.0","5.64","0.08","0.46","0.0","0.0","0.0","0.0","21.26","27.0","546.29","273.14","525.03","519.29","0.0","","2014.0","10.0","24528.0","104.06","8.38","674.359055118","0.0","0.0"
"2014.0","10.0","2.0","275.0","24528.0","0.08","0.0","0.0","4.13","0.08","0.34","0.0","0.0","0.0","0.0","21.6","27.0","546.29","273.14","524.69","519.29","0.0","","2014.0","11.0","24528.0","44.11","43.59","3507.79370079","0.0","0.0"
"2014.0","10.0","3.0","276.0","24528.0","0.08","0.0","0.0","4.17","0.08","0.34","0.0","0.0","0.0","0.0","21.94","27.0","546.29","273.14","524.35","519.29","0.0","","2014.0","12.0","24528.0","32.86","35.82","2882.52283465","0.0","0.0"
"2014.0","10.0","4.0","277.0","24528.0","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","22.29","27.0","546.29","273.14","524.0","519.29","0.0","","2015.0","1.0","24528.0","31.82","16.64","1339.06141732","0.0","0.0"
"2014.0","10.0","5.0","278.0","24528.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","22.62","27.0","546.29","273.14","523.67","519.29","0.0","","2015.0","2.0","24528.0","55.9","36.29","2920.34488189","0.0","0.0"
"2014.0","10.0","6.0","279.0","24528.0","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","22.96","27.0","546.29","273.14","523.33","519.29","0.0","","2015.0","3.0","24528.0","105.04","49.57","3989.01889764","0.0","0.0"
"2014.0","10.0","7.0","280.0","24528.0","0.08","0.0","0.0","4.3","0.08","0.35","0.0","0.0","0.0","0.0","23.31","27.0","546.29","273.14","522.98","519.29","0.0","","2015.0","4.0","24528.0","139.8","71.08","5719.98110236","39.53","3181.07559055"
"2014.0","10.0","8.0","281.0","24528.0","0.08","0.0","0.0","5.11","0.08","0.41","0.0","0.0","0.0","0.0","23.72","27.0","546.29","273.14","522.57","519.29","0.0","","2015.0","5.0","24528.0","156.12","47.65","3834.51181102","73.19","5889.77795276"
"2014.0","10.0","9.0","282.0","24528.0","0.08","0.0","0.0","4.37","0.08","0.35","0.0","0.0","0.0","0.0","24.07","27.0","546.29","273.14","522.22","519.29","0.0","","2015.0","6.0","24528.0","205.59","197.45","15889.2834646","220.69","17759.4629921"
"2014.0","10.0","10.0","283.0","24528.0","0.08","0.0","0.0","3.76","0.08","0.3","0.0","0.0","0.0","0.0","24.38","27.0","546.29","273.14","521.91","519.29","0.0","","2015.0","7.0","24528.0","212.75","204.15","16428.4488189","226.33","18213.3275591"
"2014.0","10.0","11.0","284.0","24528.0","0.08","0.0","0.0","3.57","0.08","0.29","0.0","0.0","0.0","0.0","24.67","27.0","546.29","273.14","521.62","519.29","0.0","","2015.0","8.0","24528.0","195.07","22.32","1796.14488189","0.0","0.0"
"2014.0","10.0","12.0","285.0","24528.0","0.08","0.0","0.0","6.1","0.08","0.49","0.0","0.0","0.0","0.0","25.16","27.0","546.29","273.14","521.13","519.29","0.0","","2015.0","9.0","24528.0","149.12","12.91","1038.8992126","0.0","0.0"
"2014.0","10.0","13.0","286.0","24528.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","25.48","27.0","546.29","273.14","520.8","519.29","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","24528.0","0.08","0.0","0.0","3.32","0.08","0.27","0.0","0.0","0.0","0.0","25.75","27.0","546.29","273.14","520.54","519.29","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","24528.0","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","25.95","27.0","546.29","273.14","520.34","519.29","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","24528.0","0.08","0.0","0.0","2.77","0.08","0.22","0.0","0.0","0.0","0.0","26.17","27.0","546.29","273.14","520.12","519.29","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","24528.0","0.08","0.0","0.0","2.57","0.08","0.21","0.0","0.0","0.0","0.0","26.38","27.0","546.29","273.14","519.91","519.29","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","24528.0","0.08","0.0","0.0","2.93","0.08","0.23","0.0","0.0","0.0","0.0","26.61","27.0","546.29","273.14","519.68","519.29","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","24528.0","0.08","0.0","0.0","2.95","0.08","0.24","0.0","0.0","0.0","0.0","26.85","27.0","546.29","273.14","519.44","519.29","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","24528.0","0.08","0.0","0.0","2.41","0.08","0.19","0.0","0.0","0.0","0.0","27.04","27.0","546.29","273.14","519.25","519.29","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","24528.0","0.08","0.0","0.0","2.78","0.08","0.22","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","24528.0","0.08","0.0","0.0","2.61","0.08","0.21","0.0","0.0","0.0","0.0","27.21","27.0","546.29","273.14","519.08","519.29","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","24528.0","0.08","0.0","0.0","2.6","0.08","0.21","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","24528.0","0.08","0.0","0.0","2.62","0.08","0.21","0.0","0.0","0.0","0.0","27.21","27.0","546.29","273.14","519.08","519.29","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","24528.0","0.08","0.0","0.0","2.22","0.08","0.18","0.03","0.03","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","24528.0","0.08","0.0","0.0","2.76","0.08","0.22","0.77","0.77","0.0","0.0","26.45","27.0","546.29","273.14","519.84","519.29","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","24528.0","0.08","0.0","0.0","2.56","0.08","0.2","0.0","0.0","0.0","0.0","26.65","27.0","546.29","273.14","519.64","519.29","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","24528.0","0.08","0.0","0.0","2.42","0.08","0.19","0.0","0.0","0.0","0.0","26.84","27.0","546.29","273.14","519.45","519.29","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","24528.0","0.08","0.0","0.0","2.46","0.08","0.19","0.0","0.0","0.0","0.0","27.04","27.0","546.29","273.14","519.25","519.29","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","24528.0","0.08","0.0","0.0","2.53","0.08","0.2","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","24528.0","0.08","0.0","0.0","1.44","0.08","0.11","0.38","0.38","0.0","0.0","26.73","27.0","546.29","273.14","519.56","519.29","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","24528.0","1.15","0.0","0.0","1.78","1.15","2.04","8.7","8.7","0.0","0.0","20.08","27.0","546.29","273.14","526.21","519.29","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","24528.0","1.14","0.0","0.0","2.19","1.14","2.5","0.0","0.0","0.0","0.0","22.58","27.0","546.29","273.14","523.71","519.29","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","24528.0","1.14","0.0","0.0","1.79","1.14","2.05","0.0","0.0","0.0","0.0","24.62","27.0","546.29","273.14","521.67","519.29","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","24528.0","1.02","0.0","0.0","1.75","1.02","1.78","0.0","0.0","0.0","0.0","26.4","27.0","546.29","273.14","519.89","519.29","0.0","","","","","","","","",""
