" Daily soil water balance output for Tomato Fresh in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Tomato Fresh in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","2571.0","0.57","0.0","0.0","5.96","0.57","3.38","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","2014.0","10.0","2571.0","103.02","35.97","303.408366142","0.0","0.0"
"2014.0","10.0","2.0","275.0","2571.0","0.52","0.0","0.0","4.15","0.52","2.16","0.0","0.0","0.0","0.0","30.66","28.5","347.32","173.66","316.66","318.82","0.0","","2014.0","11.0","2571.0","43.68","43.33","365.490255906","0.0","0.0"
"2014.0","10.0","3.0","276.0","2571.0","0.48","0.0","0.0","4.14","0.48","2.0","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","2014.0","12.0","2571.0","32.29","36.63","308.975492126","0.0","0.0"
"2014.0","10.0","4.0","277.0","2571.0","0.45","0.0","0.0","4.17","0.45","1.89","0.0","0.0","0.0","0.0","30.39","28.5","347.32","173.66","316.93","318.82","0.0","","2015.0","1.0","2571.0","32.29","18.19","153.433366142","0.0","0.0"
"2014.0","10.0","5.0","278.0","2571.0","0.43","0.0","0.0","4.03","0.43","1.73","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","2015.0","2.0","2571.0","56.46","36.47","307.625885827","0.0","0.0"
"2014.0","10.0","6.0","279.0","2571.0","0.41","0.0","0.0","4.09","0.41","1.67","0.0","0.0","0.0","0.0","30.17","28.5","347.32","173.66","317.15","318.82","0.0","","2015.0","3.0","2571.0","104.49","49.32","416.016141732","0.0","0.0"
"2014.0","10.0","7.0","280.0","2571.0","0.39","0.0","0.0","4.24","0.39","1.65","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","2015.0","4.0","2571.0","140.05","68.86","580.836811024","68.85","580.75246063"
"2014.0","10.0","8.0","281.0","2571.0","0.37","0.0","0.0","4.92","0.37","1.82","0.0","0.0","0.0","0.0","30.32","28.5","347.32","173.66","317.0","318.82","0.0","","2015.0","5.0","2571.0","157.44","70.35","593.405019685","70.37","593.573720472"
"2014.0","10.0","9.0","282.0","2571.0","0.36","0.0","0.0","4.33","0.36","1.54","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","2015.0","6.0","2571.0","206.92","210.15","1772.62352362","210.12","1772.37047244"
"2014.0","10.0","10.0","283.0","2571.0","0.34","0.0","0.0","3.75","0.34","1.29","0.0","0.0","0.0","0.0","29.79","28.5","347.32","173.66","317.53","318.82","0.0","","2015.0","7.0","2571.0","214.06","235.5","1986.45177165","235.47","1986.19872047"
"2014.0","10.0","11.0","284.0","2571.0","0.33","0.0","0.0","3.53","0.33","1.18","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","2015.0","8.0","2571.0","194.99","165.94","1399.71043307","204.78","1727.3273622"
"2014.0","10.0","12.0","285.0","2571.0","0.32","0.0","0.0","6.45","0.32","2.05","0.0","0.0","0.0","0.0","30.55","28.5","347.32","173.66","316.77","318.82","0.0","","2015.0","9.0","2571.0","149.52","12.92","108.980708661","0.0","0.0"
"2014.0","10.0","13.0","286.0","2571.0","0.31","0.0","0.0","4.08","0.31","1.26","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","2571.0","0.3","0.0","0.0","3.18","0.3","0.96","0.0","0.0","0.0","0.0","29.46","28.5","347.32","173.66","317.86","318.82","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","2571.0","0.3","0.0","0.0","2.39","0.3","0.72","0.15","0.15","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","2571.0","0.29","0.0","0.0","2.7","0.29","0.8","0.0","0.0","0.0","0.0","29.3","28.5","347.32","173.66","318.02","318.82","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","2571.0","0.29","0.0","0.0","2.51","0.29","0.73","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","2571.0","0.29","0.0","0.0","2.88","0.29","0.82","0.0","0.0","0.0","0.0","29.32","28.5","347.32","173.66","318.0","318.82","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","2571.0","0.28","0.0","0.0","2.97","0.28","0.84","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","2571.0","0.28","0.0","0.0","2.25","0.28","0.63","0.0","0.0","0.0","0.0","29.13","28.5","347.32","173.66","318.19","318.82","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","2571.0","0.27","0.0","0.0","2.67","0.27","0.73","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","2571.0","0.27","0.0","0.0","2.57","0.27","0.7","0.0","0.0","0.0","0.0","29.2","28.5","347.32","173.66","318.12","318.82","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","2571.0","0.27","0.0","0.0","2.51","0.27","0.67","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","2571.0","0.27","0.0","0.0","2.57","0.27","0.68","0.0","0.0","0.0","0.0","29.18","28.5","347.32","173.66","318.14","318.82","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","2571.0","0.26","0.0","0.0","2.27","0.26","0.6","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","2571.0","0.26","0.0","0.0","2.66","0.26","0.69","1.25","1.25","0.0","0.0","27.94","28.5","347.32","173.66","319.38","318.82","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","2571.0","0.26","0.0","0.0","2.48","0.26","0.64","0.0","0.0","0.0","0.0","28.58","28.5","347.32","173.66","318.74","318.82","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","2571.0","0.25","0.0","0.0","2.37","0.25","0.6","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","2571.0","0.25","0.0","0.0","2.4","0.25","0.6","0.0","0.0","0.0","0.0","29.1","28.5","347.32","173.66","318.22","318.82","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","2571.0","0.25","0.0","0.0","2.51","0.25","0.62","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","2571.0","0.25","0.0","0.0","1.29","0.25","0.32","0.01","0.01","0.0","0.0","28.81","28.5","347.32","173.66","318.51","318.82","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","2571.0","1.15","0.0","0.0","1.84","1.15","2.11","7.1","7.1","0.0","0.0","21.71","28.5","347.32","173.66","325.61","318.82","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","2571.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","24.23","28.5","347.32","173.66","323.09","318.82","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","2571.0","1.14","0.0","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","26.28","28.5","347.32","173.66","321.04","318.82","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","2571.0","1.01","0.0","0.0","1.75","1.01","1.77","0.0","0.0","0.0","0.0","28.05","28.5","347.32","173.66","319.27","318.82","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","2571.0","0.91","0.0","0.0","1.82","0.91","1.65","0.0","0.0","0.0","0.0","29.7","28.5","347.32","173.66","317.62","318.82","0.0","","","","","","","","",""
