" Daily soil water balance output for Truck Crops in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Truck Crops in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","902.0","0.08","0.0","0.0","5.56","0.08","0.47","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","2014.0","10.0","902.0","100.46","8.3","24.562335958","0.0","0.0"
"2014.0","10.0","2.0","275.0","902.0","0.08","0.0","0.0","4.08","0.08","0.34","0.0","0.0","0.0","0.0","20.74","20.4","290.17","145.08","269.43","269.77","0.0","","2014.0","11.0","902.0","43.94","26.21","77.5637139108","0.0","0.0"
"2014.0","10.0","3.0","276.0","902.0","0.08","0.0","0.0","4.13","0.08","0.35","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","2014.0","12.0","902.0","32.25","35.14","103.990419948","0.0","0.0"
"2014.0","10.0","4.0","277.0","902.0","0.08","0.0","0.0","4.12","0.08","0.35","0.0","0.0","0.0","0.0","20.75","20.4","290.17","145.08","269.42","269.77","0.0","","2015.0","1.0","902.0","31.89","16.61","49.1542650919","0.0","0.0"
"2014.0","10.0","5.0","278.0","902.0","0.08","0.0","0.0","3.97","0.08","0.33","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","2015.0","2.0","902.0","56.06","37.9","112.158136483","0.0","0.0"
"2014.0","10.0","6.0","279.0","902.0","0.08","0.0","0.0","3.97","0.08","0.33","0.0","0.0","0.0","0.0","20.73","20.4","290.17","145.08","269.44","269.77","0.0","","2015.0","3.0","902.0","102.94","49.15","145.450459318","0.0","0.0"
"2014.0","10.0","7.0","280.0","902.0","0.08","0.0","0.0","4.08","0.08","0.34","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","2015.0","4.0","902.0","136.61","72.68","215.0832021","0.0","0.0"
"2014.0","10.0","8.0","281.0","902.0","0.08","0.0","0.0","4.81","0.08","0.4","0.0","0.0","0.0","0.0","20.8","20.4","290.17","145.08","269.37","269.77","0.0","","2015.0","5.0","902.0","150.49","64.76","191.645406824","59.01","174.629330709"
"2014.0","10.0","9.0","282.0","902.0","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","2015.0","6.0","902.0","196.51","112.9","334.106955381","137.56","407.083727034"
"2014.0","10.0","10.0","283.0","902.0","0.08","0.0","0.0","3.54","0.08","0.29","0.0","0.0","0.0","0.0","20.69","20.4","290.17","145.08","269.48","269.77","0.0","","2015.0","7.0","902.0","204.06","173.87","514.536548556","167.8","496.573490814"
"2014.0","10.0","11.0","284.0","902.0","0.08","0.0","0.0","3.45","0.08","0.29","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","2015.0","8.0","902.0","187.5","174.39","516.075393701","192.08","568.425721785"
"2014.0","10.0","12.0","285.0","902.0","0.08","0.0","0.0","6.01","0.08","0.5","0.0","0.0","0.0","0.0","20.9","20.4","290.17","145.08","269.27","269.77","0.0","","2015.0","9.0","902.0","144.17","127.9","378.49671916","148.94","440.760761155"
"2014.0","10.0","13.0","286.0","902.0","0.08","0.0","0.0","3.98","0.08","0.33","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","902.0","0.08","0.0","0.0","3.08","0.08","0.25","0.0","0.0","0.0","0.0","20.65","20.4","290.17","145.08","269.52","269.77","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","902.0","0.08","0.0","0.0","2.4","0.08","0.2","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","902.0","0.08","0.0","0.0","2.69","0.08","0.22","0.0","0.0","0.0","0.0","20.62","20.4","290.17","145.08","269.55","269.77","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","902.0","0.08","0.0","0.0","2.49","0.08","0.2","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","902.0","0.08","0.0","0.0","2.85","0.08","0.23","0.0","0.0","0.0","0.0","20.63","20.4","290.17","145.08","269.54","269.77","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","902.0","0.08","0.0","0.0","2.85","0.08","0.23","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","902.0","0.08","0.0","0.0","2.16","0.08","0.18","0.0","0.0","0.0","0.0","20.58","20.4","290.17","145.08","269.59","269.77","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","902.0","0.08","0.0","0.0","2.66","0.08","0.22","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","902.0","0.08","0.0","0.0","2.54","0.08","0.21","0.0","0.0","0.0","0.0","20.61","20.4","290.17","145.08","269.56","269.77","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","902.0","0.08","0.0","0.0","2.49","0.08","0.2","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","902.0","0.08","0.0","0.0","2.54","0.08","0.21","0.0","0.0","0.0","0.0","20.61","20.4","290.17","145.08","269.56","269.77","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","902.0","0.08","0.0","0.0","2.22","0.08","0.18","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","902.0","0.08","0.0","0.0","2.66","0.08","0.22","0.87","0.87","0.0","0.0","19.75","20.4","290.17","145.08","270.42","269.77","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","902.0","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","19.95","20.4","290.17","145.08","270.22","269.77","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","902.0","0.08","0.0","0.0","2.36","0.08","0.19","0.0","0.0","0.0","0.0","20.14","20.4","290.17","145.08","270.03","269.77","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","902.0","0.08","0.0","0.0","2.44","0.08","0.2","0.0","0.0","0.0","0.0","20.34","20.4","290.17","145.08","269.83","269.77","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","902.0","0.08","0.0","0.0","2.44","0.08","0.2","0.0","0.0","0.0","0.0","20.54","20.4","290.17","145.08","269.63","269.77","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","902.0","0.08","0.0","0.0","1.29","0.08","0.1","0.07","0.07","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","902.0","0.08","0.0","0.0","1.83","0.08","0.15","5.22","5.22","0.0","0.0","15.33","20.4","290.17","145.08","274.84","269.77","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","902.0","0.08","0.0","0.0","2.18","0.08","0.18","0.0","0.0","0.0","0.0","15.5","20.4","290.17","145.08","274.66","269.77","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","902.0","0.08","0.0","0.0","1.8","0.08","0.15","0.0","0.0","0.0","0.0","15.65","20.4","290.17","145.08","274.52","269.77","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","902.0","0.08","0.0","0.0","1.75","0.08","0.14","0.0","0.0","0.0","0.0","15.79","20.4","290.17","145.08","274.38","269.77","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","902.0","0.08","0.0","0.0","1.9","0.08","0.15","0.0","0.0","0.0","0.0","15.95","20.4","290.17","145.08","274.22","269.77","0.0","","","","","","","","",""
