" Daily soil water balance output for Truck Crops in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Truck Crops in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","6747.0","0.08","0.0","0.0","5.64","0.08","0.46","0.0","0.0","0.0","0.0","15.86","21.6","437.03","218.52","421.17","415.43","0.0","","2014.0","10.0","6747.0","104.06","8.38","185.498228346"
"2014.0","10.0","2.0","275.0","6747.0","0.08","0.0","0.0","4.13","0.08","0.34","0.0","0.0","0.0","0.0","16.2","21.6","437.03","218.52","420.83","415.43","0.0","","2014.0","11.0","6747.0","44.11","43.59","964.900688976"
"2014.0","10.0","3.0","276.0","6747.0","0.08","0.0","0.0","4.17","0.08","0.34","0.0","0.0","0.0","0.0","16.54","21.6","437.03","218.52","420.49","415.43","0.0","","2014.0","12.0","6747.0","32.86","35.82","792.905314961"
"2014.0","10.0","4.0","277.0","6747.0","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","16.89","21.6","437.03","218.52","420.14","415.43","0.0","","2015.0","1.0","6747.0","31.82","16.64","368.34015748"
"2014.0","10.0","5.0","278.0","6747.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","17.22","21.6","437.03","218.52","419.81","415.43","0.0","","2015.0","2.0","6747.0","55.9","36.29","803.309153543"
"2014.0","10.0","6.0","279.0","6747.0","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","17.56","21.6","437.03","218.52","419.48","415.43","0.0","","2015.0","3.0","6747.0","105.04","49.57","1097.27293307"
"2014.0","10.0","7.0","280.0","6747.0","0.08","0.0","0.0","4.3","0.08","0.35","0.0","0.0","0.0","0.0","17.91","21.6","437.03","218.52","419.13","415.43","0.0","","2015.0","4.0","6747.0","139.8","85.88","1901.02480315"
"2014.0","10.0","8.0","281.0","6747.0","0.08","0.0","0.0","5.11","0.08","0.41","0.0","0.0","0.0","0.0","18.32","21.6","437.03","218.52","418.71","415.43","0.0","","2015.0","5.0","6747.0","156.12","111.09","2459.06899606"
"2014.0","10.0","9.0","282.0","6747.0","0.08","0.0","0.0","4.37","0.08","0.35","0.0","0.0","0.0","0.0","18.67","21.6","437.03","218.52","418.36","415.43","0.0","","2015.0","6.0","6747.0","205.59","196.57","4351.2394685"
"2014.0","10.0","10.0","283.0","6747.0","0.08","0.0","0.0","3.76","0.08","0.3","0.0","0.0","0.0","0.0","18.98","21.6","437.03","218.52","418.05","415.43","0.0","","2015.0","7.0","6747.0","212.75","206.37","4568.17057087"
"2014.0","10.0","11.0","284.0","6747.0","0.08","0.0","0.0","3.57","0.08","0.29","0.0","0.0","0.0","0.0","19.27","21.6","437.03","218.52","417.77","415.43","0.0","","2015.0","8.0","6747.0","195.07","170.47","3773.49438976"
"2014.0","10.0","12.0","285.0","6747.0","0.08","0.0","0.0","6.1","0.08","0.49","0.0","0.0","0.0","0.0","19.76","21.6","437.03","218.52","417.27","415.43","0.0","","2015.0","9.0","6747.0","149.12","12.91","285.773523622"
"2014.0","10.0","13.0","286.0","6747.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","20.08","21.6","437.03","218.52","416.95","415.43","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","6747.0","0.08","0.0","0.0","3.32","0.08","0.27","0.0","0.0","0.0","0.0","20.35","21.6","437.03","218.52","416.68","415.43","0.0","","","","","","973.58","21550.9982283"
