" Daily soil water balance output for Truck Crops in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Truck Crops in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","1417.0","0.57","0.0","0.0","5.96","0.57","3.38","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","2014.0","10.0","1417.0","103.02","35.97","167.22273622","0.0","0.0"
"2014.0","10.0","2.0","275.0","1417.0","0.52","0.0","0.0","4.15","0.52","2.16","0.0","0.0","0.0","0.0","24.96","22.8","324.31","162.15","299.35","301.51","0.0","","2014.0","11.0","1417.0","43.68","43.33","201.439009186","0.0","0.0"
"2014.0","10.0","3.0","276.0","1417.0","0.48","0.0","0.0","4.14","0.48","2.0","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","2014.0","12.0","1417.0","32.29","36.63","170.291043307","0.0","0.0"
"2014.0","10.0","4.0","277.0","1417.0","0.45","0.0","0.0","4.17","0.45","1.89","0.0","0.0","0.0","0.0","24.69","22.8","324.31","162.15","299.62","301.51","0.0","","2015.0","1.0","1417.0","32.29","18.19","84.5644028871","0.0","0.0"
"2014.0","10.0","5.0","278.0","1417.0","0.43","0.0","0.0","4.03","0.43","1.73","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","2015.0","2.0","1417.0","56.46","36.47","169.547211286","0.0","0.0"
"2014.0","10.0","6.0","279.0","1417.0","0.41","0.0","0.0","4.09","0.41","1.67","0.0","0.0","0.0","0.0","24.47","22.8","324.31","162.15","299.84","301.51","0.0","","2015.0","3.0","1417.0","104.49","49.32","229.286220472","0.0","0.0"
"2014.0","10.0","7.0","280.0","1417.0","0.39","0.0","0.0","4.24","0.39","1.65","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","2015.0","4.0","1417.0","140.05","68.86","320.126706037","0.0","0.0"
"2014.0","10.0","8.0","281.0","1417.0","0.37","0.0","0.0","4.92","0.37","1.82","0.0","0.0","0.0","0.0","24.62","22.8","324.31","162.15","299.69","301.51","0.0","","2015.0","5.0","1417.0","157.44","89.7","417.010826772","35.1","163.178149606"
"2014.0","10.0","9.0","282.0","1417.0","0.36","0.0","0.0","4.33","0.36","1.54","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","2015.0","6.0","1417.0","206.92","163.83","761.6375","102.04","474.378871391"
"2014.0","10.0","10.0","283.0","1417.0","0.34","0.0","0.0","3.75","0.34","1.29","0.0","0.0","0.0","0.0","24.09","22.8","324.31","162.15","300.22","301.51","0.0","","2015.0","7.0","1417.0","214.06","192.28","893.900131234","168.66","784.091929134"
"2014.0","10.0","11.0","284.0","1417.0","0.33","0.0","0.0","3.53","0.33","1.18","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","2015.0","8.0","1417.0","194.99","172.79","803.292093176","165.74","770.516994751"
"2014.0","10.0","12.0","285.0","1417.0","0.32","0.0","0.0","6.45","0.32","2.05","0.0","0.0","0.0","0.0","24.85","22.8","324.31","162.15","299.45","301.51","0.0","","2015.0","9.0","1417.0","149.52","123.0","571.820866142","120.33","559.408169291"
"2014.0","10.0","13.0","286.0","1417.0","0.31","0.0","0.0","4.08","0.31","1.26","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","1417.0","0.3","0.0","0.0","3.18","0.3","0.96","0.0","0.0","0.0","0.0","23.76","22.8","324.31","162.15","300.54","301.51","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","1417.0","0.3","0.0","0.0","2.39","0.3","0.72","0.15","0.15","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","1417.0","0.29","0.0","0.0","2.7","0.29","0.8","0.0","0.0","0.0","0.0","23.6","22.8","324.31","162.15","300.71","301.51","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","1417.0","0.29","0.0","0.0","2.51","0.29","0.73","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","1417.0","0.29","0.0","0.0","2.88","0.29","0.82","0.0","0.0","0.0","0.0","23.62","22.8","324.31","162.15","300.68","301.51","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","1417.0","0.28","0.0","0.0","2.97","0.28","0.84","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","1417.0","0.28","0.0","0.0","2.25","0.28","0.63","0.0","0.0","0.0","0.0","23.43","22.8","324.31","162.15","300.88","301.51","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","1417.0","0.27","0.0","0.0","2.67","0.27","0.73","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","1417.0","0.27","0.0","0.0","2.57","0.27","0.7","0.0","0.0","0.0","0.0","23.5","22.8","324.31","162.15","300.81","301.51","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","1417.0","0.27","0.0","0.0","2.51","0.27","0.67","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","1417.0","0.27","0.0","0.0","2.57","0.27","0.68","0.0","0.0","0.0","0.0","23.48","22.8","324.31","162.15","300.83","301.51","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","1417.0","0.26","0.0","0.0","2.27","0.26","0.6","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","1417.0","0.26","0.0","0.0","2.66","0.26","0.69","1.25","1.25","0.0","0.0","22.24","22.8","324.31","162.15","302.07","301.51","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","1417.0","0.26","0.0","0.0","2.48","0.26","0.64","0.0","0.0","0.0","0.0","22.88","22.8","324.31","162.15","301.43","301.51","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","1417.0","0.25","0.0","0.0","2.37","0.25","0.6","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","1417.0","0.25","0.0","0.0","2.4","0.25","0.6","0.0","0.0","0.0","0.0","23.4","22.8","324.31","162.15","300.9","301.51","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","1417.0","0.25","0.0","0.0","2.51","0.25","0.62","0.0","0.0","0.0","0.0","22.8","22.8","324.31","162.15","301.51","301.51","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","1417.0","0.25","0.0","0.0","1.29","0.25","0.32","0.01","0.01","0.0","0.0","23.11","22.8","324.31","162.15","301.2","301.51","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","1417.0","1.15","0.0","0.0","1.84","1.15","2.11","7.1","7.1","0.0","0.0","16.01","22.8","324.31","162.15","308.3","301.51","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","1417.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","18.53","22.8","324.31","162.15","305.78","301.51","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","1417.0","1.14","0.0","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","20.58","22.8","324.31","162.15","303.72","301.51","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","1417.0","1.01","0.0","0.0","1.75","1.01","1.77","0.0","0.0","0.0","0.0","22.35","22.8","324.31","162.15","301.96","301.51","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","1417.0","0.91","0.0","0.0","1.82","0.91","1.65","0.0","0.0","0.0","0.0","24.0","22.8","324.31","162.15","300.31","301.51","0.0","","","","","","","","",""
