" Daily soil water balance output for Truck Crops in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Truck Crops in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","414.0","0.56","0.0","0.0","6.18","0.56","3.48","0.0","0.0","0.0","0.0","19.94","18.0","256.03","128.02","236.09","238.03","0.0","","2014.0","10.0","414.0","103.42","36.03","48.9383858268","0.0","0.0"
"2014.0","10.0","2.0","275.0","414.0","0.52","0.0","0.0","4.2","0.52","2.17","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","2014.0","11.0","414.0","43.39","42.98","58.3783464567","0.0","0.0"
"2014.0","10.0","3.0","276.0","414.0","0.48","0.0","0.0","4.14","0.48","1.99","0.0","0.0","0.0","0.0","19.99","18.0","256.03","128.02","236.04","238.03","0.0","","2014.0","12.0","414.0","32.08","34.9","47.4035433071","0.0","0.0"
"2014.0","10.0","4.0","277.0","414.0","0.45","0.0","0.0","4.18","0.45","1.89","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","2015.0","1.0","414.0","33.25","17.16","23.3078740157","0.0","0.0"
"2014.0","10.0","5.0","278.0","414.0","0.43","0.0","0.0","4.06","0.43","1.73","0.0","0.0","0.0","0.0","19.73","18.0","256.03","128.02","236.3","238.03","0.0","","2015.0","2.0","414.0","56.91","36.39","49.4273622047","0.0","0.0"
"2014.0","10.0","6.0","279.0","414.0","0.41","0.0","0.0","4.12","0.41","1.67","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","2015.0","3.0","414.0","104.95","49.39","67.0848425197","0.0","0.0"
"2014.0","10.0","7.0","280.0","414.0","0.39","0.0","0.0","4.25","0.39","1.65","0.0","0.0","0.0","0.0","19.65","18.0","256.03","128.02","236.38","238.03","0.0","","2015.0","4.0","414.0","140.99","72.06","97.8767716535","0.0","0.0"
"2014.0","10.0","8.0","281.0","414.0","0.37","0.0","0.0","4.81","0.37","1.77","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","2015.0","5.0","414.0","160.57","88.82","120.641338583","62.36","84.7015748031"
"2014.0","10.0","9.0","282.0","414.0","0.35","0.0","0.0","4.33","0.35","1.54","0.0","0.0","0.0","0.0","19.54","18.0","256.03","128.02","236.5","238.03","0.0","","2015.0","6.0","414.0","209.56","151.74","206.103543307","146.69","199.244291339"
"2014.0","10.0","10.0","283.0","414.0","0.34","0.0","0.0","3.77","0.34","1.29","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","2015.0","7.0","414.0","216.77","200.95","272.943897638","178.28","242.151968504"
"2014.0","10.0","11.0","284.0","414.0","0.33","0.0","0.0","3.53","0.33","1.18","0.0","0.0","0.0","0.0","19.18","18.0","256.03","128.02","236.85","238.03","0.0","","2015.0","8.0","414.0","196.26","185.67","252.189566929","201.03","273.052559055"
"2014.0","10.0","12.0","285.0","414.0","0.32","0.0","0.0","6.72","0.32","2.13","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","2015.0","9.0","414.0","150.85","135.58","184.153937008","155.78","211.590944882"
"2014.0","10.0","13.0","286.0","414.0","0.31","0.0","0.0","4.16","0.31","1.28","0.0","0.0","0.0","0.0","19.28","18.0","256.03","128.02","236.75","238.03","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","414.0","0.3","0.0","0.0","3.14","0.3","0.95","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","414.0","0.3","0.0","0.0","2.28","0.3","0.68","1.75","1.75","0.0","0.0","16.93","18.0","256.03","128.02","239.1","238.03","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","414.0","0.29","0.0","0.0","2.67","0.29","0.78","0.08","0.08","0.0","0.0","17.63","18.0","256.03","128.02","238.4","238.03","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","414.0","0.29","0.0","0.0","2.51","0.29","0.73","0.0","0.0","0.0","0.0","18.36","18.0","256.03","128.02","237.67","238.03","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","414.0","0.29","0.0","0.0","2.9","0.29","0.83","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","414.0","0.28","0.0","0.0","3.02","0.28","0.85","0.0","0.0","0.0","0.0","18.85","18.0","256.03","128.02","237.18","238.03","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","414.0","0.28","0.0","0.0","2.28","0.28","0.63","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","414.0","0.27","0.0","0.0","2.62","0.27","0.72","0.0","0.0","0.0","0.0","18.72","18.0","256.03","128.02","237.31","238.03","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","414.0","0.27","0.0","0.0","2.57","0.27","0.7","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","414.0","0.27","0.0","0.0","2.45","0.27","0.66","0.0","0.0","0.0","0.0","18.66","18.0","256.03","128.02","237.38","238.03","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","414.0","0.26","0.0","0.0","2.62","0.26","0.69","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","414.0","0.26","0.0","0.0","2.31","0.26","0.6","0.0","0.0","0.0","0.0","18.6","18.0","256.03","128.02","237.43","238.03","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","414.0","0.26","0.0","0.0","2.62","0.26","0.68","2.42","2.42","0.0","0.0","16.18","18.0","256.03","128.02","239.85","238.03","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","414.0","0.26","0.0","0.0","2.46","0.26","0.63","0.0","0.0","0.0","0.0","16.81","18.0","256.03","128.02","239.22","238.03","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","414.0","0.25","0.0","0.0","2.35","0.25","0.6","0.0","0.0","0.0","0.0","17.41","18.0","256.03","128.02","238.62","238.03","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","414.0","0.25","0.0","0.0","2.4","0.25","0.6","0.0","0.0","0.0","0.0","18.01","18.0","256.03","128.02","238.02","238.03","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","414.0","0.25","0.0","0.0","2.55","0.25","0.63","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","414.0","0.25","0.0","0.0","1.22","0.25","0.3","0.0","0.0","0.0","0.0","18.3","18.0","256.03","128.02","237.73","238.03","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","414.0","1.15","0.0","0.0","1.85","1.15","2.12","9.51","9.51","0.0","0.0","8.79","18.0","256.03","128.02","247.24","238.03","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","414.0","1.14","0.0","0.0","2.22","1.14","2.53","0.0","0.0","0.0","0.0","11.32","18.0","256.03","128.02","244.71","238.03","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","414.0","1.14","0.0","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","13.4","18.0","256.03","128.02","242.64","238.03","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","414.0","1.01","0.0","0.0","1.76","1.01","1.77","0.0","0.0","0.0","0.0","15.17","18.0","256.03","128.02","240.87","238.03","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","414.0","0.91","0.0","0.0","1.77","0.91","1.6","0.0","0.0","0.0","0.0","16.77","18.0","256.03","128.02","239.26","238.03","0.0","","","","","","","","",""
