" Daily soil water balance output for Turf_farm in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Turf_farm in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","341.0","0.57","0.85","0.0","6.01","0.85","5.11","0.0","0.0","0.0","0.0","33.91","50.79","214.58","107.29","180.67","163.79","0.0","","2014.0","10.0","341.0","101.46","86.23","96.4712270341"
"2014.0","10.0","2.0","275.0","341.0","0.52","0.85","0.0","4.13","0.85","3.51","0.0","0.0","0.0","0.0","37.42","50.79","214.58","107.29","177.16","163.79","0.0","","2014.0","11.0","341.0","43.45","45.08","50.4339895013"
"2014.0","10.0","3.0","276.0","341.0","0.49","0.85","0.0","4.1","0.85","3.49","0.0","0.0","0.0","0.0","40.91","50.79","214.58","107.29","173.67","163.79","0.0","","2014.0","12.0","341.0","31.93","35.16","39.3358267717"
"2014.0","10.0","4.0","277.0","341.0","0.46","0.85","0.0","4.11","0.85","3.49","0.0","0.0","0.0","0.0","44.4","50.79","214.58","107.29","170.18","163.79","0.0","","2015.0","1.0","341.0","32.71","27.81","31.1128937008"
"2014.0","10.0","5.0","278.0","341.0","0.43","0.85","0.0","3.99","0.85","3.39","0.0","0.0","0.0","0.0","47.79","50.79","214.58","107.29","166.79","163.79","0.0","","2015.0","2.0","341.0","56.48","50.91","56.9563976378"
"2014.0","10.0","6.0","279.0","341.0","0.41","0.85","0.0","4.02","0.85","3.42","0.0","0.0","0.0","0.0","0.0","50.79","214.58","107.29","214.58","163.79","51.21","","2015.0","3.0","341.0","103.75","91.44","102.3"
"2014.0","10.0","7.0","280.0","341.0","0.39","0.85","0.0","4.14","0.85","3.52","0.0","0.0","0.0","0.0","3.52","50.79","214.58","107.29","211.06","163.79","0.0","","2015.0","4.0","341.0","139.25","121.55","135.98605643"
"2014.0","10.0","8.0","281.0","341.0","0.37","0.85","0.0","4.75","0.85","4.04","0.0","0.0","0.0","0.0","7.56","50.79","214.58","107.29","207.02","163.79","0.0","","2015.0","5.0","341.0","156.1","132.69","148.449114173"
"2014.0","10.0","9.0","282.0","341.0","0.36","0.85","0.0","4.2","0.85","3.57","0.0","0.0","0.0","0.0","11.13","50.79","214.58","107.29","203.45","163.79","0.0","","2015.0","6.0","341.0","203.55","173.02","193.568963255"
"2014.0","10.0","10.0","283.0","341.0","0.35","0.85","0.0","3.66","0.85","3.11","0.0","0.0","0.0","0.0","14.24","50.79","214.58","107.29","200.34","163.79","0.0","","2015.0","7.0","341.0","210.84","179.26","200.550065617"
"2014.0","10.0","11.0","284.0","341.0","0.34","0.85","0.0","3.47","0.85","2.95","0.0","0.0","0.0","0.0","17.19","50.79","214.58","107.29","197.39","163.79","0.0","","2015.0","8.0","341.0","191.5","162.79","182.12398294"
"2014.0","10.0","12.0","285.0","341.0","0.32","0.85","0.0","6.52","0.85","5.54","0.0","0.0","0.0","0.0","22.73","50.79","214.58","107.29","191.85","163.79","0.0","","2015.0","9.0","341.0","147.5","125.4","140.293307087"
"2014.0","10.0","13.0","286.0","341.0","0.31","0.85","0.0","4.07","0.85","3.46","0.0","0.0","0.0","0.0","26.19","50.79","214.58","107.29","188.39","163.79","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","341.0","0.31","0.85","0.0","3.0","0.85","2.55","0.0","0.0","0.0","0.0","28.74","50.79","214.58","107.29","185.84","163.79","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","341.0","0.3","0.85","0.0","2.3","0.85","1.96","0.46","0.46","0.0","0.0","30.23","50.79","214.58","107.29","184.35","163.79","0.0","","","","","","",""
