" Daily soil water balance output for Urban Landscape in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","185.0","0.08","0.8","0.0","5.32","0.8","4.26","0.0","0.0","0.0","0.0","12.16","30.66","128.0","64.0","115.84","97.34","0.0","","2014.0","10.0","185.0","100.62","80.49","48.8538385827"
"2014.0","10.0","2.0","275.0","185.0","0.08","0.8","0.0","4.09","0.8","3.27","0.0","0.0","0.0","0.0","15.43","30.66","128.0","64.0","112.57","97.34","0.0","","2014.0","11.0","185.0","44.55","45.1","27.373687664"
"2014.0","10.0","3.0","276.0","185.0","0.08","0.8","0.0","4.19","0.8","3.35","0.0","0.0","0.0","0.0","18.78","30.66","128.0","64.0","109.22","97.34","0.0","","2014.0","12.0","185.0","32.61","35.74","21.6925853018"
"2014.0","10.0","4.0","277.0","185.0","0.08","0.8","0.0","4.16","0.8","3.33","0.0","0.0","0.0","0.0","22.11","30.66","128.0","64.0","105.89","97.34","0.0","","2015.0","1.0","185.0","32.17","25.75","15.6291010499"
"2014.0","10.0","5.0","278.0","185.0","0.08","0.8","0.0","4.02","0.8","3.22","0.0","0.0","0.0","0.0","25.32","30.66","128.0","64.0","102.68","97.34","0.0","","2015.0","2.0","185.0","56.25","48.65","29.5283792651"
"2014.0","10.0","6.0","279.0","185.0","0.08","0.8","0.0","3.98","0.8","3.18","0.0","0.0","0.0","0.0","28.51","30.66","128.0","64.0","99.49","97.34","0.0","","2015.0","3.0","185.0","102.43","84.7","51.4091207349"
"2014.0","10.0","7.0","280.0","185.0","0.08","0.8","0.0","4.04","0.8","3.23","0.0","0.0","0.0","0.0","0.0","30.66","128.0","64.0","128.0","97.34","31.74","","2015.0","4.0","185.0","135.2","110.95","67.3416994751"
"2014.0","10.0","8.0","281.0","185.0","0.08","0.8","0.0","4.82","0.8","3.86","0.0","0.0","0.0","0.0","3.86","30.66","128.0","64.0","124.14","97.34","0.0","","2015.0","5.0","185.0","148.97","120.62","73.2109580052"
"2014.0","10.0","9.0","282.0","185.0","0.08","0.8","0.0","4.07","0.8","3.26","0.0","0.0","0.0","0.0","7.11","30.66","128.0","64.0","120.89","97.34","0.0","","2015.0","6.0","185.0","193.42","154.74","93.9202755906"
"2014.0","10.0","10.0","283.0","185.0","0.08","0.8","0.0","3.48","0.8","2.78","0.0","0.0","0.0","0.0","9.9","30.66","128.0","64.0","118.1","97.34","0.0","","2015.0","7.0","185.0","200.86","160.67","97.5195209974"
"2014.0","10.0","11.0","284.0","185.0","0.08","0.8","0.0","3.42","0.8","2.74","0.0","0.0","0.0","0.0","12.63","30.66","128.0","64.0","115.37","97.34","0.0","","2015.0","8.0","185.0","184.58","147.64","89.6108923885"
"2014.0","10.0","12.0","285.0","185.0","0.08","0.8","0.0","5.74","0.8","4.59","0.0","0.0","0.0","0.0","17.22","30.66","128.0","64.0","110.78","97.34","0.0","","2015.0","9.0","185.0","143.41","114.72","69.6299212598"
"2014.0","10.0","13.0","286.0","185.0","0.08","0.8","0.0","3.97","0.8","3.18","0.0","0.0","0.0","0.0","20.4","30.66","128.0","64.0","107.6","97.34","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","185.0","0.08","0.8","0.0","3.13","0.8","2.5","0.0","0.0","0.0","0.0","22.9","30.66","128.0","64.0","105.1","97.34","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","185.0","0.08","0.8","0.0","2.43","0.8","1.94","0.0","0.0","0.0","0.0","24.85","30.66","128.0","64.0","103.15","97.34","0.0","","","","","","",""
