" Daily soil water balance output for Urban Landscape in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","225.0","0.57","0.8","0.0","6.01","0.8","4.81","0.0","0.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","31.95","","2014.0","10.0","225.0","101.46","81.19","59.9335629921"
"2014.0","10.0","2.0","275.0","225.0","0.52","0.8","0.0","4.13","0.8","3.3","0.0","0.0","0.0","0.0","3.3","30.61","128.0","64.0","124.7","97.39","0.0","","2014.0","11.0","225.0","43.45","44.51","32.8567913386"
"2014.0","10.0","3.0","276.0","225.0","0.49","0.8","0.0","4.1","0.8","3.28","0.0","0.0","0.0","0.0","6.58","30.61","128.0","64.0","121.42","97.39","0.0","","2014.0","12.0","225.0","31.93","34.89","25.7554133858"
"2014.0","10.0","4.0","277.0","225.0","0.46","0.8","0.0","4.11","0.8","3.29","0.0","0.0","0.0","0.0","9.87","30.61","128.0","64.0","118.13","97.39","0.0","","2015.0","1.0","225.0","32.71","26.16","19.311023622"
"2014.0","10.0","5.0","278.0","225.0","0.43","0.8","0.0","3.99","0.8","3.19","0.0","0.0","0.0","0.0","13.06","30.61","128.0","64.0","114.94","97.39","0.0","","2015.0","2.0","225.0","56.48","48.72","35.9645669291"
"2014.0","10.0","6.0","279.0","225.0","0.41","0.8","0.0","4.02","0.8","3.22","0.0","0.0","0.0","0.0","16.28","30.61","128.0","64.0","111.72","97.39","0.0","","2015.0","3.0","225.0","103.75","87.2","64.3700787402"
"2014.0","10.0","7.0","280.0","225.0","0.39","0.8","0.0","4.14","0.8","3.31","0.0","0.0","0.0","0.0","19.59","30.61","128.0","64.0","108.41","97.39","0.0","","2015.0","4.0","225.0","139.25","115.64","85.3641732283"
"2014.0","10.0","8.0","281.0","225.0","0.37","0.8","0.0","4.75","0.8","3.8","0.0","0.0","0.0","0.0","23.39","30.61","128.0","64.0","104.61","97.39","0.0","","2015.0","5.0","225.0","156.1","124.89","92.1924212598"
"2014.0","10.0","9.0","282.0","225.0","0.36","0.8","0.0","4.2","0.8","3.36","0.0","0.0","0.0","0.0","26.75","30.61","128.0","64.0","101.25","97.39","0.0","","2015.0","6.0","225.0","203.55","162.83","120.199311024"
"2014.0","10.0","10.0","283.0","225.0","0.35","0.8","0.0","3.66","0.8","2.93","0.0","0.0","0.0","0.0","29.68","30.61","128.0","64.0","98.32","97.39","0.0","","2015.0","7.0","225.0","210.84","168.68","124.517716535"
"2014.0","10.0","11.0","284.0","225.0","0.34","0.8","0.0","3.47","0.8","2.78","0.0","0.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","32.46","","2015.0","8.0","225.0","191.5","153.19","113.083169291"
"2014.0","10.0","12.0","285.0","225.0","0.32","0.8","0.0","6.52","0.8","5.22","0.0","0.0","0.0","0.0","5.22","30.61","128.0","64.0","122.78","97.39","0.0","","2015.0","9.0","225.0","147.5","117.99","87.0989173228"
"2014.0","10.0","13.0","286.0","225.0","0.31","0.8","0.0","4.07","0.8","3.26","0.0","0.0","0.0","0.0","8.47","30.61","128.0","64.0","119.53","97.39","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","225.0","0.31","0.8","0.0","3.0","0.8","2.4","0.0","0.0","0.0","0.0","10.87","30.61","128.0","64.0","117.13","97.39","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","225.0","0.3","0.8","0.0","2.3","0.8","1.84","0.46","0.46","0.0","0.0","12.25","30.61","128.0","64.0","115.75","97.39","0.0","","","","","","",""
