" Daily soil water balance output for Vineyard in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Vineyard at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","7.0","0.08","0.62","0.0","5.32","0.62","3.3","0.0","0.0","0.0","0.0","70.71","124.64","498.58","249.29","427.87","373.93","0.0","","2014.0","10.0","7.0","100.62","50.83","1.16735564304","60.84","1.39724409449"
"2014.0","10.0","2.0","275.0","7.0","0.08","0.61","0.0","4.09","0.61","2.5","0.0","0.0","0.0","0.0","73.21","124.64","498.58","249.29","425.37","373.93","0.0","","2014.0","11.0","7.0","44.55","43.74","1.00452755906","23.45","0.538549868766"
"2014.0","10.0","3.0","276.0","7.0","0.08","0.6","0.0","4.19","0.6","2.52","0.0","0.0","0.0","0.0","75.73","124.64","498.58","249.29","422.85","373.93","0.0","","2014.0","12.0","7.0","32.61","35.56","0.816666666667","0.0","0.0"
"2014.0","10.0","4.0","277.0","7.0","0.08","0.59","0.0","4.16","0.59","2.47","0.0","0.0","0.0","0.0","78.2","124.64","498.58","249.29","420.38","373.93","0.0","","2015.0","1.0","7.0","32.17","16.75","0.38467847769","0.0","0.0"
"2014.0","10.0","5.0","278.0","7.0","0.08","0.58","0.0","4.02","0.58","2.35","0.0","0.0","0.0","0.0","80.54","124.64","498.58","249.29","418.04","373.93","0.0","","2015.0","2.0","7.0","56.25","36.44","0.83687664042","0.0","0.0"
"2014.0","10.0","6.0","279.0","7.0","0.08","0.58","0.0","3.98","0.58","2.29","0.0","0.0","0.0","0.0","82.83","124.64","498.58","249.29","415.75","373.93","0.0","","2015.0","3.0","7.0","102.43","50.54","1.16069553806","0.0","0.0"
"2014.0","10.0","7.0","280.0","7.0","0.08","0.57","0.0","4.04","0.57","2.29","0.0","0.0","0.0","0.0","85.12","124.64","498.58","249.29","413.46","373.93","0.0","","2015.0","4.0","7.0","135.2","71.15","1.63402230971","81.81","1.87883858268"
"2014.0","10.0","8.0","281.0","7.0","0.08","0.56","0.0","4.82","0.56","2.68","0.0","0.0","0.0","0.0","87.8","124.64","498.58","249.29","410.78","373.93","0.0","","2015.0","5.0","7.0","148.97","102.61","2.35652887139","110.42","2.53589238845"
"2014.0","10.0","9.0","282.0","7.0","0.08","0.55","0.0","4.07","0.55","2.23","0.0","0.0","0.0","0.0","90.03","124.64","498.58","249.29","408.55","373.93","0.0","","2015.0","6.0","7.0","193.42","154.5","3.54822834646","154.74","3.55374015748"
"2014.0","10.0","10.0","283.0","7.0","0.08","0.54","0.0","3.48","0.54","1.88","0.0","0.0","0.0","0.0","91.91","124.64","498.58","249.29","406.67","373.93","0.0","","2015.0","7.0","7.0","200.86","160.67","3.68992782152","160.69","3.69038713911"
"2014.0","10.0","11.0","284.0","7.0","0.08","0.53","0.0","3.42","0.53","1.81","0.0","0.0","0.0","0.0","93.72","124.64","498.58","249.29","404.86","373.93","0.0","","2015.0","8.0","7.0","184.58","147.64","3.3906824147","147.66","3.39114173228"
"2014.0","10.0","12.0","285.0","7.0","0.08","0.52","0.0","5.74","0.52","2.99","0.0","0.0","0.0","0.0","96.71","124.64","498.58","249.29","401.87","373.93","0.0","","2015.0","9.0","7.0","143.41","107.45","2.46768372703","112.63","2.58664698163"
"2014.0","10.0","13.0","286.0","7.0","0.08","0.51","0.0","3.97","0.51","2.03","0.0","0.0","0.0","0.0","98.74","124.64","498.58","249.29","399.84","373.93","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","7.0","0.08","0.5","0.0","3.13","0.5","1.57","0.0","0.0","0.0","0.0","100.32","124.64","498.58","249.29","398.26","373.93","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","7.0","0.08","0.49","0.0","2.43","0.49","1.2","0.0","0.0","0.0","0.0","101.52","124.64","498.58","249.29","397.06","373.93","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","7.0","0.08","0.49","0.0","2.72","0.49","1.32","0.0","0.0","0.0","0.0","102.84","124.64","498.58","249.29","395.74","373.93","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","7.0","0.08","0.48","0.0","2.53","0.48","1.2","0.0","0.0","0.0","0.0","104.04","124.64","498.58","249.29","394.54","373.93","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","7.0","0.08","0.47","0.0","2.88","0.47","1.34","0.0","0.0","0.0","0.0","105.39","124.64","498.58","249.29","393.19","373.93","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","7.0","0.08","0.46","0.0","2.84","0.46","1.3","0.0","0.0","0.0","0.0","106.69","124.64","498.58","249.29","391.89","373.93","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","7.0","0.08","0.45","0.0","2.22","0.45","1.0","0.0","0.0","0.0","0.0","107.69","124.64","498.58","249.29","390.89","373.93","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","7.0","0.08","0.44","0.0","2.7","0.44","1.19","0.0","0.0","0.0","0.0","108.87","124.64","498.58","249.29","389.71","373.93","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","7.0","0.08","0.43","0.0","2.55","0.43","1.1","0.0","0.0","0.0","0.0","109.97","124.64","498.58","249.29","388.61","373.93","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","7.0","0.08","0.42","0.0","2.57","0.42","1.08","0.0","0.0","0.0","0.0","111.06","124.64","498.58","249.29","387.52","373.93","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","7.0","0.08","0.41","0.0","2.55","0.41","1.05","0.0","0.0","0.0","0.0","112.11","124.64","498.58","249.29","386.47","373.93","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","7.0","0.08","0.4","0.0","2.29","0.4","0.93","0.0","0.0","0.0","0.0","113.04","124.64","498.58","249.29","385.54","373.93","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","7.0","0.08","0.4","0.0","2.69","0.4","1.06","1.42","1.42","0.0","0.0","112.68","124.64","498.58","249.29","385.9","373.93","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","7.0","0.08","0.39","0.0","2.51","0.39","0.97","0.0","0.0","0.0","0.0","113.65","124.64","498.58","249.29","384.93","373.93","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","7.0","0.08","0.38","0.0","2.39","0.38","0.9","0.0","0.0","0.0","0.0","114.55","124.64","498.58","249.29","384.03","373.93","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","7.0","0.08","0.37","0.0","2.5","0.37","0.92","0.0","0.0","0.0","0.0","115.47","124.64","498.58","249.29","383.11","373.93","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","7.0","0.08","0.36","0.0","2.44","0.36","0.88","0.0","0.0","0.0","0.0","116.34","124.64","498.58","249.29","382.24","373.93","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","7.0","0.08","0.35","0.0","1.38","0.35","0.48","0.0","0.0","0.0","0.0","116.83","124.64","498.58","249.29","381.75","373.93","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","7.0","1.15","0.0","0.0","1.85","1.15","2.12","8.58","8.58","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","7.0","1.14","0.0","0.0","2.15","1.14","2.45","0.0","0.0","0.0","0.0","28.85","26.4","498.58","249.29","469.73","472.18","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","7.0","1.14","0.0","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","7.0","1.01","0.0","0.0","1.77","1.01","1.79","0.0","0.0","0.0","0.0","28.19","26.4","498.58","249.29","470.39","472.18","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","7.0","0.9","0.0","0.0","1.98","0.9","1.78","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
