" Daily soil water balance output for Vineyard in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Vineyard in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","10195.0","0.57","0.35","0.0","5.96","0.57","3.38","0.0","0.0","0.0","0.0","90.86","150.42","601.67","300.83","510.81","451.25","0.0","","2014.0","10.0","10195.0","103.02","35.97","1203.13041339","62.43","2088.16879921"
"2014.0","10.0","2.0","275.0","10195.0","0.52","0.0","0.0","4.15","0.52","2.16","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2014.0","11.0","10195.0","43.68","43.33","1449.30889108","23.12","773.32152231"
"2014.0","10.0","3.0","276.0","10195.0","0.48","0.0","0.0","4.14","0.48","2.0","0.0","0.0","0.0","0.0","33.35","31.35","601.67","300.83","568.32","570.32","0.0","","2014.0","12.0","10195.0","32.29","36.63","1225.20620079","0.0","0.0"
"2014.0","10.0","4.0","277.0","10195.0","0.45","0.0","0.0","4.17","0.45","1.89","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2015.0","1.0","10195.0","32.29","18.19","608.422080052","0.0","0.0"
"2014.0","10.0","5.0","278.0","10195.0","0.43","0.0","0.0","4.03","0.43","1.73","0.0","0.0","0.0","0.0","33.08","31.35","601.67","300.83","568.59","570.32","0.0","","2015.0","2.0","10195.0","56.46","36.47","1219.85449475","0.0","0.0"
"2014.0","10.0","6.0","279.0","10195.0","0.41","0.0","0.0","4.09","0.41","1.67","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2015.0","3.0","10195.0","104.49","49.32","1649.66338583","0.0","0.0"
"2014.0","10.0","7.0","280.0","10195.0","0.39","0.0","0.0","4.24","0.39","1.65","0.0","0.0","0.0","0.0","33.0","31.35","601.67","300.83","568.67","570.32","0.0","","2015.0","4.0","10195.0","140.05","88.66","2965.51410761","86.37","2888.91781496"
"2014.0","10.0","8.0","281.0","10195.0","0.37","0.0","0.0","4.92","0.37","1.82","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2015.0","5.0","10195.0","157.44","120.6","4033.8484252","114.36","3825.13188976"
"2014.0","10.0","9.0","282.0","10195.0","0.36","0.0","0.0","4.33","0.36","1.54","0.0","0.0","0.0","0.0","32.89","31.35","601.67","300.83","568.78","570.32","0.0","","2015.0","6.0","10195.0","206.92","165.55","5537.3433399","165.54","5537.00885827"
"2014.0","10.0","10.0","283.0","10195.0","0.34","0.0","0.0","3.75","0.34","1.29","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2015.0","7.0","10195.0","214.06","171.26","5728.33234908","171.25","5727.99786745"
"2014.0","10.0","11.0","284.0","10195.0","0.33","0.0","0.0","3.53","0.33","1.18","0.0","0.0","0.0","0.0","32.53","31.35","601.67","300.83","569.14","570.32","0.0","","2015.0","8.0","10195.0","194.99","148.74","4975.07972441","155.99","5217.5789042"
"2014.0","10.0","12.0","285.0","10195.0","0.32","0.0","0.0","6.45","0.32","2.05","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2015.0","9.0","10195.0","149.52","76.29","2551.76033465","117.39","3926.47982283"
"2014.0","10.0","13.0","286.0","10195.0","0.31","0.0","0.0","4.08","0.31","1.26","0.0","0.0","0.0","0.0","32.61","31.35","601.67","300.83","569.06","570.32","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","10195.0","0.3","0.0","0.0","3.18","0.3","0.96","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","10195.0","0.3","0.0","0.0","2.39","0.3","0.72","0.15","0.15","0.0","0.0","31.92","31.35","601.67","300.83","569.75","570.32","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","10195.0","0.29","0.0","0.0","2.7","0.29","0.8","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","10195.0","0.29","0.0","0.0","2.51","0.29","0.73","0.0","0.0","0.0","0.0","32.08","31.35","601.67","300.83","569.59","570.32","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","10195.0","0.29","0.0","0.0","2.88","0.29","0.82","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","10195.0","0.28","0.0","0.0","2.97","0.28","0.84","0.0","0.0","0.0","0.0","32.19","31.35","601.67","300.83","569.48","570.32","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","10195.0","0.28","0.0","0.0","2.25","0.28","0.63","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","10195.0","0.27","0.0","0.0","2.67","0.27","0.73","0.0","0.0","0.0","0.0","32.08","31.35","601.67","300.83","569.59","570.32","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","10195.0","0.27","0.0","0.0","2.57","0.27","0.7","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","10195.0","0.27","0.0","0.0","2.51","0.27","0.67","0.0","0.0","0.0","0.0","32.02","31.35","601.67","300.83","569.65","570.32","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","10195.0","0.27","0.0","0.0","2.57","0.27","0.68","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","10195.0","0.26","0.0","0.0","2.27","0.26","0.6","0.0","0.0","0.0","0.0","31.95","31.35","601.67","300.83","569.72","570.32","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","10195.0","0.26","0.0","0.0","2.66","0.26","0.69","1.25","1.25","0.0","0.0","30.7","31.35","601.67","300.83","570.97","570.32","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","10195.0","0.26","0.0","0.0","2.48","0.26","0.64","0.0","0.0","0.0","0.0","31.33","31.35","601.67","300.83","570.34","570.32","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","10195.0","0.25","0.0","0.0","2.37","0.25","0.6","0.0","0.0","0.0","0.0","31.93","31.35","601.67","300.83","569.74","570.32","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","10195.0","0.25","0.0","0.0","2.4","0.25","0.6","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","10195.0","0.25","0.0","0.0","2.51","0.25","0.62","0.0","0.0","0.0","0.0","31.97","31.35","601.67","300.83","569.69","570.32","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","10195.0","0.25","0.0","0.0","1.29","0.25","0.32","0.01","0.01","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","10195.0","1.15","0.0","0.0","1.84","1.15","2.11","7.1","7.1","0.0","0.0","26.36","31.35","601.67","300.83","575.31","570.32","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","10195.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","28.88","31.35","601.67","300.83","572.79","570.32","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","10195.0","1.14","0.0","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","30.93","31.35","601.67","300.83","570.74","570.32","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","10195.0","1.01","0.0","0.0","1.75","1.01","1.77","0.0","0.0","0.0","0.0","32.7","31.35","601.67","300.83","568.97","570.32","0.0","","","","","","","","",""
