" Daily soil water balance output for Vineyard in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Vineyard in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","1678.0","0.57","0.71","0.0","6.01","0.71","4.24","0.0","0.0","0.0","0.0","116.59","134.11","536.45","268.22","419.85","402.34","0.0","","2014.0","10.0","1678.0","101.46","61.52","338.682939633","61.5","338.572834646"
"2014.0","10.0","2.0","275.0","1678.0","0.52","0.7","0.0","4.13","0.7","2.88","0.0","0.0","0.0","0.0","119.47","134.11","536.45","268.22","416.97","402.34","0.0","","2014.0","11.0","1678.0","43.45","43.15","237.551509186","23.04","126.840944882"
"2014.0","10.0","3.0","276.0","1678.0","0.49","0.69","0.0","4.1","0.69","2.83","0.0","0.0","0.0","0.0","122.3","134.11","536.45","268.22","414.15","402.34","0.0","","2014.0","12.0","1678.0","31.93","34.69","190.977099738","0.0","0.0"
"2014.0","10.0","4.0","277.0","1678.0","0.46","0.68","0.0","4.11","0.68","2.8","0.0","0.0","0.0","0.0","125.1","134.11","536.45","268.22","411.35","402.34","0.0","","2015.0","1.0","1678.0","32.71","16.86","92.818503937","0.0","0.0"
"2014.0","10.0","5.0","278.0","1678.0","0.43","0.67","0.0","3.99","0.67","2.69","0.0","0.0","0.0","0.0","127.79","134.11","536.45","268.22","408.66","402.34","0.0","","2015.0","2.0","1678.0","56.48","36.24","199.51023622","0.0","0.0"
"2014.0","10.0","6.0","279.0","1678.0","0.41","0.67","0.0","4.02","0.67","2.68","0.0","0.0","0.0","0.0","130.47","134.11","536.45","268.22","405.98","402.34","0.0","","2015.0","3.0","1678.0","103.75","60.08","330.755380577","0.0","0.0"
"2014.0","10.0","7.0","280.0","1678.0","0.39","0.66","0.0","4.14","0.66","2.72","0.0","0.0","0.0","0.0","133.19","134.11","536.45","268.22","403.26","402.34","0.0","","2015.0","4.0","1678.0","139.25","87.56","482.039632546","87.57","482.094685039"
"2014.0","10.0","8.0","281.0","1678.0","0.37","0.65","0.0","4.75","0.65","3.09","0.0","0.0","0.0","0.0","0.0","134.11","536.45","268.22","536.45","402.34","136.28","","2015.0","5.0","1678.0","156.1","113.34","623.96496063","113.37","624.13011811"
"2014.0","10.0","9.0","282.0","1678.0","0.36","0.64","0.0","4.2","0.64","2.7","0.0","0.0","0.0","0.0","2.7","134.11","536.45","268.22","533.75","402.34","0.0","","2015.0","6.0","1678.0","203.55","162.83","896.419750656","162.84","896.47480315"
"2014.0","10.0","10.0","283.0","1678.0","0.35","0.63","0.0","3.66","0.63","2.32","0.0","0.0","0.0","0.0","5.02","134.11","536.45","268.22","531.43","402.34","0.0","","2015.0","7.0","1678.0","210.84","168.68","928.625459318","168.67","928.570406824"
"2014.0","10.0","11.0","284.0","1678.0","0.34","0.63","0.0","3.47","0.63","2.17","0.0","0.0","0.0","0.0","7.19","134.11","536.45","268.22","529.26","402.34","0.0","","2015.0","8.0","1678.0","191.5","153.19","843.349146982","153.2","843.404199475"
"2014.0","10.0","12.0","285.0","1678.0","0.32","0.62","0.0","6.52","0.62","4.03","0.0","0.0","0.0","0.0","11.22","134.11","536.45","268.22","525.22","402.34","0.0","","2015.0","9.0","1678.0","147.5","115.8","637.507874016","115.8","637.507874016"
"2014.0","10.0","13.0","286.0","1678.0","0.31","0.61","0.0","4.07","0.61","2.48","0.0","0.0","0.0","0.0","13.71","134.11","536.45","268.22","522.74","402.34","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","1678.0","0.31","0.6","0.0","3.0","0.6","1.81","0.0","0.0","0.0","0.0","15.52","134.11","536.45","268.22","520.93","402.34","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","1678.0","0.3","0.59","0.0","2.3","0.59","1.37","0.46","0.46","0.0","0.0","16.42","134.11","536.45","268.22","520.02","402.34","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","1678.0","0.3","0.59","0.0","2.65","0.59","1.56","0.27","0.27","0.0","0.0","17.71","134.11","536.45","268.22","518.74","402.34","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","1678.0","0.29","0.58","0.0","2.47","0.58","1.43","0.0","0.0","0.0","0.0","19.14","134.11","536.45","268.22","517.31","402.34","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","1678.0","0.29","0.57","0.0","2.85","0.57","1.63","0.0","0.0","0.0","0.0","20.77","134.11","536.45","268.22","515.68","402.34","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","1678.0","0.28","0.56","0.0","2.92","0.56","1.64","0.0","0.0","0.0","0.0","22.41","134.11","536.45","268.22","514.04","402.34","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","1678.0","0.28","0.56","0.0","2.24","0.56","1.24","0.0","0.0","0.0","0.0","23.65","134.11","536.45","268.22","512.79","402.34","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","1678.0","0.28","0.55","0.0","2.61","0.55","1.43","0.0","0.0","0.0","0.0","25.08","134.11","536.45","268.22","511.36","402.34","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","1678.0","0.27","0.54","0.0","2.54","0.54","1.37","0.0","0.0","0.0","0.0","26.45","134.11","536.45","268.22","509.99","402.34","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","1678.0","0.27","0.53","0.0","2.44","0.53","1.3","0.0","0.0","0.0","0.0","27.75","134.11","536.45","268.22","508.7","402.34","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","1678.0","0.27","0.52","0.0","2.57","0.52","1.35","0.0","0.0","0.0","0.0","29.1","134.11","536.45","268.22","507.35","402.34","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","1678.0","0.26","0.52","0.0","2.26","0.52","1.17","0.0","0.0","0.0","0.0","30.26","134.11","536.45","268.22","506.19","402.34","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","1678.0","0.26","0.51","0.0","2.62","0.51","1.33","1.47","1.47","0.0","0.0","30.12","134.11","536.45","268.22","506.32","402.34","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","1678.0","0.26","0.5","0.0","2.46","0.5","1.23","0.0","0.0","0.0","0.0","31.35","134.11","536.45","268.22","505.09","402.34","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","1678.0","0.26","0.49","0.0","2.33","0.49","1.15","0.0","0.0","0.0","0.0","32.5","134.11","536.45","268.22","503.95","402.34","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","1678.0","0.25","0.48","0.0","2.38","0.48","1.15","0.0","0.0","0.0","0.0","33.65","134.11","536.45","268.22","502.8","402.34","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","1678.0","0.25","0.48","0.0","2.46","0.48","1.17","0.0","0.0","0.0","0.0","34.82","134.11","536.45","268.22","501.62","402.34","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","1678.0","0.25","0.47","0.0","1.19","0.47","0.56","0.0","0.0","0.0","0.0","35.38","134.11","536.45","268.22","501.07","402.34","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","1678.0","1.15","0.46","0.0","1.87","1.15","2.14","5.89","5.89","0.0","0.0","31.63","134.11","536.45","268.22","504.82","402.34","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","1678.0","1.14","0.45","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","34.15","134.11","536.45","268.22","502.3","402.34","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","1678.0","1.14","0.44","0.0","1.8","1.14","2.05","0.0","0.0","0.0","0.0","36.2","134.11","536.45","268.22","500.24","402.34","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","1678.0","1.01","0.44","0.0","1.74","1.01","1.75","0.0","0.0","0.0","0.0","37.96","134.11","536.45","268.22","498.49","402.34","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","1678.0","0.91","0.43","0.0","1.79","0.91","1.62","0.0","0.0","0.0","0.0","39.58","134.11","536.45","268.22","496.87","402.34","0.0","","","","","","","","",""
