" Daily soil water balance output for Walnuts in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Walnuts in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","4.0","0.57","1.01","0.0","5.96","1.01","6.02","0.0","0.0","0.0","0.0","19.5","123.07","492.27","246.14","472.78","369.21","0.0","","2014.0","10.0","4.0","103.02","94.97","1.24632545932","92.72","1.21679790026"
"2014.0","10.0","2.0","275.0","4.0","0.52","1.0","0.0","4.15","1.0","4.16","0.0","0.0","0.0","0.0","23.66","123.07","492.27","246.14","468.62","369.21","0.0","","2014.0","11.0","4.0","43.68","43.33","0.568635170604","0.0","0.0"
"2014.0","10.0","3.0","276.0","4.0","0.48","1.0","0.0","4.14","1.0","4.12","0.0","0.0","0.0","0.0","27.78","123.07","492.27","246.14","464.49","369.21","0.0","","2014.0","12.0","4.0","32.29","36.63","0.480708661417","0.0","0.0"
"2014.0","10.0","4.0","277.0","4.0","0.45","0.99","0.0","4.17","0.99","4.12","0.0","0.0","0.0","0.0","31.91","123.07","492.27","246.14","460.37","369.21","0.0","","2015.0","1.0","4.0","32.29","18.19","0.238713910761","0.0","0.0"
"2014.0","10.0","5.0","278.0","4.0","0.43","0.98","0.0","4.03","0.98","3.96","0.0","0.0","0.0","0.0","35.86","123.07","492.27","246.14","456.41","369.21","0.0","","2015.0","2.0","4.0","56.46","36.47","0.478608923885","0.0","0.0"
"2014.0","10.0","6.0","279.0","4.0","0.41","0.98","0.0","4.09","0.98","3.99","0.0","0.0","0.0","0.0","39.85","123.07","492.27","246.14","452.42","369.21","0.0","","2015.0","3.0","4.0","104.49","49.32","0.647244094488","70.5","0.925196850394"
"2014.0","10.0","7.0","280.0","4.0","0.39","0.97","0.0","4.24","0.97","4.1","0.0","0.0","0.0","0.0","43.96","123.07","492.27","246.14","448.32","369.21","0.0","","2015.0","4.0","4.0","140.05","81.03","1.06338582677","112.81","1.48044619423"
"2014.0","10.0","8.0","281.0","4.0","0.37","0.96","0.0","4.92","0.96","4.73","0.0","0.0","0.0","0.0","48.68","123.07","492.27","246.14","443.59","369.21","0.0","","2015.0","5.0","4.0","157.44","115.42","1.51469816273","145.62","1.91102362205"
"2014.0","10.0","9.0","282.0","4.0","0.36","0.95","0.0","4.33","0.95","4.13","0.0","0.0","0.0","0.0","52.81","123.07","492.27","246.14","439.46","369.21","0.0","","2015.0","6.0","4.0","206.92","190.63","2.50170603675","222.95","2.92585301837"
"2014.0","10.0","10.0","283.0","4.0","0.34","0.95","0.0","3.75","0.95","3.55","0.0","0.0","0.0","0.0","56.37","123.07","492.27","246.14","435.91","369.21","0.0","","2015.0","7.0","4.0","214.06","234.67","3.07965879265","246.17","3.23057742782"
"2014.0","10.0","11.0","284.0","4.0","0.33","0.94","0.0","3.53","0.94","3.32","0.0","0.0","0.0","0.0","59.68","123.07","492.27","246.14","432.59","369.21","0.0","","2015.0","8.0","4.0","194.99","224.25","2.94291338583","224.24","2.94278215223"
"2014.0","10.0","12.0","285.0","4.0","0.32","0.93","0.0","6.45","0.93","6.02","0.0","0.0","0.0","0.0","65.7","123.07","492.27","246.14","426.57","369.21","0.0","","2015.0","9.0","4.0","149.52","166.03","2.17887139108","159.4","2.09186351706"
"2014.0","10.0","13.0","286.0","4.0","0.31","0.93","0.0","4.08","0.93","3.78","0.0","0.0","0.0","0.0","69.48","123.07","492.27","246.14","422.8","369.21","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","4.0","0.3","0.92","0.0","3.18","0.92","2.92","0.0","0.0","0.0","0.0","72.4","123.07","492.27","246.14","419.87","369.21","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","4.0","0.3","0.91","0.0","2.39","0.91","2.18","0.15","0.15","0.0","0.0","74.43","123.07","492.27","246.14","417.84","369.21","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","4.0","0.29","0.91","0.0","2.7","0.91","2.44","0.0","0.0","0.0","0.0","76.88","123.07","492.27","246.14","415.4","369.21","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","4.0","0.29","0.9","0.0","2.51","0.9","2.25","0.0","0.0","0.0","0.0","79.13","123.07","492.27","246.14","413.15","369.21","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","4.0","0.29","0.89","0.0","2.88","0.89","2.57","0.0","0.0","0.0","0.0","81.7","123.07","492.27","246.14","410.58","369.21","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","4.0","0.28","0.88","0.0","2.97","0.88","2.63","0.0","0.0","0.0","0.0","84.32","123.07","492.27","246.14","407.95","369.21","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","4.0","0.28","0.88","0.0","2.25","0.88","1.97","0.0","0.0","0.0","0.0","86.29","123.07","492.27","246.14","405.98","369.21","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","4.0","0.27","0.87","0.0","2.67","0.87","2.32","0.0","0.0","0.0","0.0","88.62","123.07","492.27","246.14","403.66","369.21","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","4.0","0.27","0.86","0.0","2.57","0.86","2.22","0.0","0.0","0.0","0.0","90.83","123.07","492.27","246.14","401.44","369.21","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","4.0","0.27","0.86","0.0","2.51","0.86","2.15","0.0","0.0","0.0","0.0","92.98","123.07","492.27","246.14","399.29","369.21","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","4.0","0.27","0.85","0.0","2.57","0.85","2.18","0.0","0.0","0.0","0.0","95.17","123.07","492.27","246.14","397.11","369.21","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","4.0","0.26","0.84","0.0","2.27","0.84","1.91","0.0","0.0","0.0","0.0","97.08","123.07","492.27","246.14","395.2","369.21","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","4.0","0.26","0.84","0.0","2.66","0.84","2.22","1.25","1.25","0.0","0.0","98.05","123.07","492.27","246.14","394.23","369.21","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","4.0","0.26","0.83","0.0","2.48","0.83","2.05","0.0","0.0","0.0","0.0","100.1","123.07","492.27","246.14","392.17","369.21","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","4.0","0.25","0.82","0.0","2.37","0.82","1.95","0.0","0.0","0.0","0.0","102.05","123.07","492.27","246.14","390.23","369.21","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","4.0","0.25","0.81","0.0","2.4","0.81","1.95","0.0","0.0","0.0","0.0","104.0","123.07","492.27","246.14","388.27","369.21","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","4.0","0.25","0.81","0.0","2.51","0.81","2.03","0.0","0.0","0.0","0.0","106.03","123.07","492.27","246.14","386.25","369.21","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","4.0","0.25","0.8","0.0","1.29","0.8","1.03","0.01","0.01","0.0","0.0","107.05","123.07","492.27","246.14","385.23","369.21","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","4.0","1.15","0.0","0.0","1.84","1.15","2.11","7.1","7.1","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","4.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","28.17","25.65","492.27","246.14","464.11","466.62","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","4.0","1.14","0.0","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","4.0","1.01","0.0","0.0","1.75","1.01","1.77","0.0","0.0","0.0","0.0","27.42","25.65","492.27","246.14","464.86","466.62","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","4.0","0.91","0.0","0.0","1.82","0.91","1.65","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","","","",""
