" Daily soil water balance output for Walnuts in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Walnuts in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","227.0","0.56","1.01","0.0","6.18","1.01","6.24","0.0","0.0","0.0","0.0","70.53","102.87","411.48","205.74","340.95","308.61","0.0","","2014.0","10.0","227.0","103.42","95.39","71.0417650919","93.11","69.3437335958"
"2014.0","10.0","2.0","275.0","227.0","0.52","1.0","0.0","4.2","1.0","4.21","0.0","0.0","0.0","0.0","74.74","102.87","411.48","205.74","336.74","308.61","0.0","","2014.0","11.0","227.0","43.39","42.98","32.0093832021","0.0","0.0"
"2014.0","10.0","3.0","276.0","227.0","0.48","1.0","0.0","4.14","1.0","4.12","0.0","0.0","0.0","0.0","78.86","102.87","411.48","205.74","332.62","308.61","0.0","","2014.0","12.0","227.0","32.08","34.9","25.9917979003","0.0","0.0"
"2014.0","10.0","4.0","277.0","227.0","0.45","0.99","0.0","4.18","0.99","4.13","0.0","0.0","0.0","0.0","83.0","102.87","411.48","205.74","328.48","308.61","0.0","","2015.0","1.0","227.0","33.25","17.16","12.7799212598","0.0","0.0"
"2014.0","10.0","5.0","278.0","227.0","0.43","0.98","0.0","4.06","0.98","3.99","0.0","0.0","0.0","0.0","86.98","102.87","411.48","205.74","324.5","308.61","0.0","","2015.0","2.0","227.0","56.91","36.39","27.101476378","0.0","0.0"
"2014.0","10.0","6.0","279.0","227.0","0.41","0.98","0.0","4.12","0.98","4.02","0.0","0.0","0.0","0.0","91.0","102.87","411.48","205.74","320.48","308.61","0.0","","2015.0","3.0","227.0","104.95","49.39","36.7832349081","70.76","52.6985564304"
"2014.0","10.0","7.0","280.0","227.0","0.39","0.97","0.0","4.25","0.97","4.11","0.0","0.0","0.0","0.0","95.11","102.87","411.48","205.74","316.37","308.61","0.0","","2015.0","4.0","227.0","140.99","84.74","63.1101706037","114.52","85.2888451444"
"2014.0","10.0","8.0","281.0","227.0","0.37","0.96","0.0","4.81","0.96","4.62","0.0","0.0","0.0","0.0","99.74","102.87","411.48","205.74","311.74","308.61","0.0","","2015.0","5.0","227.0","160.57","118.39","88.1710301837","148.49","110.588024934"
"2014.0","10.0","9.0","282.0","227.0","0.35","0.95","0.0","4.33","0.95","4.13","0.0","0.0","0.0","0.0","0.0","102.87","411.48","205.74","411.48","308.61","103.87","","2015.0","6.0","227.0","209.56","193.52","144.124146982","225.76","168.134908136"
"2014.0","10.0","10.0","283.0","227.0","0.34","0.95","0.0","3.77","0.95","3.57","0.0","0.0","0.0","0.0","3.57","102.87","411.48","205.74","407.91","308.61","0.0","","2015.0","7.0","227.0","216.77","237.77","177.079363517","249.29","185.658891076"
"2014.0","10.0","11.0","284.0","227.0","0.33","0.94","0.0","3.53","0.94","3.32","0.0","0.0","0.0","0.0","6.89","102.87","411.48","205.74","404.59","308.61","0.0","","2015.0","8.0","227.0","196.26","225.71","168.097670604","225.7","168.090223097"
"2014.0","10.0","12.0","285.0","227.0","0.32","0.93","0.0","6.72","0.93","6.27","0.0","0.0","0.0","0.0","13.16","102.87","411.48","205.74","398.32","308.61","0.0","","2015.0","9.0","227.0","150.85","167.49","124.738287402","160.82","119.770800525"
"2014.0","10.0","13.0","286.0","227.0","0.31","0.93","0.0","4.16","0.93","3.85","0.0","0.0","0.0","0.0","17.01","102.87","411.48","205.74","394.47","308.61","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","227.0","0.3","0.92","0.0","3.14","0.92","2.89","0.0","0.0","0.0","0.0","19.9","102.87","411.48","205.74","391.58","308.61","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","227.0","0.3","0.91","0.0","2.28","0.91","2.08","1.75","1.75","0.0","0.0","20.23","102.87","411.48","205.74","391.25","308.61","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","227.0","0.29","0.91","0.0","2.67","0.91","2.42","0.08","0.08","0.0","0.0","22.56","102.87","411.48","205.74","388.92","308.61","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","227.0","0.29","0.9","0.0","2.51","0.9","2.25","0.0","0.0","0.0","0.0","24.82","102.87","411.48","205.74","386.66","308.61","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","227.0","0.29","0.89","0.0","2.9","0.89","2.58","0.0","0.0","0.0","0.0","27.4","102.87","411.48","205.74","384.08","308.61","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","227.0","0.28","0.88","0.0","3.02","0.88","2.67","0.0","0.0","0.0","0.0","30.07","102.87","411.48","205.74","381.41","308.61","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","227.0","0.28","0.88","0.0","2.28","0.88","2.0","0.0","0.0","0.0","0.0","32.07","102.87","411.48","205.74","379.41","308.61","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","227.0","0.27","0.87","0.0","2.62","0.87","2.28","0.0","0.0","0.0","0.0","34.35","102.87","411.48","205.74","377.13","308.61","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","227.0","0.27","0.86","0.0","2.57","0.86","2.22","0.0","0.0","0.0","0.0","36.57","102.87","411.48","205.74","374.91","308.61","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","227.0","0.27","0.86","0.0","2.45","0.86","2.1","0.0","0.0","0.0","0.0","38.66","102.87","411.48","205.74","372.82","308.61","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","227.0","0.26","0.85","0.0","2.62","0.85","2.22","0.0","0.0","0.0","0.0","40.89","102.87","411.48","205.74","370.59","308.61","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","227.0","0.26","0.84","0.0","2.31","0.84","1.95","0.0","0.0","0.0","0.0","42.83","102.87","411.48","205.74","368.65","308.61","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","227.0","0.26","0.84","0.0","2.62","0.84","2.19","2.42","2.42","0.0","0.0","42.6","102.87","411.48","205.74","368.88","308.61","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","227.0","0.26","0.83","0.0","2.46","0.83","2.04","0.0","0.0","0.0","0.0","44.64","102.87","411.48","205.74","366.84","308.61","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","227.0","0.25","0.82","0.0","2.35","0.82","1.93","0.0","0.0","0.0","0.0","46.57","102.87","411.48","205.74","364.91","308.61","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","227.0","0.25","0.81","0.0","2.4","0.81","1.95","0.0","0.0","0.0","0.0","48.52","102.87","411.48","205.74","362.96","308.61","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","227.0","0.25","0.81","0.0","2.55","0.81","2.06","0.0","0.0","0.0","0.0","50.58","102.87","411.48","205.74","360.9","308.61","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","227.0","0.25","0.8","0.0","1.22","0.8","0.98","0.0","0.0","0.0","0.0","51.55","102.87","411.48","205.74","359.93","308.61","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","227.0","1.15","0.0","0.0","1.85","1.15","2.12","9.51","9.51","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","227.0","1.14","0.0","0.0","2.22","1.14","2.53","0.0","0.0","0.0","0.0","22.78","20.25","411.48","205.74","388.7","391.23","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","227.0","1.14","0.0","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","227.0","1.01","0.0","0.0","1.76","1.01","1.77","0.0","0.0","0.0","0.0","22.02","20.25","411.48","205.74","389.46","391.23","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","227.0","0.91","0.0","0.0","1.77","0.91","1.6","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
