" Daily soil water balance output for Water Surface in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Water Surface in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","14014.0","0.08","1.1","0.0","5.56","1.1","6.116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","10.0","14014.0","100.46","110.506","5080.81064304"
"2014.0","10.0","2.0","275.0","14014.0","0.08","1.1","0.0","4.08","1.1","4.488","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","11.0","14014.0","43.94","48.334","2222.28568241"
"2014.0","10.0","3.0","276.0","14014.0","0.08","1.1","0.0","4.13","1.1","4.543","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","12.0","14014.0","32.25","35.475","1631.05856299"
"2014.0","10.0","4.0","277.0","14014.0","0.08","1.1","0.0","4.12","1.1","4.532","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","1.0","14014.0","31.89","35.079","1612.85139764"
"2014.0","10.0","5.0","278.0","14014.0","0.08","1.1","0.0","3.97","1.1","4.367","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","2.0","14014.0","56.06","61.666","2835.26024934"
"2014.0","10.0","6.0","279.0","14014.0","0.08","1.1","0.0","3.97","1.1","4.367","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","3.0","14014.0","102.94","113.234","5206.23778215"
"2014.0","10.0","7.0","280.0","14014.0","0.08","1.1","0.0","4.08","1.1","4.488","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","4.0","14014.0","136.61","150.271","6909.11349738"
"2014.0","10.0","8.0","281.0","14014.0","0.08","1.1","0.0","4.81","1.1","5.291","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","5.0","14014.0","150.49","165.539","7611.1008727"
"2014.0","10.0","9.0","282.0","14014.0","0.08","1.1","0.0","4.12","1.1","4.532","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","6.0","14014.0","196.51","216.161","9938.5835105"
"2014.0","10.0","10.0","283.0","14014.0","0.08","1.1","0.0","3.54","1.1","3.894","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","7.0","14014.0","204.06","224.466","10320.4282283"
"2014.0","10.0","11.0","284.0","14014.0","0.08","1.1","0.0","3.45","1.1","3.795","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","8.0","14014.0","187.5","206.25","9482.89862205"
"2014.0","10.0","12.0","285.0","14014.0","0.08","1.1","0.0","6.01","1.1","6.611","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","9.0","14014.0","144.17","158.587","7291.46396982"
"2014.0","10.0","13.0","286.0","14014.0","0.08","1.1","0.0","3.98","1.1","4.378","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","14014.0","0.08","1.1","0.0","3.08","1.1","3.388","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","14014.0","0.08","1.1","0.0","2.4","1.1","2.64","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
