" Daily soil water balance output for Water Surface in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Water Surface in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","16945.0","0.08","1.1","0.0","5.64","1.1","6.204","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","10.0","16945.0","104.06","114.466","6363.60357612"
"2014.0","10.0","2.0","275.0","16945.0","0.08","1.1","0.0","4.13","1.1","4.543","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","11.0","16945.0","44.11","48.521","2697.46832349"
"2014.0","10.0","3.0","276.0","16945.0","0.08","1.1","0.0","4.17","1.1","4.587","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","12.0","16945.0","32.86","36.146","2009.49465223"
"2014.0","10.0","4.0","277.0","16945.0","0.08","1.1","0.0","4.22","1.1","4.642","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","1.0","16945.0","31.82","35.002","1945.8953084"
"2014.0","10.0","5.0","278.0","16945.0","0.08","1.1","0.0","4.07","1.1","4.477","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","2.0","16945.0","55.9","61.49","3418.46473097"
"2014.0","10.0","6.0","279.0","16945.0","0.08","1.1","0.0","4.12","1.1","4.532","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","3.0","16945.0","105.04","115.544","6423.53372703"
"2014.0","10.0","7.0","280.0","16945.0","0.08","1.1","0.0","4.3","1.1","4.73","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","4.0","16945.0","139.8","153.78","8549.21948819"
"2014.0","10.0","8.0","281.0","16945.0","0.08","1.1","0.0","5.11","1.1","5.621","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","5.0","16945.0","156.12","171.732","9547.23996063"
"2014.0","10.0","9.0","282.0","16945.0","0.08","1.1","0.0","4.37","1.1","4.807","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","6.0","16945.0","205.59","226.149","12572.4895177"
"2014.0","10.0","10.0","283.0","16945.0","0.08","1.1","0.0","3.76","1.1","4.136","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","7.0","16945.0","212.75","234.025","13010.3465387"
"2014.0","10.0","11.0","284.0","16945.0","0.08","1.1","0.0","3.57","1.1","3.927","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","8.0","16945.0","195.07","214.577","11929.1576936"
"2014.0","10.0","12.0","285.0","16945.0","0.08","1.1","0.0","6.1","1.1","6.71","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","9.0","16945.0","149.12","164.032","9119.16745407"
"2014.0","10.0","13.0","286.0","16945.0","0.08","1.1","0.0","4.07","1.1","4.477","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","16945.0","0.08","1.1","0.0","3.32","1.1","3.652","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","16945.0","0.08","1.1","0.0","2.48","1.1","2.728","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
