" Daily soil water balance output for Water Surface in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Water Surface in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","10206.0","0.57","1.1","0.0","6.01","1.1","6.611","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","10.0","10206.0","101.46","111.606","3737.0434252"
"2014.0","10.0","2.0","275.0","10206.0","0.52","1.1","0.0","4.13","1.1","4.543","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","11.0","10206.0","43.45","47.795","1600.37982283"
"2014.0","10.0","3.0","276.0","10206.0","0.49","1.1","0.0","4.1","1.1","4.51","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","12.0","10206.0","31.93","35.123","1176.06738189"
"2014.0","10.0","4.0","277.0","10206.0","0.46","1.1","0.0","4.11","1.1","4.521","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","1.0","10206.0","32.71","35.981","1204.79687008"
"2014.0","10.0","5.0","278.0","10206.0","0.43","1.1","0.0","3.99","1.1","4.389","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","2.0","10206.0","56.48","62.128","2080.3096063"
"2014.0","10.0","6.0","279.0","10206.0","0.41","1.1","0.0","4.02","1.1","4.422","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","3.0","10206.0","103.75","114.125","3821.39025591"
"2014.0","10.0","7.0","280.0","10206.0","0.39","1.1","0.0","4.14","1.1","4.554","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","4.0","10206.0","139.25","153.175","5128.95029528"
"2014.0","10.0","8.0","281.0","10206.0","0.37","1.1","0.0","4.75","1.1","5.225","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","5.0","10206.0","156.1","171.71","5749.58090551"
"2014.0","10.0","9.0","282.0","10206.0","0.36","1.1","0.0","4.2","1.1","4.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","6.0","10206.0","203.55","223.905","7497.29143701"
"2014.0","10.0","10.0","283.0","10206.0","0.35","1.1","0.0","3.66","1.1","4.026","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","7.0","10206.0","210.84","231.924","7765.80165354"
"2014.0","10.0","11.0","284.0","10206.0","0.34","1.1","0.0","3.47","1.1","3.817","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","8.0","10206.0","191.5","210.65","7053.45767717"
"2014.0","10.0","12.0","285.0","10206.0","0.32","1.1","0.0","6.52","1.1","7.172","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","9.0","10206.0","147.5","162.25","5432.81988189"
"2014.0","10.0","13.0","286.0","10206.0","0.31","1.1","0.0","4.07","1.1","4.477","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","10206.0","0.31","1.1","0.0","3.0","1.1","3.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","10206.0","0.3","1.1","0.0","2.3","1.1","2.53","0.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
