" Daily soil water balance output for Water Surface in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Water Surface in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","4126.0","0.56","1.1","0.0","6.18","1.1","6.798","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","10.0","4126.0","103.42","113.762","1539.96723097"
"2014.0","10.0","2.0","275.0","4126.0","0.52","1.1","0.0","4.2","1.1","4.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","11.0","4126.0","43.39","47.729","646.095321522"
"2014.0","10.0","3.0","276.0","4126.0","0.48","1.1","0.0","4.14","1.1","4.554","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2014.0","12.0","4126.0","32.08","35.288","477.684671916"
"2014.0","10.0","4.0","277.0","4126.0","0.45","1.1","0.0","4.18","1.1","4.598","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","1.0","4126.0","33.25","36.575","495.106463255"
"2014.0","10.0","5.0","278.0","4126.0","0.43","1.1","0.0","4.06","1.1","4.466","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","2.0","4126.0","56.91","62.601","847.413799213"
"2014.0","10.0","6.0","279.0","4126.0","0.41","1.1","0.0","4.12","1.1","4.532","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","3.0","4126.0","104.95","115.445","1562.74957349"
"2014.0","10.0","7.0","280.0","4126.0","0.39","1.1","0.0","4.25","1.1","4.675","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","4.0","4126.0","140.99","155.089","2099.4003084"
"2014.0","10.0","8.0","281.0","4126.0","0.37","1.1","0.0","4.81","1.1","5.291","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","5.0","4126.0","160.57","176.627","2390.95473097"
"2014.0","10.0","9.0","282.0","4126.0","0.35","1.1","0.0","4.33","1.1","4.763","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","6.0","4126.0","209.56","230.516","3120.4364042"
"2014.0","10.0","10.0","283.0","4126.0","0.34","1.1","0.0","3.77","1.1","4.147","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","7.0","4126.0","216.77","238.447","3227.79633202"
"2014.0","10.0","11.0","284.0","4126.0","0.33","1.1","0.0","3.53","1.1","3.883","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","8.0","4126.0","196.26","215.886","2922.3938189"
"2014.0","10.0","12.0","285.0","4126.0","0.32","1.1","0.0","6.72","1.1","7.392","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","9.0","4126.0","150.85","165.935","2246.21984908"
"2014.0","10.0","13.0","286.0","4126.0","0.31","1.1","0.0","4.16","1.1","4.576","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","4126.0","0.3","1.1","0.0","3.14","1.1","3.454","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","4126.0","0.3","1.1","0.0","2.28","1.1","2.508","1.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
