"DAUCo","commodity","Year","Mon","Day","DOY","Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC","YT","NA."
18507,"Alfalfa",2014,10,1,274,5168,0.08,0.9,0,5.56,0.9,5,0,0,0,0,101.61,122.64,569.98,284.99,468.37,447.33,0
18507,"Alfalfa",2014,10,2,275,5168,0.08,0.9,0,4.08,0.9,3.67,0,0,0,0,105.28,122.64,569.98,284.99,464.7,447.33,0
18507,"Alfalfa",2014,10,3,276,5168,0.08,0.9,0,4.13,0.9,3.72,0,0,0,0,109,122.64,569.98,284.99,460.98,447.33,0
18507,"Alfalfa",2014,10,4,277,5168,0.08,0.9,0,4.12,0.9,3.71,0,0,0,0,112.71,122.64,569.98,284.99,457.27,447.33,0
18507,"Alfalfa",2014,10,5,278,5168,0.08,0.9,0,3.97,0.9,3.57,0,0,0,0,116.28,122.64,569.98,284.99,453.7,447.33,0
18507,"Alfalfa",2014,10,6,279,5168,0.08,0.9,0,3.97,0.9,3.57,0,0,0,0,119.85,122.64,569.98,284.99,450.13,447.33,0
18507,"Alfalfa",2014,10,7,280,5168,0.08,0.9,0,4.08,0.9,3.67,0,0,0,0,0,122.64,569.98,284.99,569.98,447.33,123.52
18507,"Alfalfa",2014,10,8,281,5168,0.08,0.9,0,4.81,0.9,4.33,0,0,0,0,4.33,122.64,569.98,284.99,565.65,447.33,0
18507,"Alfalfa",2014,10,9,282,5168,0.08,0.9,0,4.12,0.9,3.71,0,0,0,0,8.04,122.64,569.98,284.99,561.94,447.33,0
18507,"Alfalfa",2014,10,10,283,5168,0.08,0.9,0,3.54,0.9,3.19,0,0,0,0,11.22,122.64,569.98,284.99,558.75,447.33,0
18507,"Alfalfa",2014,10,11,284,5168,0.08,0.9,0,3.45,0.9,3.11,0,0,0,0,14.33,122.64,569.98,284.99,555.65,447.33,0
18507,"Alfalfa",2014,10,12,285,5168,0.08,0.9,0,6.01,0.9,5.41,0,0,0,0,19.74,122.64,569.98,284.99,550.24,447.33,0
18507,"Alfalfa",2014,10,13,286,5168,0.08,0.9,0,3.98,0.9,3.58,0,0,0,0,23.32,122.64,569.98,284.99,546.66,447.33,0
18507,"Alfalfa",2014,10,14,287,5168,0.08,0.9,0,3.08,0.9,2.77,0,0,0,0,26.09,122.64,569.98,284.99,543.89,447.33,0
18507,"Alfalfa",2014,10,15,288,5168,0.08,0.9,0,2.4,0.9,2.16,0,0,0,0,28.25,122.64,569.98,284.99,541.73,447.33,0
18507,"Alfalfa",2014,10,16,289,5168,0.08,0.9,0,2.69,0.9,2.42,0,0,0,0,30.67,122.64,569.98,284.99,539.3,447.33,0
18507,"Alfalfa",2014,10,17,290,5168,0.08,0.9,0,2.49,0.9,2.24,0,0,0,0,32.91,122.64,569.98,284.99,537.06,447.33,0
18507,"Alfalfa",2014,10,18,291,5168,0.08,0.9,0,2.85,0.9,2.57,0,0,0,0,35.48,122.64,569.98,284.99,534.5,447.33,0
18507,"Alfalfa",2014,10,19,292,5168,0.08,0.9,0,2.85,0.9,2.57,0,0,0,0,38.04,122.64,569.98,284.99,531.93,447.33,0
18507,"Alfalfa",2014,10,20,293,5168,0.08,0.9,0,2.16,0.9,1.94,0,0,0,0,39.99,122.64,569.98,284.99,529.99,447.33,0
18507,"Alfalfa",2014,10,21,294,5168,0.08,0.9,0,2.66,0.9,2.39,0,0,0,0,42.38,122.64,569.98,284.99,527.6,447.33,0
18507,"Alfalfa",2014,10,22,295,5168,0.08,0.9,0,2.54,0.9,2.29,0,0,0,0,44.67,122.64,569.98,284.99,525.31,447.33,0
18507,"Alfalfa",2014,10,23,296,5168,0.08,0.9,0,2.49,0.9,2.24,0,0,0,0,46.91,122.64,569.98,284.99,523.07,447.33,0
18507,"Alfalfa",2014,10,24,297,5168,0.08,0.9,0,2.54,0.9,2.29,0,0,0,0,49.19,122.64,569.98,284.99,520.78,447.33,0
18507,"Alfalfa",2014,10,25,298,5168,0.08,0.9,0,2.22,0.9,2,0,0,0,0,51.19,122.64,569.98,284.99,518.78,447.33,0
18507,"Alfalfa",2014,10,26,299,5168,0.08,0.9,0,2.66,0.9,2.39,0.87,0.87,0,0,52.72,122.64,569.98,284.99,517.26,447.33,0
18507,"Alfalfa",2014,10,27,300,5168,0.08,0.9,0,2.48,0.9,2.23,0,0,0,0,54.95,122.64,569.98,284.99,515.03,447.33,0
18507,"Alfalfa",2014,10,28,301,5168,0.08,0.9,0,2.36,0.9,2.12,0,0,0,0,57.07,122.64,569.98,284.99,512.9,447.33,0
18507,"Alfalfa",2014,10,29,302,5168,0.08,0.9,0,2.44,0.9,2.2,0,0,0,0,59.27,122.64,569.98,284.99,510.71,447.33,0
