" Daily soil water balance output for Alfalfa in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Alfalfa in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","3064.15","0.09","0.9","0.0","3.46","0.9","3.11","1.26","1.26","0.0","0.0","23.75","120.45","569.98","284.99","546.23","449.53","0.0","","2015.0","10.0","3064.15","105.45","94.89","953.927800197"
"2015.0","10.0","2.0","275.0","3064.15","0.09","0.9","0.0","4.31","0.9","3.88","0.01","0.01","0.0","0.0","27.62","120.45","569.98","284.99","542.36","449.53","0.0","","2015.0","11.0","3064.15","47.37","49.83","500.940270669"
"2015.0","10.0","3.0","276.0","3064.15","0.09","0.9","0.0","4.3","0.9","3.87","0.0","0.0","0.0","0.0","31.49","120.45","569.98","284.99","538.49","449.53","0.0","","2015.0","12.0","3064.15","32.3","36.91","371.055697178"
"2015.0","10.0","4.0","277.0","3064.15","0.08","0.9","0.0","3.53","0.9","3.18","0.23","0.23","0.0","0.0","34.44","120.45","569.98","284.99","535.54","449.53","0.0","","2016.0","1.0","3064.15","33.38","38.92","391.262198163"
"2015.0","10.0","5.0","278.0","3064.15","0.08","0.9","0.0","3.35","0.9","3.02","0.0","0.0","0.0","0.0","37.45","120.45","569.98","284.99","532.52","449.53","0.0","","2016.0","2.0","3064.15","59.73","56.99","572.91964731"
"2015.0","10.0","6.0","279.0","3064.15","0.08","0.9","0.0","3.36","0.9","3.02","0.0","0.0","0.0","0.0","40.48","120.45","569.98","284.99","529.5","449.53","0.0","","2016.0","3.0","3064.15","81.77","78.7","791.169963911"
"2015.0","10.0","7.0","280.0","3064.15","0.08","0.9","0.0","3.38","0.9","3.04","0.0","0.0","0.0","0.0","43.52","120.45","569.98","284.99","526.46","449.53","0.0","","2016.0","4.0","3064.15","127.51","116.52","1171.37387795"
"2015.0","10.0","8.0","281.0","3064.15","0.08","0.9","0.0","3.48","0.9","3.13","0.0","0.0","0.0","0.0","46.65","120.45","569.98","284.99","523.33","449.53","0.0","","2016.0","5.0","3064.15","157.74","143.15","1439.08488353"
"2015.0","10.0","9.0","282.0","3064.15","0.08","0.9","0.0","4.25","0.9","3.83","0.0","0.0","0.0","0.0","50.48","120.45","569.98","284.99","519.5","449.53","0.0","","2016.0","6.0","3064.15","200.31","180.28","1812.35223753"
"2015.0","10.0","10.0","283.0","3064.15","0.08","0.9","0.0","4.01","0.9","3.61","0.0","0.0","0.0","0.0","54.08","120.45","569.98","284.99","515.89","449.53","0.0","","2016.0","7.0","3064.15","209.1","188.21","1892.07241306"
"2015.0","10.0","11.0","284.0","3064.15","0.08","0.9","0.0","3.66","0.9","3.29","0.0","0.0","0.0","0.0","57.38","120.45","569.98","284.99","512.6","449.53","0.0","","2016.0","8.0","3064.15","184.75","166.3","1671.81149934"
"2015.0","10.0","12.0","285.0","3064.15","0.08","0.9","0.0","3.68","0.9","3.31","0.0","0.0","0.0","0.0","60.69","120.45","569.98","284.99","509.29","449.53","0.0","","2016.0","9.0","3064.15","138.71","124.86","1255.21577756"
"2015.0","10.0","13.0","286.0","3064.15","0.08","0.9","0.0","4.1","0.9","3.69","0.0","0.0","0.0","0.0","64.38","120.45","569.98","284.99","505.6","449.53","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","3064.15","0.08","0.9","0.0","4.19","0.9","3.77","0.0","0.0","0.0","0.0","68.15","120.45","569.98","284.99","501.83","449.53","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","3064.15","0.08","0.9","0.0","3.65","0.9","3.29","0.0","0.0","0.0","0.0","71.44","120.45","569.98","284.99","498.54","449.53","0.0","","","","","","",""
