" Daily soil water balance output for Alfalfa in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Alfalfa in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","8811.94","0.08","0.9","0.0","3.68","0.9","3.31","0.46","0.46","0.0","0.0","39.39","124.14","601.67","300.83","562.28","477.53","0.0","","2015.0","10.0","8811.94","108.61","97.75","2826.00766076"
"2015.0","10.0","2.0","275.0","8811.94","0.08","0.9","0.0","4.58","0.9","4.12","0.02","0.02","0.0","0.0","43.49","124.14","601.67","300.83","558.18","477.53","0.0","","2015.0","11.0","8811.94","47.16","49.64","1435.12041207"
"2015.0","10.0","3.0","276.0","8811.94","0.08","0.9","0.0","4.53","0.9","4.08","0.0","0.0","0.0","0.0","47.57","124.14","601.67","300.83","554.1","477.53","0.0","","2015.0","12.0","8811.94","31.9","36.33","1050.32080118"
"2015.0","10.0","4.0","277.0","8811.94","0.08","0.9","0.0","3.67","0.9","3.3","0.82","0.82","0.0","0.0","50.05","124.14","601.67","300.83","551.62","477.53","0.0","","2016.0","1.0","8811.94","33.72","38.94","1125.77737402"
"2015.0","10.0","5.0","278.0","8811.94","0.08","0.9","0.0","3.44","0.9","3.1","0.0","0.0","0.0","0.0","53.15","124.14","601.67","300.83","548.52","477.53","0.0","","2016.0","2.0","8811.94","60.04","56.7","1639.22899606"
"2015.0","10.0","6.0","279.0","8811.94","0.08","0.9","0.0","3.48","0.9","3.13","0.0","0.0","0.0","0.0","56.28","124.14","601.67","300.83","545.39","477.53","0.0","","2016.0","3.0","8811.94","82.15","78.85","2279.59799541"
"2015.0","10.0","7.0","280.0","8811.94","0.08","0.9","0.0","3.38","0.9","3.04","0.0","0.0","0.0","0.0","59.32","124.14","601.67","300.83","542.35","477.53","0.0","","2016.0","4.0","8811.94","130.95","120.69","3489.21600591"
"2015.0","10.0","8.0","281.0","8811.94","0.08","0.9","0.0","3.47","0.9","3.12","0.0","0.0","0.0","0.0","62.45","124.14","601.67","300.83","539.22","477.53","0.0","","2016.0","5.0","8811.94","164.12","147.74","4271.24677034"
"2015.0","10.0","9.0","282.0","8811.94","0.08","0.9","0.0","4.25","0.9","3.83","0.0","0.0","0.0","0.0","66.27","124.14","601.67","300.83","535.4","477.53","0.0","","2016.0","6.0","8811.94","207.59","186.85","5401.93894029"
"2015.0","10.0","10.0","283.0","8811.94","0.08","0.9","0.0","4.21","0.9","3.79","0.0","0.0","0.0","0.0","70.06","124.14","601.67","300.83","531.61","477.53","0.0","","2016.0","7.0","8811.94","220.88","198.82","5747.99839501"
"2015.0","10.0","11.0","284.0","8811.94","0.08","0.9","0.0","3.76","0.9","3.38","0.0","0.0","0.0","0.0","73.45","124.14","601.67","300.83","528.22","477.53","0.0","","2016.0","8.0","8811.94","195.62","176.06","5089.99395144"
"2015.0","10.0","12.0","285.0","8811.94","0.08","0.9","0.0","3.79","0.9","3.41","0.0","0.0","0.0","0.0","76.86","124.14","601.67","300.83","524.81","477.53","0.0","","2016.0","9.0","8811.94","143.85","129.48","3743.33986614"
"2015.0","10.0","13.0","286.0","8811.94","0.08","0.9","0.0","4.16","0.9","3.74","0.0","0.0","0.0","0.0","80.6","124.14","601.67","300.83","521.07","477.53","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","8811.94","0.08","0.9","0.0","4.3","0.9","3.87","0.0","0.0","0.0","0.0","84.47","124.14","601.67","300.83","517.2","477.53","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","8811.94","0.08","0.9","0.0","3.77","0.9","3.39","0.0","0.0","0.0","0.0","87.86","124.14","601.67","300.83","513.81","477.53","0.0","","","","","","",""
