" Daily soil water balance output for Almonds in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Almond in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","104.75","0.08","1.15","0.0","3.68","1.15","4.23","0.46","0.46","0.0","0.0","6.14","150.42","601.67","300.83","595.53","451.25","0.0","","2015.0","10.0","104.75","108.61","107.33","36.8858841864"
"2015.0","10.0","2.0","275.0","104.75","0.08","1.15","0.0","4.58","1.15","5.27","0.02","0.02","0.0","0.0","11.39","150.42","601.67","300.83","590.28","451.25","0.0","","2015.0","11.0","104.75","47.16","48.51","16.6713336614"
"2015.0","10.0","3.0","276.0","104.75","0.08","1.15","0.0","4.53","1.15","5.21","0.0","0.0","0.0","0.0","16.6","150.42","601.67","300.83","585.07","451.25","0.0","","2015.0","12.0","104.75","31.9","36.1","12.406414042"
"2015.0","10.0","4.0","277.0","104.75","0.08","1.15","0.0","3.67","1.15","4.22","0.82","0.82","0.0","0.0","20.0","150.42","601.67","300.83","581.67","451.25","0.0","","2016.0","1.0","104.75","33.72","38.94","13.3824311024"
"2015.0","10.0","5.0","278.0","104.75","0.08","1.15","0.0","3.44","1.15","3.96","0.0","0.0","0.0","0.0","23.95","150.42","601.67","300.83","577.72","451.25","0.0","","2016.0","2.0","104.75","60.04","44.42","15.2657316273"
"2015.0","10.0","6.0","279.0","104.75","0.08","1.15","0.0","3.48","1.15","4.0","0.0","0.0","0.0","0.0","27.96","150.42","601.67","300.83","573.71","451.25","0.0","","2016.0","3.0","104.75","82.15","60.74","20.8743930446"
"2015.0","10.0","7.0","280.0","104.75","0.08","1.15","0.0","3.38","1.15","3.89","0.0","0.0","0.0","0.0","31.84","150.42","601.67","300.83","569.83","451.25","0.0","","2016.0","4.0","104.75","130.95","99.16","34.0781167979"
"2015.0","10.0","8.0","281.0","104.75","0.08","1.15","0.0","3.47","1.15","3.99","0.0","0.0","0.0","0.0","35.83","150.42","601.67","300.83","565.84","451.25","0.0","","2016.0","5.0","104.75","164.12","141.42","48.6015255906"
"2015.0","10.0","9.0","282.0","104.75","0.08","1.15","0.0","4.25","1.15","4.89","0.0","0.0","0.0","0.0","40.72","150.42","601.67","300.83","560.95","451.25","0.0","","2016.0","6.0","104.75","207.59","211.96","72.8438648294"
"2015.0","10.0","10.0","283.0","104.75","0.08","1.13","0.0","4.21","1.13","4.75","0.0","0.0","0.0","0.0","45.47","150.42","601.67","300.83","556.2","451.25","0.0","","2016.0","7.0","104.75","220.88","252.31","86.7108677822"
"2015.0","10.0","11.0","284.0","104.75","0.08","1.11","0.0","3.76","1.11","4.16","0.0","0.0","0.0","0.0","49.63","150.42","601.67","300.83","552.04","451.25","0.0","","2016.0","8.0","104.75","195.62","224.96","77.3115485564"
"2015.0","10.0","12.0","285.0","104.75","0.08","1.08","0.0","3.79","1.08","4.11","0.0","0.0","0.0","0.0","53.74","150.42","601.67","300.83","547.93","451.25","0.0","","2016.0","9.0","104.75","143.85","165.44","56.8564304462"
"2015.0","10.0","13.0","286.0","104.75","0.08","1.06","0.0","4.16","1.06","4.42","0.0","0.0","0.0","0.0","58.17","150.42","601.67","300.83","543.5","451.25","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","104.75","0.08","1.04","0.0","4.3","1.04","4.48","0.0","0.0","0.0","0.0","62.64","150.42","601.67","300.83","539.03","451.25","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","104.75","0.08","1.02","0.0","3.77","1.02","3.84","0.0","0.0","0.0","0.0","66.49","150.42","601.67","300.83","535.18","451.25","0.0","","","","","","",""
