" Daily soil water balance output for Almonds in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Almonds at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","717.22","0.09","1.15","0.0","3.46","1.15","3.98","2.43","2.43","0.0","0.0","124.54","124.64","498.58","249.29","374.04","373.93","0.0","","2015.0","10.0","717.22","105.07","106.4","250.368136483"
"2015.0","10.0","2.0","275.0","717.22","0.09","1.15","0.0","4.19","1.15","4.82","0.0","0.0","0.0","0.0","0.0","124.64","498.58","249.29","498.58","373.93","129.36","","2015.0","11.0","717.22","47.51","48.42","113.936326772"
"2015.0","10.0","3.0","276.0","717.22","0.09","1.15","0.0","4.26","1.15","4.9","0.0","0.0","0.0","0.0","4.9","124.64","498.58","249.29","493.68","373.93","0.0","","2015.0","12.0","717.22","32.91","37.24","87.628847769"
"2015.0","10.0","4.0","277.0","717.22","0.09","1.15","0.0","3.51","1.15","4.04","0.0","0.0","0.0","0.0","8.94","124.64","498.58","249.29","489.64","373.93","0.0","","2016.0","1.0","717.22","33.63","39.11","92.0291148294"
"2015.0","10.0","5.0","278.0","717.22","0.09","1.15","0.0","3.33","1.15","3.83","0.0","0.0","0.0","0.0","12.77","124.64","498.58","249.29","485.81","373.93","0.0","","2016.0","2.0","717.22","60.32","43.49","102.335622703"
"2015.0","10.0","6.0","279.0","717.22","0.09","1.15","0.0","3.33","1.15","3.83","0.0","0.0","0.0","0.0","16.59","124.64","498.58","249.29","481.99","373.93","0.0","","2016.0","3.0","717.22","82.48","56.0","131.772703412"
"2015.0","10.0","7.0","280.0","717.22","0.09","1.15","0.0","3.41","1.15","3.92","0.0","0.0","0.0","0.0","20.52","124.64","498.58","249.29","478.06","373.93","0.0","","2016.0","4.0","717.22","126.41","75.83","178.434358924"
"2015.0","10.0","8.0","281.0","717.22","0.09","1.15","0.0","3.55","1.15","4.08","0.0","0.0","0.0","0.0","24.6","124.64","498.58","249.29","473.98","373.93","0.0","","2016.0","5.0","717.22","157.45","120.17","282.770103018"
"2015.0","10.0","9.0","282.0","717.22","0.09","1.15","0.0","4.28","1.15","4.92","0.0","0.0","0.0","0.0","29.52","124.64","498.58","249.29","469.06","373.93","0.0","","2016.0","6.0","717.22","198.28","182.67","429.837852362"
"2015.0","10.0","10.0","283.0","717.22","0.09","1.15","0.0","3.98","1.15","4.58","0.0","0.0","0.0","0.0","34.1","124.64","498.58","249.29","464.48","373.93","0.0","","2016.0","7.0","717.22","205.37","225.46","530.526316273"
"2015.0","10.0","11.0","284.0","717.22","0.09","1.15","0.0","3.67","1.15","4.22","0.0","0.0","0.0","0.0","38.32","124.64","498.58","249.29","460.26","373.93","0.0","","2016.0","8.0","717.22","181.4","208.63","490.92391273"
"2015.0","10.0","12.0","285.0","717.22","0.09","1.15","0.0","3.66","1.15","4.21","0.0","0.0","0.0","0.0","42.53","124.64","498.58","249.29","456.05","373.93","0.0","","2016.0","9.0","717.22","136.5","156.99","369.410655512"
"2015.0","10.0","13.0","286.0","717.22","0.09","1.13","0.0","4.12","1.13","4.64","0.0","0.0","0.0","0.0","47.16","124.64","498.58","249.29","451.42","373.93","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","717.22","0.09","1.1","0.0","4.14","1.1","4.55","0.0","0.0","0.0","0.0","51.72","124.64","498.58","249.29","446.86","373.93","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","717.22","0.09","1.08","0.0","3.64","1.08","3.91","0.0","0.0","0.0","0.0","55.63","124.64","498.58","249.29","442.95","373.93","0.0","","","","","","",""
