" Daily soil water balance output for Almonds in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Almonds in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","11119.95","0.08","1.01","0.0","3.59","1.01","3.62","2.27","2.27","0.0","0.0","64.0","148.36","593.45","296.72","529.45","445.08","0.0","","2015.0","10.0","11119.95","108.2","55.1","2010.20093504"
"2015.0","10.0","2.0","275.0","11119.95","0.08","0.98","0.0","4.41","0.98","4.34","0.36","0.36","0.0","0.0","67.98","148.36","593.45","296.72","525.47","445.08","0.0","","2015.0","11.0","11119.95","47.2","46.86","1709.58286417"
"2015.0","10.0","3.0","276.0","11119.95","0.08","0.96","0.0","4.46","0.96","4.28","0.0","0.0","0.0","0.0","72.26","148.36","593.45","296.72","521.19","445.08","0.0","","2015.0","12.0","11119.95","32.8","37.22","1357.88890748"
"2015.0","10.0","4.0","277.0","11119.95","0.08","0.94","0.0","3.55","0.94","3.32","0.41","0.41","0.0","0.0","75.17","148.36","593.45","296.72","518.28","445.08","0.0","","2016.0","1.0","11119.95","34.3","39.6","1444.71791339"
"2015.0","10.0","5.0","278.0","11119.95","0.08","0.91","0.0","3.41","0.91","3.11","0.0","0.0","0.0","0.0","78.28","148.36","593.45","296.72","515.17","445.08","0.0","","2016.0","2.0","11119.95","60.9","43.74","1595.75660433"
"2015.0","10.0","6.0","279.0","11119.95","0.08","0.89","0.0","3.44","0.89","3.06","0.0","0.0","0.0","0.0","81.33","148.36","593.45","296.72","512.11","445.08","0.0","","2016.0","3.0","11119.95","83.8","63.06","2300.60382874"
"2015.0","10.0","7.0","280.0","11119.95","0.08","0.86","0.0","3.44","0.86","2.97","0.0","0.0","0.0","0.0","84.3","148.36","593.45","296.72","509.14","445.08","0.0","","2016.0","4.0","11119.95","130.55","101.21","3692.42171752"
"2015.0","10.0","8.0","281.0","11119.95","0.08","0.84","0.0","3.53","0.84","2.97","0.0","0.0","0.0","0.0","87.27","148.36","593.45","296.72","506.17","445.08","0.0","","2016.0","5.0","11119.95","164.12","149.94","5470.22737205"
"2015.0","10.0","9.0","282.0","11119.95","0.08","0.82","0.0","4.37","0.82","3.57","0.0","0.0","0.0","0.0","90.84","148.36","593.45","296.72","502.61","445.08","0.0","","2016.0","6.0","11119.95","209.37","224.21","8179.80311516"
"2015.0","10.0","10.0","283.0","11119.95","0.08","0.79","0.0","4.22","0.79","3.35","0.0","0.0","0.0","0.0","94.19","148.36","593.45","296.72","499.26","445.08","0.0","","2016.0","7.0","11119.95","219.93","252.92","9227.22360236"
"2015.0","10.0","11.0","284.0","11119.95","0.08","0.77","0.0","3.82","0.77","2.94","0.0","0.0","0.0","0.0","97.12","148.36","593.45","296.72","496.32","445.08","0.0","","2016.0","8.0","11119.95","194.47","223.64","8159.00793307"
"2015.0","10.0","12.0","285.0","11119.95","0.08","0.75","0.0","3.76","0.75","2.8","0.0","0.0","0.0","0.0","99.93","148.36","593.45","296.72","493.52","445.08","0.0","","2016.0","9.0","11119.95","143.12","162.92","5943.77379921"
"2015.0","10.0","13.0","286.0","11119.95","0.08","0.72","0.0","4.18","0.72","3.02","0.0","0.0","0.0","0.0","102.94","148.36","593.45","296.72","490.5","445.08","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","11119.95","0.08","0.7","0.0","4.25","0.7","2.96","0.0","0.0","0.0","0.0","105.91","148.36","593.45","296.72","487.54","445.08","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","11119.95","0.08","0.67","0.0","3.81","0.67","2.57","0.0","0.0","0.0","0.0","108.47","148.36","593.45","296.72","484.97","445.08","0.0","","","","","","",""
