" Daily soil water balance output for Almonds in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Almond in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","46.04","0.08","1.15","0.0","3.76","1.15","4.32","0.31","0.31","0.0","0.0","92.3","123.63","494.54","247.27","402.24","370.9","0.0","","2015.0","10.0","46.04","109.58","108.24","16.3496377953"
"2015.0","10.0","2.0","275.0","46.04","0.08","1.15","0.0","4.74","1.15","5.45","0.0","0.0","0.0","0.0","97.75","123.63","494.54","247.27","396.79","370.9","0.0","","2015.0","11.0","46.04","47.12","44.62","6.73984514436"
"2015.0","10.0","3.0","276.0","46.04","0.08","1.15","0.0","4.63","1.15","5.32","0.0","0.0","0.0","0.0","103.08","123.63","494.54","247.27","391.46","370.9","0.0","","2015.0","12.0","46.04","31.38","33.9","5.12059055118"
"2015.0","10.0","4.0","277.0","46.04","0.08","1.15","0.0","3.8","1.15","4.37","2.04","2.04","0.0","0.0","105.41","123.63","494.54","247.27","389.13","370.9","0.0","","2016.0","1.0","46.04","33.5","37.43","5.65379658793"
"2015.0","10.0","5.0","278.0","46.04","0.08","1.15","0.0","3.49","1.15","4.01","0.0","0.0","0.0","0.0","109.42","123.63","494.54","247.27","385.12","370.9","0.0","","2016.0","2.0","46.04","59.83","44.27","6.68697769029"
"2015.0","10.0","6.0","279.0","46.04","0.08","1.15","0.0","3.52","1.15","4.05","0.0","0.0","0.0","0.0","113.47","123.63","494.54","247.27","381.07","370.9","0.0","","2016.0","3.0","46.04","81.79","60.43","9.12794356955"
"2015.0","10.0","7.0","280.0","46.04","0.08","1.15","0.0","3.34","1.15","3.84","0.0","0.0","0.0","0.0","117.31","123.63","494.54","247.27","377.23","370.9","0.0","","2016.0","4.0","46.04","131.53","97.36","14.7062152231"
"2015.0","10.0","8.0","281.0","46.04","0.08","1.15","0.0","3.43","1.15","3.94","0.0","0.0","0.0","0.0","121.25","123.63","494.54","247.27","373.29","370.9","0.0","","2016.0","5.0","46.04","165.62","142.7","21.554816273"
"2015.0","10.0","9.0","282.0","46.04","0.08","1.15","0.0","4.18","1.15","4.81","0.0","0.0","0.0","0.0","0.0","123.63","494.54","247.27","494.54","370.9","126.06","","2016.0","6.0","46.04","206.91","211.25","31.9092847769"
"2015.0","10.0","10.0","283.0","46.04","0.08","1.13","0.0","4.26","1.13","4.81","0.0","0.0","0.0","0.0","4.81","123.63","494.54","247.27","489.73","370.9","0.0","","2016.0","7.0","46.04","222.8","254.52","38.4452125984"
"2015.0","10.0","11.0","284.0","46.04","0.08","1.11","0.0","3.74","1.11","4.14","0.0","0.0","0.0","0.0","8.94","123.63","494.54","247.27","485.59","370.9","0.0","","2016.0","8.0","46.04","197.3","226.91","34.2747257218"
"2015.0","10.0","12.0","285.0","46.04","0.08","1.08","0.0","3.84","1.08","4.17","0.0","0.0","0.0","0.0","13.11","123.63","494.54","247.27","481.43","370.9","0.0","","2016.0","9.0","46.04","144.78","166.49","25.1482926509"
"2015.0","10.0","13.0","286.0","46.04","0.08","1.06","0.0","4.14","1.06","4.4","0.0","0.0","0.0","0.0","17.51","123.63","494.54","247.27","477.03","370.9","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","46.04","0.08","1.04","0.0","4.29","1.04","4.47","0.0","0.0","0.0","0.0","21.98","123.63","494.54","247.27","472.56","370.9","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","46.04","0.08","1.02","0.0","3.77","1.02","3.84","0.0","0.0","0.0","0.0","25.82","123.63","494.54","247.27","468.72","370.9","0.0","","","","","","",""
