" Daily soil water balance output for Bush_berries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Bush_berries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","21.35","0.08","0.5","0.0","3.68","0.5","1.84","0.46","0.46","0.0","0.0","61.28","81.09","324.37","162.18","263.09","243.28","0.0","","2015.0","10.0","21.35","108.61","10.35","0.724975393701"
"2015.0","10.0","2.0","275.0","21.35","0.08","0.0","0.0","4.58","0.08","0.38","0.02","0.02","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","2015.0","11.0","21.35","47.16","47.36","3.31737532808"
"2015.0","10.0","3.0","276.0","21.35","0.08","0.0","0.0","4.53","0.08","0.37","0.0","0.0","0.0","0.0","23.17","22.8","324.37","162.18","301.19","301.57","0.0","","2015.0","12.0","21.35","31.9","36.1","2.52865813648"
"2015.0","10.0","4.0","277.0","21.35","0.08","0.0","0.0","3.67","0.08","0.3","0.82","0.82","0.0","0.0","22.35","22.8","324.37","162.18","302.01","301.57","0.0","","2016.0","1.0","21.35","33.72","38.94","2.72758858268"
"2015.0","10.0","5.0","278.0","21.35","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","22.64","22.8","324.37","162.18","301.73","301.57","0.0","","2016.0","2.0","21.35","60.04","44.42","3.11144028871"
"2015.0","10.0","6.0","279.0","21.35","0.08","0.0","0.0","3.48","0.08","0.29","0.0","0.0","0.0","0.0","22.93","22.8","324.37","162.18","301.44","301.57","0.0","","2016.0","3.0","21.35","82.15","55.08","3.85812992126"
"2015.0","10.0","7.0","280.0","21.35","0.08","0.0","0.0","3.38","0.08","0.28","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","2016.0","4.0","21.35","130.95","75.35","5.27796095801"
"2015.0","10.0","8.0","281.0","21.35","0.08","0.0","0.0","3.47","0.08","0.29","0.0","0.0","0.0","0.0","23.09","22.8","324.37","162.18","301.28","301.57","0.0","","2016.0","5.0","21.35","164.12","54.9","3.84552165354"
"2015.0","10.0","9.0","282.0","21.35","0.08","0.0","0.0","4.25","0.08","0.35","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","2016.0","6.0","21.35","207.59","149.47","10.4697654199"
"2015.0","10.0","10.0","283.0","21.35","0.08","0.0","0.0","4.21","0.08","0.34","0.0","0.0","0.0","0.0","23.14","22.8","324.37","162.18","301.22","301.57","0.0","","2016.0","7.0","21.35","220.88","231.92","16.2450524934"
"2015.0","10.0","11.0","284.0","21.35","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","2016.0","8.0","21.35","195.62","200.19","14.0224950787"
"2015.0","10.0","12.0","285.0","21.35","0.08","0.0","0.0","3.79","0.08","0.31","0.0","0.0","0.0","0.0","23.11","22.8","324.37","162.18","301.26","301.57","0.0","","2016.0","9.0","21.35","143.85","101.44","7.10545931759"
"2015.0","10.0","13.0","286.0","21.35","0.08","0.0","0.0","4.16","0.08","0.34","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","21.35","0.08","0.0","0.0","4.3","0.08","0.35","0.0","0.0","0.0","0.0","23.15","22.8","324.37","162.18","301.22","301.57","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","21.35","0.08","0.0","0.0","3.77","0.08","0.31","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
