" Daily soil water balance output for Cherries in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Cherries in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","870.67","0.09","1.05","0.0","3.46","1.05","3.63","1.26","1.26","0.0","0.0","109.2","118.65","474.62","237.31","365.42","355.96","0.0","","2015.0","10.0","870.67","105.45","101.76","290.680377953"
"2015.0","10.0","2.0","275.0","870.67","0.09","1.05","0.0","4.31","1.05","4.53","0.01","0.01","0.0","0.0","113.72","118.65","474.62","237.31","360.9","355.96","0.0","","2015.0","11.0","870.67","47.37","48.6","138.82730315"
"2015.0","10.0","3.0","276.0","870.67","0.09","1.05","0.0","4.3","1.05","4.51","0.0","0.0","0.0","0.0","118.23","118.65","474.62","237.31","356.39","355.96","0.0","","2015.0","12.0","870.67","32.3","36.69","104.806044291"
"2015.0","10.0","4.0","277.0","870.67","0.08","1.05","0.0","3.53","1.05","3.71","0.23","0.23","0.0","0.0","0.0","118.65","474.62","237.31","474.62","355.96","121.71","","2016.0","1.0","870.67","33.38","38.92","111.176103675"
"2015.0","10.0","5.0","278.0","870.67","0.08","1.05","0.0","3.35","1.05","3.52","0.0","0.0","0.0","0.0","3.52","118.65","474.62","237.31","471.1","355.96","0.0","","2016.0","2.0","870.67","59.73","46.02","131.457458661"
"2015.0","10.0","6.0","279.0","870.67","0.08","1.05","0.0","3.36","1.05","3.53","0.0","0.0","0.0","0.0","7.05","118.65","474.62","237.31","467.57","355.96","0.0","","2016.0","3.0","870.67","81.77","55.41","158.280264764"
"2015.0","10.0","7.0","280.0","870.67","0.08","1.05","0.0","3.38","1.05","3.55","0.0","0.0","0.0","0.0","10.59","118.65","474.62","237.31","464.02","355.96","0.0","","2016.0","4.0","870.67","127.51","72.81","207.983867126"
"2015.0","10.0","8.0","281.0","870.67","0.08","1.05","0.0","3.48","1.05","3.65","0.0","0.0","0.0","0.0","14.25","118.65","474.62","237.31","460.37","355.96","0.0","","2016.0","5.0","870.67","157.74","123.12","351.695834646"
"2015.0","10.0","9.0","282.0","870.67","0.08","1.04","0.0","4.25","1.04","4.42","0.0","0.0","0.0","0.0","18.67","118.65","474.62","237.31","455.95","355.96","0.0","","2016.0","6.0","870.67","200.31","191.81","547.910802822"
"2015.0","10.0","10.0","283.0","870.67","0.08","1.03","0.0","4.01","1.03","4.13","0.0","0.0","0.0","0.0","22.79","118.65","474.62","237.31","451.82","355.96","0.0","","2016.0","7.0","870.67","209.1","219.59","627.265174869"
"2015.0","10.0","11.0","284.0","870.67","0.08","1.02","0.0","3.66","1.02","3.73","0.0","0.0","0.0","0.0","26.52","118.65","474.62","237.31","448.1","355.96","0.0","","2016.0","8.0","870.67","184.75","194.0","554.16660105"
"2015.0","10.0","12.0","285.0","870.67","0.08","1.01","0.0","3.68","1.01","3.71","0.0","0.0","0.0","0.0","30.23","118.65","474.62","237.31","444.39","355.96","0.0","","2016.0","9.0","870.67","138.71","145.65","416.053430118"
"2015.0","10.0","13.0","286.0","870.67","0.08","1.0","0.0","4.1","1.0","4.09","0.0","0.0","0.0","0.0","34.32","118.65","474.62","237.31","440.29","355.96","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","870.67","0.08","0.99","0.0","4.19","0.99","4.14","0.0","0.0","0.0","0.0","38.46","118.65","474.62","237.31","436.16","355.96","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","870.67","0.08","0.98","0.0","3.65","0.98","3.57","0.0","0.0","0.0","0.0","42.03","118.65","474.62","237.31","432.59","355.96","0.0","","","","","","",""
