" Daily soil water balance output for Cherries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Cherries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","1267.65","0.08","1.05","0.0","3.68","1.05","3.86","0.46","0.46","0.0","0.0","107.76","123.07","492.27","246.14","384.51","369.21","0.0","","2015.0","10.0","1267.65","108.61","104.76","435.69230315"
"2015.0","10.0","2.0","275.0","1267.65","0.08","1.05","0.0","4.58","1.05","4.81","0.02","0.02","0.0","0.0","112.55","123.07","492.27","246.14","379.72","369.21","0.0","","2015.0","11.0","1267.65","47.16","48.81","202.998676181"
"2015.0","10.0","3.0","276.0","1267.65","0.08","1.05","0.0","4.53","1.05","4.76","0.0","0.0","0.0","0.0","117.31","123.07","492.27","246.14","374.97","369.21","0.0","","2015.0","12.0","1267.65","31.9","36.1","150.138336614"
"2015.0","10.0","4.0","277.0","1267.65","0.08","1.05","0.0","3.67","1.05","3.85","0.82","0.82","0.0","0.0","120.34","123.07","492.27","246.14","371.93","369.21","0.0","","2016.0","1.0","1267.65","33.72","38.94","161.949773622"
"2015.0","10.0","5.0","278.0","1267.65","0.08","1.05","0.0","3.44","1.05","3.61","0.0","0.0","0.0","0.0","0.0","123.07","492.27","246.14","492.27","369.21","123.95","","2016.0","2.0","1267.65","60.04","44.42","184.740856299"
"2015.0","10.0","6.0","279.0","1267.65","0.08","1.05","0.0","3.48","1.05","3.65","0.0","0.0","0.0","0.0","3.65","123.07","492.27","246.14","488.62","369.21","0.0","","2016.0","3.0","1267.65","82.15","55.08","229.075334646"
"2015.0","10.0","7.0","280.0","1267.65","0.08","1.05","0.0","3.38","1.05","3.55","0.0","0.0","0.0","0.0","7.2","123.07","492.27","246.14","485.07","369.21","0.0","","2016.0","4.0","1267.65","130.95","80.56","335.045551181"
"2015.0","10.0","8.0","281.0","1267.65","0.08","1.05","0.0","3.47","1.05","3.64","0.0","0.0","0.0","0.0","10.85","123.07","492.27","246.14","481.43","369.21","0.0","","2016.0","5.0","1267.65","164.12","124.4","517.374212598"
"2015.0","10.0","9.0","282.0","1267.65","0.08","1.04","0.0","4.25","1.04","4.42","0.0","0.0","0.0","0.0","15.26","123.07","492.27","246.14","477.01","369.21","0.0","","2016.0","6.0","1267.65","207.59","198.48","825.469724409"
"2015.0","10.0","10.0","283.0","1267.65","0.08","1.03","0.0","4.21","1.03","4.33","0.0","0.0","0.0","0.0","19.6","123.07","492.27","246.14","472.68","369.21","0.0","","2016.0","7.0","1267.65","220.88","231.92","964.54523622"
"2015.0","10.0","11.0","284.0","1267.65","0.08","1.02","0.0","3.76","1.02","3.83","0.0","0.0","0.0","0.0","23.43","123.07","492.27","246.14","468.85","369.21","0.0","","2016.0","8.0","1267.65","195.62","205.38","854.166525591"
"2015.0","10.0","12.0","285.0","1267.65","0.08","1.01","0.0","3.79","1.01","3.82","0.0","0.0","0.0","0.0","27.25","123.07","492.27","246.14","465.03","369.21","0.0","","2016.0","9.0","1267.65","143.85","151.04","628.168818898"
"2015.0","10.0","13.0","286.0","1267.65","0.08","1.0","0.0","4.16","1.0","4.15","0.0","0.0","0.0","0.0","31.4","123.07","492.27","246.14","460.87","369.21","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","1267.65","0.08","0.99","0.0","4.3","0.99","4.25","0.0","0.0","0.0","0.0","35.65","123.07","492.27","246.14","456.63","369.21","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","1267.65","0.08","0.98","0.0","3.77","0.98","3.68","0.0","0.0","0.0","0.0","39.33","123.07","492.27","246.14","452.94","369.21","0.0","","","","","","",""
