" Daily soil water balance output for Citrus in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Citrus in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","3.11","0.09","0.7","0.0","3.46","0.7","2.42","1.26","1.26","0.0","0.0","1.16","85.15","373.08","186.54","371.91","287.92","0.0","","2015.0","10.0","3.11","105.45","73.86","0.753624015748"
"2015.0","10.0","2.0","275.0","3.11","0.09","0.7","0.0","4.31","0.7","3.02","0.01","0.01","0.0","0.0","4.17","85.15","373.08","186.54","368.91","287.92","0.0","","2015.0","11.0","3.11","47.37","48.38","0.493641076115"
"2015.0","10.0","3.0","276.0","3.11","0.09","0.7","0.0","4.3","0.7","3.01","0.0","0.0","0.0","0.0","7.18","85.15","373.08","186.54","365.9","287.92","0.0","","2015.0","12.0","3.11","32.3","36.69","0.374363188976"
"2015.0","10.0","4.0","277.0","3.11","0.08","0.7","0.0","3.53","0.7","2.47","0.23","0.23","0.0","0.0","9.42","85.15","373.08","186.54","363.66","287.92","0.0","","2016.0","1.0","3.11","33.38","38.92","0.3971167979"
"2015.0","10.0","5.0","278.0","3.11","0.08","0.7","0.0","3.35","0.7","2.35","0.0","0.0","0.0","0.0","11.77","85.15","373.08","186.54","361.31","287.92","0.0","","2016.0","2.0","3.11","59.73","49.62","0.506293307087"
"2015.0","10.0","6.0","279.0","3.11","0.08","0.7","0.0","3.36","0.7","2.35","0.0","0.0","0.0","0.0","14.12","85.15","373.08","186.54","358.96","287.92","0.0","","2016.0","3.0","3.11","81.77","67.42","0.687914041995"
"2015.0","10.0","7.0","280.0","3.11","0.08","0.7","0.0","3.38","0.7","2.37","0.0","0.0","0.0","0.0","16.48","85.15","373.08","186.54","356.59","287.92","0.0","","2016.0","4.0","3.11","127.51","93.27","0.951672244094"
"2015.0","10.0","8.0","281.0","3.11","0.08","0.7","0.0","3.48","0.7","2.44","0.0","0.0","0.0","0.0","18.92","85.15","373.08","186.54","354.16","287.92","0.0","","2016.0","5.0","3.11","157.74","113.44","1.15747506562"
"2015.0","10.0","9.0","282.0","3.11","0.08","0.7","0.0","4.25","0.7","2.98","0.0","0.0","0.0","0.0","21.89","85.15","373.08","186.54","351.18","287.92","0.0","","2016.0","6.0","3.11","200.31","140.23","1.43082447507"
"2015.0","10.0","10.0","283.0","3.11","0.08","0.7","0.0","4.01","0.7","2.81","0.0","0.0","0.0","0.0","24.7","85.15","373.08","186.54","348.37","287.92","0.0","","2016.0","7.0","3.11","209.1","146.4","1.49377952756"
"2015.0","10.0","11.0","284.0","3.11","0.08","0.7","0.0","3.66","0.7","2.56","0.0","0.0","0.0","0.0","27.26","85.15","373.08","186.54","345.81","287.92","0.0","","2016.0","8.0","3.11","184.75","129.36","1.31991338583"
"2015.0","10.0","12.0","285.0","3.11","0.08","0.7","0.0","3.68","0.7","2.58","0.0","0.0","0.0","0.0","29.84","85.15","373.08","186.54","343.24","287.92","0.0","","2016.0","9.0","3.11","138.71","97.09","0.990649278215"
"2015.0","10.0","13.0","286.0","3.11","0.08","0.7","0.0","4.1","0.7","2.87","0.0","0.0","0.0","0.0","32.71","85.15","373.08","186.54","340.37","287.92","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","3.11","0.08","0.7","0.0","4.19","0.7","2.93","0.0","0.0","0.0","0.0","35.64","85.15","373.08","186.54","337.43","287.92","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","3.11","0.08","0.7","0.0","3.65","0.7","2.56","0.0","0.0","0.0","0.0","38.2","85.15","373.08","186.54","334.88","287.92","0.0","","","","","","",""
