" Daily soil water balance output for Citrus in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Citrus in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","1.56","0.08","0.7","0.0","3.68","0.7","2.58","0.46","0.46","0.0","0.0","41.11","95.55","416.97","208.48","375.85","321.42","0.0","","2015.0","10.0","1.56","108.61","76.05","0.389232283465"
"2015.0","10.0","2.0","275.0","1.56","0.08","0.7","0.0","4.58","0.7","3.21","0.02","0.02","0.0","0.0","44.3","95.55","416.97","208.48","372.67","321.42","0.0","","2015.0","11.0","1.56","47.16","48.61","0.248791338583"
"2015.0","10.0","3.0","276.0","1.56","0.08","0.7","0.0","4.53","0.7","3.17","0.0","0.0","0.0","0.0","47.47","95.55","416.97","208.48","369.5","321.42","0.0","","2015.0","12.0","1.56","31.9","36.1","0.184763779528"
"2015.0","10.0","4.0","277.0","1.56","0.08","0.7","0.0","3.67","0.7","2.57","0.82","0.82","0.0","0.0","49.22","95.55","416.97","208.48","367.75","321.42","0.0","","2016.0","1.0","1.56","33.72","38.94","0.199299212598"
"2015.0","10.0","5.0","278.0","1.56","0.08","0.7","0.0","3.44","0.7","2.41","0.0","0.0","0.0","0.0","51.63","95.55","416.97","208.48","365.34","321.42","0.0","","2016.0","2.0","1.56","60.04","48.77","0.24961023622"
"2015.0","10.0","6.0","279.0","1.56","0.08","0.7","0.0","3.48","0.7","2.44","0.0","0.0","0.0","0.0","54.06","95.55","416.97","208.48","362.9","321.42","0.0","","2016.0","3.0","1.56","82.15","67.35","0.344704724409"
"2015.0","10.0","7.0","280.0","1.56","0.08","0.7","0.0","3.38","0.7","2.37","0.0","0.0","0.0","0.0","56.43","95.55","416.97","208.48","360.54","321.42","0.0","","2016.0","4.0","1.56","130.95","100.16","0.51262992126"
"2015.0","10.0","8.0","281.0","1.56","0.08","0.7","0.0","3.47","0.7","2.43","0.0","0.0","0.0","0.0","58.86","95.55","416.97","208.48","358.11","321.42","0.0","","2016.0","5.0","1.56","164.12","114.92","0.588173228346"
"2015.0","10.0","9.0","282.0","1.56","0.08","0.7","0.0","4.25","0.7","2.98","0.0","0.0","0.0","0.0","61.83","95.55","416.97","208.48","355.13","321.42","0.0","","2016.0","6.0","1.56","207.59","145.35","0.743917322835"
"2015.0","10.0","10.0","283.0","1.56","0.08","0.7","0.0","4.21","0.7","2.95","0.0","0.0","0.0","0.0","64.78","95.55","416.97","208.48","352.19","321.42","0.0","","2016.0","7.0","1.56","220.88","154.64","0.791464566929"
"2015.0","10.0","11.0","284.0","1.56","0.08","0.7","0.0","3.76","0.7","2.63","0.0","0.0","0.0","0.0","67.41","95.55","416.97","208.48","349.55","321.42","0.0","","2016.0","8.0","1.56","195.62","136.96","0.700976377953"
"2015.0","10.0","12.0","285.0","1.56","0.08","0.7","0.0","3.79","0.7","2.65","0.0","0.0","0.0","0.0","70.07","95.55","416.97","208.48","346.9","321.42","0.0","","2016.0","9.0","1.56","143.85","100.75","0.515649606299"
"2015.0","10.0","13.0","286.0","1.56","0.08","0.7","0.0","4.16","0.7","2.91","0.0","0.0","0.0","0.0","72.98","95.55","416.97","208.48","343.99","321.42","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","1.56","0.08","0.7","0.0","4.3","0.7","3.01","0.0","0.0","0.0","0.0","75.99","95.55","416.97","208.48","340.98","321.42","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","1.56","0.08","0.7","0.0","3.77","0.7","2.64","0.0","0.0","0.0","0.0","78.63","95.55","416.97","208.48","338.34","321.42","0.0","","","","","","",""
