" Daily soil water balance output for Corn in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Corn in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","11162.2","0.09","0.6","0.0","3.46","0.6","2.08","1.26","1.26","0.0","0.0","59.79","108.81","435.25","217.63","375.46","326.44","0.0","","2015.0","10.0","11162.2","105.45","10.57","387.088103675"
"2015.0","10.0","2.0","275.0","11162.2","0.09","0.0","0.0","4.31","0.09","0.37","0.01","0.01","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","2015.0","11.0","11162.2","47.37","47.02","1721.9378084"
"2015.0","10.0","3.0","276.0","11162.2","0.09","0.0","0.0","4.3","0.09","0.37","0.0","0.0","0.0","0.0","30.97","30.6","435.25","217.63","404.29","404.65","0.0","","2015.0","12.0","11162.2","32.3","36.69","1343.63883858"
"2015.0","10.0","4.0","277.0","11162.2","0.08","0.0","0.0","3.53","0.08","0.3","0.23","0.23","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","2016.0","1.0","11162.2","33.38","38.92","1425.30454068"
"2015.0","10.0","5.0","278.0","11162.2","0.08","0.0","0.0","3.35","0.08","0.28","0.0","0.0","0.0","0.0","30.88","30.6","435.25","217.63","404.37","404.65","0.0","","2016.0","2.0","11162.2","59.73","46.02","1685.31641732"
"2015.0","10.0","6.0","279.0","11162.2","0.08","0.0","0.0","3.36","0.08","0.28","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","2016.0","3.0","11162.2","81.77","55.41","2029.19127953"
"2015.0","10.0","7.0","280.0","11162.2","0.08","0.0","0.0","3.38","0.08","0.29","0.0","0.0","0.0","0.0","30.89","30.6","435.25","217.63","404.37","404.65","0.0","","2016.0","4.0","11162.2","127.51","55.71","2040.17769685"
"2015.0","10.0","8.0","281.0","11162.2","0.08","0.0","0.0","3.48","0.08","0.29","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","2016.0","5.0","11162.2","157.74","65.03","2381.48906168"
"2015.0","10.0","9.0","282.0","11162.2","0.08","0.0","0.0","4.25","0.08","0.36","0.0","0.0","0.0","0.0","30.96","30.6","435.25","217.63","404.3","404.65","0.0","","2016.0","6.0","11162.2","200.31","153.33","5615.1578937"
"2015.0","10.0","10.0","283.0","11162.2","0.08","0.0","0.0","4.01","0.08","0.34","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","2016.0","7.0","11162.2","209.1","219.6","8042.05748031"
"2015.0","10.0","11.0","284.0","11162.2","0.08","0.0","0.0","3.66","0.08","0.31","0.0","0.0","0.0","0.0","30.91","30.6","435.25","217.63","404.35","404.65","0.0","","2016.0","8.0","11162.2","184.75","189.33","6933.52797244"
"2015.0","10.0","12.0","285.0","11162.2","0.08","0.0","0.0","3.68","0.08","0.31","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","2016.0","9.0","11162.2","138.71","106.0","3881.86745407"
"2015.0","10.0","13.0","286.0","11162.2","0.08","0.0","0.0","4.1","0.08","0.34","0.0","0.0","0.0","0.0","30.94","30.6","435.25","217.63","404.31","404.65","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","11162.2","0.08","0.0","0.0","4.19","0.08","0.35","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","11162.2","0.08","0.0","0.0","3.65","0.08","0.3","0.0","0.0","0.0","0.0","30.9","30.6","435.25","217.63","404.35","404.65","0.0","","","","","","",""
