" Daily soil water balance output for Corn in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Corn in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","14927.12","0.08","0.0","0.0","3.68","0.08","0.31","0.46","0.46","0.0","0.0","22.27","34.2","486.46","243.23","464.2","452.26","0.0","","2015.0","10.0","14927.12","108.61","8.82","431.946188976"
"2015.0","10.0","2.0","275.0","14927.12","0.08","0.0","0.0","4.58","0.08","0.38","0.02","0.02","0.0","0.0","22.62","34.2","486.46","243.23","463.84","452.26","0.0","","2015.0","11.0","14927.12","47.16","47.36","2319.38452493"
"2015.0","10.0","3.0","276.0","14927.12","0.08","0.0","0.0","4.53","0.08","0.37","0.0","0.0","0.0","0.0","23.0","34.2","486.46","243.23","463.46","452.26","0.0","","2015.0","12.0","14927.12","31.9","36.1","1767.94301837"
"2015.0","10.0","4.0","277.0","14927.12","0.08","0.0","0.0","3.67","0.08","0.3","0.82","0.82","0.0","0.0","22.48","34.2","486.46","243.23","463.98","452.26","0.0","","2016.0","1.0","14927.12","33.72","38.94","1907.02773228"
"2015.0","10.0","5.0","278.0","14927.12","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","22.77","34.2","486.46","243.23","463.69","452.26","0.0","","2016.0","2.0","14927.12","60.04","44.42","2175.40246194"
"2015.0","10.0","6.0","279.0","14927.12","0.08","0.0","0.0","3.48","0.08","0.29","0.0","0.0","0.0","0.0","23.05","34.2","486.46","243.23","463.41","452.26","0.0","","2016.0","3.0","14927.12","82.15","55.08","2697.45987402"
"2015.0","10.0","7.0","280.0","14927.12","0.08","0.0","0.0","3.38","0.08","0.28","0.0","0.0","0.0","0.0","23.33","34.2","486.46","243.23","463.13","452.26","0.0","","2016.0","4.0","14927.12","130.95","75.35","3690.15253281"
"2015.0","10.0","8.0","281.0","14927.12","0.08","0.0","0.0","3.47","0.08","0.29","0.0","0.0","0.0","0.0","23.62","34.2","486.46","243.23","462.84","452.26","0.0","","2016.0","5.0","14927.12","164.12","50.16","2456.51029921"
"2015.0","10.0","9.0","282.0","14927.12","0.08","0.0","0.0","4.25","0.08","0.35","0.0","0.0","0.0","0.0","23.96","34.2","486.46","243.23","462.5","452.26","0.0","","2016.0","6.0","14927.12","207.59","161.32","7900.40353806"
"2015.0","10.0","10.0","283.0","14927.12","0.08","0.0","0.0","4.21","0.08","0.34","0.0","0.0","0.0","0.0","24.31","34.2","486.46","243.23","462.15","452.26","0.0","","2016.0","7.0","14927.12","220.88","231.92","11357.9319895"
"2015.0","10.0","11.0","284.0","14927.12","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","24.62","34.2","486.46","243.23","461.84","452.26","0.0","","2016.0","8.0","14927.12","195.62","163.7","8016.96044619"
"2015.0","10.0","12.0","285.0","14927.12","0.08","0.0","0.0","3.79","0.08","0.31","0.0","0.0","0.0","0.0","24.93","34.2","486.46","243.23","461.54","452.26","0.0","","2016.0","9.0","14927.12","143.85","15.07","738.030506562"
"2015.0","10.0","13.0","286.0","14927.12","0.08","0.0","0.0","4.16","0.08","0.34","0.0","0.0","0.0","0.0","25.26","34.2","486.46","243.23","461.2","452.26","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","14927.12","0.08","0.0","0.0","4.3","0.08","0.35","0.0","0.0","0.0","0.0","25.61","34.2","486.46","243.23","460.85","452.26","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","14927.12","0.08","0.0","0.0","3.77","0.08","0.31","0.0","0.0","0.0","0.0","25.92","34.2","486.46","243.23","460.54","452.26","0.0","","","","","","",""
