" Daily soil water balance output for Cucurbits in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Cucurbits in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","300.9","0.09","0.78","0.0","3.46","0.78","2.7","1.26","1.26","0.0","0.0","64.38","84.2","336.8","168.4","272.43","252.6","0.0","","2015.0","10.0","300.9","105.45","11.19","11.0468208661"
"2015.0","10.0","2.0","275.0","300.9","0.09","0.0","0.0","4.31","0.09","0.37","0.01","0.01","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","2015.0","11.0","300.9","47.37","47.02","46.4183661417"
"2015.0","10.0","3.0","276.0","300.9","0.09","0.0","0.0","4.3","0.09","0.37","0.0","0.0","0.0","0.0","25.87","25.5","336.8","168.4","310.94","311.3","0.0","","2015.0","12.0","300.9","32.3","36.69","36.2205413386"
"2015.0","10.0","4.0","277.0","300.9","0.08","0.0","0.0","3.53","0.08","0.3","0.23","0.23","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","2016.0","1.0","300.9","33.38","38.92","38.422007874"
"2015.0","10.0","5.0","278.0","300.9","0.08","0.0","0.0","3.35","0.08","0.28","0.0","0.0","0.0","0.0","25.78","25.5","336.8","168.4","311.02","311.3","0.0","","2016.0","2.0","300.9","59.73","46.02","45.4311614173"
"2015.0","10.0","6.0","279.0","300.9","0.08","0.0","0.0","3.36","0.08","0.28","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","2016.0","3.0","300.9","81.77","55.41","54.7010137795"
"2015.0","10.0","7.0","280.0","300.9","0.08","0.0","0.0","3.38","0.08","0.29","0.0","0.0","0.0","0.0","25.79","25.5","336.8","168.4","311.02","311.3","0.0","","2016.0","4.0","300.9","127.51","55.71","54.9971751969"
"2015.0","10.0","8.0","281.0","300.9","0.08","0.0","0.0","3.48","0.08","0.29","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","2016.0","5.0","300.9","157.74","58.84","58.0871259843"
"2015.0","10.0","9.0","282.0","300.9","0.08","0.0","0.0","4.25","0.08","0.36","0.0","0.0","0.0","0.0","25.86","25.5","336.8","168.4","310.95","311.3","0.0","","2016.0","6.0","300.9","200.31","139.08","137.300433071"
"2015.0","10.0","10.0","283.0","300.9","0.08","0.0","0.0","4.01","0.08","0.34","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","2016.0","7.0","300.9","209.1","178.14","175.860649606"
"2015.0","10.0","11.0","284.0","300.9","0.08","0.0","0.0","3.66","0.08","0.31","0.0","0.0","0.0","0.0","25.81","25.5","336.8","168.4","311.0","311.3","0.0","","2016.0","8.0","300.9","184.75","175.5","173.254429134"
"2015.0","10.0","12.0","285.0","300.9","0.08","0.0","0.0","3.68","0.08","0.31","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","2016.0","9.0","300.9","138.71","123.55","121.969143701"
"2015.0","10.0","13.0","286.0","300.9","0.08","0.0","0.0","4.1","0.08","0.34","0.0","0.0","0.0","0.0","25.84","25.5","336.8","168.4","310.96","311.3","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","300.9","0.08","0.0","0.0","4.19","0.08","0.35","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","300.9","0.08","0.0","0.0","3.65","0.08","0.3","0.0","0.0","0.0","0.0","25.8","25.5","336.8","168.4","311.0","311.3","0.0","","","","","","",""
