" Daily soil water balance output for Cucurbits in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Cucurbits in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","183.92","0.08","0.78","0.0","3.68","0.78","2.87","0.46","0.46","0.0","0.0","14.08","94.11","376.43","188.21","362.35","282.32","0.0","","2015.0","10.0","183.92","108.61","11.38","6.86682939633"
"2015.0","10.0","2.0","275.0","183.92","0.08","0.0","0.0","4.58","0.08","0.38","0.02","0.02","0.0","0.0","14.44","28.5","376.43","188.21","361.99","347.93","0.0","","2015.0","11.0","183.92","47.16","47.36","28.5775958005"
"2015.0","10.0","3.0","276.0","183.92","0.08","0.0","0.0","4.53","0.08","0.37","0.0","0.0","0.0","0.0","14.81","28.5","376.43","188.21","361.61","347.93","0.0","","2015.0","12.0","183.92","31.9","36.1","21.783175853"
"2015.0","10.0","4.0","277.0","183.92","0.08","0.0","0.0","3.67","0.08","0.3","0.82","0.82","0.0","0.0","14.3","28.5","376.43","188.21","362.13","347.93","0.0","","2016.0","1.0","183.92","33.72","38.94","23.4968661417"
"2015.0","10.0","5.0","278.0","183.92","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","14.58","28.5","376.43","188.21","361.85","347.93","0.0","","2016.0","2.0","183.92","60.04","44.42","26.8035643045"
"2015.0","10.0","6.0","279.0","183.92","0.08","0.0","0.0","3.48","0.08","0.29","0.0","0.0","0.0","0.0","14.87","28.5","376.43","188.21","361.56","347.93","0.0","","2016.0","3.0","183.92","82.15","55.08","33.2359370079"
"2015.0","10.0","7.0","280.0","183.92","0.08","0.0","0.0","3.38","0.08","0.28","0.0","0.0","0.0","0.0","15.15","28.5","376.43","188.21","361.28","347.93","0.0","","2016.0","4.0","183.92","130.95","75.35","45.4670997375"
"2015.0","10.0","8.0","281.0","183.92","0.08","0.0","0.0","3.47","0.08","0.29","0.0","0.0","0.0","0.0","15.43","28.5","376.43","188.21","361.0","347.93","0.0","","2016.0","5.0","183.92","164.12","47.29","28.5353569554"
"2015.0","10.0","9.0","282.0","183.92","0.08","0.0","0.0","4.25","0.08","0.35","0.0","0.0","0.0","0.0","15.78","28.5","376.43","188.21","360.65","347.93","0.0","","2016.0","6.0","183.92","207.59","144.1","86.95167979"
"2015.0","10.0","10.0","283.0","183.92","0.08","0.0","0.0","4.21","0.08","0.34","0.0","0.0","0.0","0.0","16.12","28.5","376.43","188.21","360.3","347.93","0.0","","2016.0","7.0","183.92","220.88","188.18","113.55008399"
"2015.0","10.0","11.0","284.0","183.92","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","16.43","28.5","376.43","188.21","360.0","347.93","0.0","","2016.0","8.0","183.92","195.62","185.87","112.1562021"
"2015.0","10.0","12.0","285.0","183.92","0.08","0.0","0.0","3.79","0.08","0.31","0.0","0.0","0.0","0.0","16.74","28.5","376.43","188.21","359.69","347.93","0.0","","2016.0","9.0","183.92","143.85","128.11","77.3031207349"
"2015.0","10.0","13.0","286.0","183.92","0.08","0.0","0.0","4.16","0.08","0.34","0.0","0.0","0.0","0.0","17.08","28.5","376.43","188.21","359.35","347.93","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","183.92","0.08","0.0","0.0","4.3","0.08","0.35","0.0","0.0","0.0","0.0","17.43","28.5","376.43","188.21","359.0","347.93","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","183.92","0.08","0.0","0.0","3.77","0.08","0.31","0.0","0.0","0.0","0.0","17.73","28.5","376.43","188.21","358.69","347.93","0.0","","","","","","",""
