" Daily soil water balance output for Cucurbits in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Cucurbits in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","201.49","0.08","0.78","0.0","3.66","0.78","2.85","0.47","0.47","0.0","0.0","7.18","79.25","316.99","158.5","309.81","237.74","0.0","","2015.0","10.0","201.49","107.84","11.39","7.52943274278"
"2015.0","10.0","2.0","275.0","201.49","0.08","0.0","0.0","4.58","0.08","0.38","0.0","0.0","0.0","0.0","7.57","24.0","316.99","158.5","309.43","292.99","0.0","","2015.0","11.0","201.49","47.31","43.39","28.6832385171"
"2015.0","10.0","3.0","276.0","201.49","0.08","0.0","0.0","4.49","0.08","0.37","0.0","0.0","0.0","0.0","7.94","24.0","316.99","158.5","309.05","292.99","0.0","","2015.0","12.0","201.49","31.35","34.63","22.8923841864"
"2015.0","10.0","4.0","277.0","201.49","0.08","0.0","0.0","3.72","0.08","0.31","0.83","0.83","0.0","0.0","7.42","24.0","316.99","158.5","309.57","292.99","0.0","","2016.0","1.0","201.49","33.06","37.62","24.8689429134"
"2015.0","10.0","5.0","278.0","201.49","0.08","0.0","0.0","3.44","0.08","0.29","0.0","0.0","0.0","0.0","7.71","24.0","316.99","158.5","309.29","292.99","0.0","","2016.0","2.0","201.49","59.04","43.89","29.0137667323"
"2015.0","10.0","6.0","279.0","201.49","0.08","0.0","0.0","3.47","0.08","0.29","0.0","0.0","0.0","0.0","7.99","24.0","316.99","158.5","309.0","292.99","0.0","","2016.0","3.0","201.49","80.87","54.31","35.9019747375"
"2015.0","10.0","7.0","280.0","201.49","0.08","0.0","0.0","3.33","0.08","0.28","0.0","0.0","0.0","0.0","8.27","24.0","316.99","158.5","308.72","292.99","0.0","","2016.0","4.0","201.49","130.44","55.01","36.3647142388"
"2015.0","10.0","8.0","281.0","201.49","0.08","0.0","0.0","3.41","0.08","0.28","0.0","0.0","0.0","0.0","8.55","24.0","316.99","158.5","308.44","292.99","0.0","","2016.0","5.0","201.49","162.51","33.03","21.8346938976"
"2015.0","10.0","9.0","282.0","201.49","0.08","0.0","0.0","4.18","0.08","0.35","0.0","0.0","0.0","0.0","8.9","24.0","316.99","158.5","308.09","292.99","0.0","","2016.0","6.0","201.49","202.95","140.9","93.1428510499"
"2015.0","10.0","10.0","283.0","201.49","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","9.24","24.0","316.99","158.5","307.75","292.99","0.0","","2016.0","7.0","201.49","216.37","184.39","121.89219521"
"2015.0","10.0","11.0","284.0","201.49","0.08","0.0","0.0","3.68","0.08","0.3","0.0","0.0","0.0","0.0","9.54","24.0","316.99","158.5","307.45","292.99","0.0","","2016.0","8.0","201.49","191.21","181.66","120.087511155"
"2015.0","10.0","12.0","285.0","201.49","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","9.85","24.0","316.99","158.5","307.14","292.99","0.0","","2016.0","9.0","201.49","141.73","126.2","83.4253215223"
"2015.0","10.0","13.0","286.0","201.49","0.08","0.0","0.0","4.1","0.08","0.34","0.0","0.0","0.0","0.0","10.19","24.0","316.99","158.5","306.8","292.99","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","201.49","0.08","0.0","0.0","4.27","0.08","0.35","0.0","0.0","0.0","0.0","10.54","24.0","316.99","158.5","306.45","292.99","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","201.49","0.08","0.0","0.0","3.73","0.08","0.31","0.0","0.0","0.0","0.0","10.84","24.0","316.99","158.5","306.15","292.99","0.0","","","","","","",""
