" Daily soil water balance output for Fallow in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Fallow in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","6452.998812","0.09","0.09","0.0","3.46","0.09","0.3114","1.26","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","6452.998812","105.45","8.5567","181.156085744"
"2015.0","10.0","2.0","275.0","6452.998812","0.09","0.09","0.0","4.31","0.09","0.3879","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","6452.998812","47.37","47.0602","996.323539017"
"2015.0","10.0","3.0","276.0","6452.998812","0.09","0.09","0.0","4.3","0.09","0.387","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","6452.998812","32.3","36.6944","776.866534144"
"2015.0","10.0","4.0","277.0","6452.998812","0.08","0.08","0.0","3.53","0.08","0.2824","0.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","6452.998812","33.38","38.9196","823.976812872"
"2015.0","10.0","5.0","278.0","6452.998812","0.08","0.08","0.0","3.35","0.08","0.268","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","6452.998812","59.73","46.0732","975.4275094"
"2015.0","10.0","6.0","279.0","6452.998812","0.08","0.08","0.0","3.36","0.08","0.2688","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","6452.998812","81.77","55.4417","1173.77042072"
"2015.0","10.0","7.0","280.0","6452.998812","0.08","0.08","0.0","3.38","0.08","0.2704","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","6452.998812","127.51","55.9817","1185.20289893"
"2015.0","10.0","8.0","281.0","6452.998812","0.08","0.08","0.0","3.48","0.08","0.2784","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","6452.998812","157.74","58.9531","1248.11116884"
"2015.0","10.0","9.0","282.0","6452.998812","0.08","0.08","0.0","4.25","0.08","0.34","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","6452.998812","200.31","34.4502","729.354001552"
"2015.0","10.0","10.0","283.0","6452.998812","0.08","0.08","0.0","4.01","0.08","0.3208","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","6452.998812","209.1","25.7204","544.533171405"
"2015.0","10.0","11.0","284.0","6452.998812","0.08","0.08","0.0","3.66","0.08","0.2928","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","6452.998812","184.75","18.8985","400.104980474"
"2015.0","10.0","12.0","285.0","6452.998812","0.08","0.08","0.0","3.68","0.08","0.2944","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","6452.998812","138.71","12.4839","264.29984209"
"2015.0","10.0","13.0","286.0","6452.998812","0.08","0.08","0.0","4.1","0.08","0.328","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","6452.998812","0.08","0.08","0.0","4.19","0.08","0.3352","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
