" Daily soil water balance output for Fallow in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Fallow in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","46833.168177","0.08","0.08","0.0","3.59","0.08","0.2872","2.27","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","46833.168177","108.2","8.656","1330.01280755"
"2015.0","10.0","2.0","275.0","46833.168177","0.08","0.08","0.0","4.41","0.08","0.3528","0.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","46833.168177","47.2","46.8536","7199.15527722"
"2015.0","10.0","3.0","276.0","46833.168177","0.08","0.08","0.0","4.46","0.08","0.3568","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","46833.168177","32.8","37.2162","5718.34827267"
"2015.0","10.0","4.0","277.0","46833.168177","0.08","0.08","0.0","3.55","0.08","0.284","0.41","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","46833.168177","34.3","39.5763","6080.98265657"
"2015.0","10.0","5.0","278.0","46833.168177","0.08","0.08","0.0","3.41","0.08","0.2728","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","46833.168177","60.9","43.7136","6716.68759981"
"2015.0","10.0","6.0","279.0","46833.168177","0.08","0.08","0.0","3.44","0.08","0.2752","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","46833.168177","83.8","56.1731","8631.11627075"
"2015.0","10.0","7.0","280.0","46833.168177","0.08","0.08","0.0","3.44","0.08","0.2752","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","46833.168177","130.55","69.3362","10653.6545779"
"2015.0","10.0","8.0","281.0","46833.168177","0.08","0.08","0.0","3.53","0.08","0.2824","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","46833.168177","164.12","62.5123","9605.14783147"
"2015.0","10.0","9.0","282.0","46833.168177","0.08","0.08","0.0","4.37","0.08","0.3496","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","46833.168177","209.37","35.1341","5398.42917995"
"2015.0","10.0","10.0","283.0","46833.168177","0.08","0.08","0.0","4.22","0.08","0.3376","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","46833.168177","219.93","26.3284","4045.41464905"
"2015.0","10.0","11.0","284.0","46833.168177","0.08","0.08","0.0","3.82","0.08","0.3056","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","46833.168177","194.47","19.116","2937.21405142"
"2015.0","10.0","12.0","285.0","46833.168177","0.08","0.08","0.0","3.76","0.08","0.3008","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","46833.168177","143.12","12.8808","1979.16231186"
"2015.0","10.0","13.0","286.0","46833.168177","0.08","0.08","0.0","4.18","0.08","0.3344","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","46833.168177","0.08","0.08","0.0","4.25","0.08","0.34","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
